signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,entry_reason,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,holding_period_hours,regime_at_entry,stop_loss_used,take_profit_used,exit_reason,timeframe_label,data_interval
2015-10-28,304.6180114746094,BTC-USD,donchian_trend_reentry,2015-10-29,2015-10-31,304.3240051269531,328.5119934082031,304.36857958834355,328.46576218332666,donchian_breakout_reentry,328.53580000000335,1.999919495798423,2.1582552390302014,0.9647040864168722,0.9074899182552885,100000.0,107912.6289868541,99997.97470941693,0.9999797470941693,99995.97478992114,0.9999597478992114,1499616.5,7916.787161588933,7912.628986854104,0.07917105841731228,0.07912947499614394,0.07912628986854105,2,2,48.0,neutral,242.1219940185547,332.83229436348654,take_profit,Daily,1d
2016-04-21,449.4249877929687,BTC-USD,donchian_trend_reentry,2016-04-22,2016-05-20,449.68798828125,437.7929992675781,449.7994496238461,437.70104668684496,donchian_breakout_reentry,239.90309999999968,2.1581656468610877,2.100116759468374,1.9786373107738047,1.6008078785547206,107912.6289868541,105005.9263348121,107910.44050870123,0.9999797199069893,107908.28234305436,0.9999597207125751,2826192.25,-2902.4443696356743,-2906.7026520420036,-0.02689732712460781,-0.02693678917806532,-0.02693570418339171,28,28,672.0,calm,415.83099365234375,470.36161344907566,trend_support_break,Daily,1d
2016-05-27,473.4639892578125,BTC-USD,donchian_trend_reentry,2016-05-28,2016-05-29,473.0289916992187,527.4769897460938,473.1247529875223,527.3587850431966,donchian_breakout_reentry,221.93239999999972,2.1000342385985573,2.3407600165144116,1.5244274660546142,1.741447497408278,105005.9263348121,117037.7744363497,105003.81196416645,0.9999798642731944,105001.71192992786,0.9999598650758929,3184812.9800000004,12036.28889579271,12031.848101537598,0.11462945388761892,0.11458716129854117,0.1145825623515188,1,1,24.0,calm,437.3890075683594,501.6004311339153,take_profit,Daily,1d
2016-10-11,641.072021484375,BTC-USD,donchian_trend_reentry,2016-10-12,2016-10-27,640.8709716796875,678.2139892578125,641.0079147135433,678.1139329386939,donchian_breakout_reentry,182.57659999999976,2.3406609128297715,2.4761547257714915,1.6368269106787827,0.9755089706669563,117037.7744363497,123807.64826779712,117035.38630240138,0.9999795951865983,117033.04564148856,0.9999595959946784,2725993.77,6774.69064708602,6769.873831447419,0.0578869891828601,0.057845831443076444,0.05784349423979499,15,15,360.0,calm,595.7860107421875,665.1630924269574,take_profit,Daily,1d
2016-11-01,729.7930297851562,BTC-USD,donchian_trend_reentry,2016-11-02,2016-12-03,730.0659790039062,778.2479858398438,730.2197108930468,778.0594892707322,donchian_breakout_reentry,169.5416999999998,2.4760538231663105,2.6382705702418314,1.6057259694559058,1.9226498321899075,123807.64826779712,131913.37129717972,123805.16721213868,0.9999799604007252,123802.69115831552,0.9999599612015012,3799431.2200000007,8110.837353776021,8105.723029382612,0.06551422491619428,0.06547291463169597,0.06547029317485989,31,31,744.0,neutral,628.0130004882812,780.2746621702787,take_profit,Daily,1d
2016-12-20,800.8759765625,BTC-USD,donchian_trend_reentry,2016-12-21,2016-12-23,800.6439819335938,864.8880004882812,800.8643160480796,864.6972713676796,donchian_breakout_reentry,164.7070999999998,2.6381607797952498,2.8484355988976677,2.2519611644814113,1.7057328838330041,131913.37129717972,142421.6256559219,131910.67715054227,0.9999795763946372,131908.03898976248,0.9999595772030933,4076416.7200000007,10513.740955120884,10508.25435874219,0.07970508117353535,0.07966348707191186,0.07966026685095307,2,2,48.0,calm,736.2650146484375,839.1303939280166,take_profit,Daily,1d
2016-12-27,933.197998046875,BTC-USD,donchian_trend_reentry,2016-12-28,2017-01-03,934.8309936523438,1021.5999755859376,934.976585804815,1021.4452794364122,donchian_breakout_reentry,152.3202999999998,2.8483182808553,3.1117370279467593,1.0574168321317834,1.0144829844508603,142421.6256559219,155586.60295518604,142418.76236104584,0.9999798956453215,142415.91404276498,0.9999598964473926,5442563.75,13170.93735457295,13164.977299264148,0.09248220216890894,0.09244035252486557,0.09243664533832505,6,6,144.0,neutral,759.75,1015.8421668196985,take_profit,Daily,1d
2017-03-01,1222.5,BTC-USD,donchian_trend_reentry,2017-03-02,2017-03-09,1224.6800537109375,1150.3499755859375,1224.937720942928,1150.0282834952498,donchian_breakout_reentry,127.01079999999983,3.1116063977427575,2.921320246187166,1.6039554878819946,2.2972537310998375,155586.60295518604,146066.26245076253,155583.4314935356,0.9999796161006784,155580.31988713786,0.9999596169083401,7196232.96,-9514.30757777957,-9520.340504423499,-0.061153670237222194,-0.061192447163817436,-0.06118997602361473,7,7,168.0,neutral,946.6909790039062,1360.2274942375627,momentum_fade,Daily,1d
2017-04-26,1281.0799560546875,BTC-USD,donchian_trend_reentry,2017-04-27,2017-05-02,1281.8800048828125,1421.030029296875,1282.229659744955,1420.7667344372064,donchian_breakout_reentry,113.91119999999985,2.9212063843427867,3.2368248727964666,2.2276723313473537,1.3531885163613284,146066.26245076253,161841.02884218938,146063.24042352368,0.9999793105732415,146060.31921713933,0.9999593113870138,12995900.200000001,15780.92442268398,15774.766391426841,0.10804388561703336,0.10800172473932101,0.10799733029894125,5,5,120.0,calm,1125.81005859375,1406.391253734423,take_profit,Daily,1d
2017-05-08,1723.3499755859375,BTC-USD,donchian_trend_reentry,2017-05-09,2017-05-20,1723.8900146484375,1984.239990234375,1724.0976909734136,1983.6356672192173,donchian_breakout_reentry,93.86619999999988,3.2366899736089687,3.7239268453266456,0.7046959098985368,2.546542392559968,161841.02884218938,186195.91181125428,161837.73537042204,0.9999796499577956,161834.49868044842,0.9999596507647802,26653324.6,24361.84358588383,24354.882969064896,0.15053553960696414,0.150492528896172,0.15048645663772478,11,11,264.0,neutral,1193.77001953125,1926.526094897352,take_profit,Daily,1d
