signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,entry_reason,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,holding_period_hours,regime_at_entry,stop_loss_used,take_profit_used,exit_reason,timeframe_label,data_interval
2003-03-31,21.2999210357666,QQQ,connors_rsi2_pullback,2003-04-01,2003-04-03,21.460197846473612,22.47246927836098,21.464855841299883,22.465086553516567,connors_rsi2_pullback,4656.0,23.28,23.28,1.6705274385601905,2.7863104385663378,100000.0,104610.51419608088,99963.64879709226,0.9996364879709226,99940.36879709226,0.9994036879709226,4025754.5,4657.074196080881,4610.514196080881,0.04659852922432259,0.04613265141578128,0.04610514196080882,2,2,48.0,calm,20.350679849934174,,rsi2_recovery,Daily,1d
2003-06-24,25.036895751953125,QQQ,connors_rsi2_pullback,2003-06-25,2003-06-27,25.02845989393003,25.51772501071165,25.036725331739117,25.510247528865342,connors_rsi2_pullback,4176.0,20.88,20.88,2.802415667648718,2.4311678915882924,104610.51419608088,106546.18289128,104574.24498534255,0.999653292873885,104553.36498534254,0.9994536953462324,4308845.25,1977.428695199118,1935.6686951991178,0.01891310428388733,0.018513691027261355,0.018503576911694748,2,2,48.0,calm,24.13614317877579,,rsi2_recovery,Daily,1d
2003-08-05,25.483980178833008,QQQ,connors_rsi2_pullback,2003-08-06,2003-08-12,25.610513211309428,25.737059844012556,25.6185869399598,25.72870193211102,connors_rsi2_pullback,4157.0,20.785,20.785,2.652505607270643,2.748477876415356,106546.18289128,106962.3609136526,106517.25090941289,0.9997284559513818,106496.46590941289,0.9995333762269284,4235343.75,457.74802237261093,416.1780223726109,0.004298246129237533,0.003907904537664346,0.0039060810165041765,4,6,144.0,calm,24.490543306171013,,mean_reversion_complete,Daily,1d
2003-11-18,28.57984733581543,QQQ,connors_rsi2_pullback,2003-11-19,2003-11-24,28.689508210395417,29.11973850794577,28.696779465237253,29.112932855753538,connors_rsi2_pullback,3726.0,18.63,18.63,2.034464790582017,1.8376731660636552,106962.3609136526,108475.68844671629,106942.830287474,0.9998174065529989,106924.200287474,0.9996432331349772,4075690.25,1550.58753306368,1513.3275330636798,0.014501745431761987,0.014153274272755666,0.014148224853463566,3,5,120.0,calm,27.68553271711388,,mean_reversion_complete,Daily,1d
2004-02-04,30.658559799194336,QQQ,connors_rsi2_pullback,2004-02-05,2004-02-09,30.810469437157476,31.510884756266748,30.81471822408865,31.505491854819915,connors_rsi2_pullback,3519.0,17.595,17.595,0.879007528540307,1.2117337738072547,108475.68844671629,110871.33085325961,108454.58843056796,0.9998054862204567,108436.99343056796,0.999643283977245,4630612.5,2430.8324065433203,2395.6424065433207,0.022417002995382553,0.02209248274738682,0.022084602004808388,2,4,96.0,calm,29.84838191108996,,rsi2_recovery,Daily,1d
2004-03-10,29.696508407592773,QQQ,connors_rsi2_pullback,2004-03-11,2004-03-15,29.59524859813781,29.839981482037388,29.601980698123644,29.832971691081582,connors_rsi2_pullback,3744.0,18.72,18.72,1.7747232426544972,1.8496790827252505,110871.33085325961,111698.72113089413,110848.53573377492,0.9997944002357574,110829.81573377491,0.9996255558658383,4836289.75,864.8302776345212,827.3902776345211,0.007803227605393986,0.007465412372623637,0.007462616992751611,2,4,96.0,calm,28.87607817765426,,mean_reversion_complete,Daily,1d
2005-01-04,33.03953170776367,QQQ,connors_rsi2_pullback,2005-01-05,2005-01-13,32.954316749213184,32.86913965886596,32.96525334003493,32.86429841190966,connors_rsi2_pullback,3387.0,16.935,16.935,2.8187126606107022,0.9731021778179278,111698.72113089413,111322.91678933385,111670.2480626983,0.9997450904727686,111653.3130626983,0.9995934772776618,4019988.25,-341.9343415602856,-375.8043415602856,-0.00306246480449957,-0.003365814513262627,-0.00336444623318381,6,8,192.0,calm,32.33213219150317,,mean_reversion_complete,Daily,1d
2005-01-24,31.122575759887695,QQQ,connors_rsi2_pullback,2005-01-25,2005-01-27,31.327053779450857,31.599687492926176,31.33533138210936,31.591485699074404,connors_rsi2_pullback,3551.0,17.755,17.755,2.142317632797252,2.096203904398908,111322.91678933385,112197.01076887672,111289.51673787033,0.9996999714665515,111271.76173787033,0.9995404804963894,4914596.0,909.6039795428743,874.0939795428743,0.008174616500506965,0.007855487914373377,0.007851878164466345,2,2,48.0,calm,30.37137824484018,,mean_reversion_complete,Daily,1d
2005-02-22,31.42928695678711,QQQ,connors_rsi2_pullback,2005-02-23,2005-02-25,31.557098330203033,31.846774794478268,31.563155021107633,31.838864252030138,connors_rsi2_pullback,3553.0,17.765,17.765,1.4192800431857924,1.9845554745646627,112197.01076887672,113141.07566634438,112161.65478999542,0.9996848759281641,112143.88978999542,0.9995265383764036,4816565.5,979.5948974676606,944.0648974676607,0.008735160687774291,0.008418335579723065,0.00841434982089151,2,2,48.0,calm,30.726365406971198,,rsi2_recovery,Daily,1d
2005-08-24,32.83130645751953,QQQ,connors_rsi2_pullback,2005-08-25,2005-08-30,32.8909758613745,32.882449270412025,32.895672804892726,32.87192794268754,connors_rsi2_pullback,3438.0,17.19,17.19,0.9280341021272832,2.700702965407249,113141.07566634438,113025.06083008295,113112.5131032212,0.9997475491287761,113095.32310322119,0.9995956149183334,3709674.75,-81.63483626142379,-116.01483626142378,-0.000721823272806041,-0.0010258146232584523,-0.0010253997991282512,3,5,120.0,calm,32.2469796427685,,rsi2_recovery,Daily,1d
