signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,entry_reason,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,holding_period_hours,regime_at_entry,stop_loss_used,take_profit_used,exit_reason,timeframe_label,data_interval
2000-06-30,78.82026672363281,QQQ,turn_of_month_seasonality,2000-07-03,2000-07-11,78.87296541469303,79.3474897836384,78.89550532867486,79.32980282640018,turn_of_month_window,1267.0,6.335,6.335,2.3577490225357067,1.729547611118254,100000.0,100537.58492961798,99966.94025143105,0.9996694025143105,99960.60525143104,0.9996060525143105,1022115.0,550.2549296179866,537.5849296179865,0.005504717865942585,0.005377967933125239,0.005375849296179866,5,8,192.0,calm,72.14228985273893,,calendar_window_complete,Daily,1d
2000-08-31,85.72688293457031,QQQ,turn_of_month_seasonality,2000-09-01,2000-09-07,86.88676989760962,81.66724789856346,86.91307410406684,81.65808788252956,turn_of_month_window,1156.0,5.78,5.78,2.527412169678346,0.6217524523832145,100537.58492961798,94451.26085752089,100477.29366430127,0.9994003111835348,100471.51366430127,0.9993428202461501,757769.25,-6074.764072097096,-6086.324072097095,-0.06046255152872781,-0.060577609016949044,-0.06053779863876647,3,6,144.0,calm,80.91482267413902,,stop_loss,Daily,1d
2003-02-28,21.224000930786133,QQQ,turn_of_month_seasonality,2003-03-03,2003-03-04,21.316782061428828,20.80221166545484,21.32139422557491,20.795774509040704,turn_of_month_window,4427.0,22.135,22.135,1.6636305765064112,2.5954155669161096,94451.26085752089,92080.07237242397,94411.94723662012,0.9995837681726656,94389.81223662013,0.9993494144986221,3417820.25,-2326.9184850969264,-2371.188485096927,-0.024652220721275667,-0.025121233202082628,-0.025104889691984624,1,1,24.0,calm,20.031803999182987,,trend_filter_break,Daily,1d
2003-03-31,21.2999210357666,QQQ,turn_of_month_seasonality,2003-04-01,2003-04-08,21.460197846473612,22.05912260887822,21.466241540775695,22.05345594817803,turn_of_month_window,4287.0,21.435,21.435,2.3162341956575605,2.0695114241976644,92080.07237242397,94554.59053695778,92047.2124853054,0.9996431379095179,92025.7774853054,0.9994103513852708,4025754.5,2517.3881645338115,2474.5181645338116,0.027355250162768643,0.026889402427802803,0.026873547128910352,5,7,168.0,calm,20.034266121323366,,calendar_window_complete,Daily,1d
2003-04-30,23.155746459960938,QQQ,turn_of_month_seasonality,2003-05-01,2003-05-08,23.1473230944716,23.49318216526303,23.154954917139275,23.490265542531084,turn_of_month_window,4081.0,20.405,20.405,2.7970649074756855,0.7416303794715555,94554.59053695778,95882.18319918176,94515.77601684538,0.999589501473255,94495.37101684538,0.999373700210893,3346153.25,1368.4026622239735,1327.5926622239735,0.014481160796543492,0.014049287789846425,0.01404048872386654,5,7,168.0,calm,22.04755820257783,,calendar_window_complete,Daily,1d
2003-05-30,25.12968635559082,QQQ,turn_of_month_seasonality,2003-06-02,2003-06-09,25.37432003065547,25.30683870143238,25.38276203369683,25.299355647722297,turn_of_month_window,3775.0,18.875,18.875,2.826986902965923,2.457804069905058,95882.18319918176,95529.57409212789,95838.80167720554,0.9995475538778034,95819.92667720554,0.999350697701085,3649214.25,-314.85910705386664,-352.60910705386664,-0.003285946023675762,-0.0036799141815430786,-0.0036775248048051927,5,7,168.0,calm,24.064487145362044,,calendar_window_complete,Daily,1d
2003-06-30,25.264652252197266,QQQ,turn_of_month_seasonality,2003-07-01,2003-07-09,25.05376500502552,27.145792807567737,25.057074441126773,27.141836611438737,turn_of_month_window,3810.0,19.05,19.05,0.8209336403469115,0.9576007459027434,95529.57409212789,103434.41796101647,95486.50362069301,0.9995491399198185,95467.453620693,0.9993497252340414,4242046.75,7942.943868888587,7904.843868888586,0.08320054183541058,0.08280145294642252,0.08274760925098675,5,8,192.0,calm,24.06967607621163,,calendar_window_complete,Daily,1d
2003-07-31,26.82524299621582,QQQ,turn_of_month_seasonality,2003-08-01,2003-08-06,26.732457205349935,25.610513211309428,26.737315977571587,25.604992403346643,turn_of_month_window,3867.0,19.335,19.335,1.3175554100124558,1.6561451281923758,103434.41796101647,99017.05269948862,103412.53588526933,0.9997884449279215,103393.20088526933,0.9996015148868274,4084213.0,-4378.695261527861,-4417.365261527861,-0.042349934270694424,-0.04272394338994889,-0.04270691853453197,3,5,120.0,calm,25.57763811939243,,stop_loss,Daily,1d
2003-08-29,28.1665096282959,QQQ,turn_of_month_seasonality,2003-09-02,2003-09-09,28.25086780270663,28.951010968562777,28.260376713917065,28.945687965184476,turn_of_month_window,3502.0,17.51,17.51,2.865882873701814,1.3389624681590313,99017.05269948862,101381.9927014271,98985.34925213756,0.999679818309203,98967.83925213756,0.9995029800826287,3351602.0,2399.960001938473,2364.9400019384725,0.024249897947394433,0.023896045622592423,0.02388416881197158,5,7,168.0,calm,27.104968295111725,,calendar_window_complete,Daily,1d
2003-09-30,27.348255157470703,QQQ,turn_of_month_seasonality,2003-10-01,2003-10-08,27.50852467415671,29.36436209196654,27.51718061920351,29.356138707813535,turn_of_month_window,3682.0,18.41,18.41,2.646640959242018,2.301248568436133,101381.9927014271,108116.2163836892,101336.66903990733,0.9995529416979083,101318.25903990732,0.9993713512644453,4560655.0,6771.043682262109,6734.223682262109,0.06682945153642172,0.06646604221268376,0.06642425841928944,5,7,168.0,calm,26.111281643798936,,calendar_window_complete,Daily,1d
