signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,entry_reason,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,holding_period_hours,regime_at_entry,stop_loss_used,take_profit_used,exit_reason,timeframe_label,data_interval
2024-07-29 00:00:00,68694.2421875,BTC-USD,adx_trend_following,2024-07-29 04:00:00,2024-07-30 04:00:00,68712.5078125,66574.3046875,68722.12713830965,66566.74158342365,adx_di_trend_following,1.455,1.9998138997248112,1.9370921800776284,0.8999381067405563,0.6361685875641977,100000.0,96859.97711156106,99992.69480014026,0.9999269480014026,99990.69498624055,0.9999069498624055,63581268.48,-3136.085982359132,-3140.0228884389344,-0.03136377822747087,-0.03140315095190632,-0.03140022888438934,6,1,24.0,neutral,63489.24609375,72113.4626579813,trend_reversal,4-Hour,4h
2024-09-26 16:00:00,65353.51953125,BTC-USD,adx_trend_following,2024-09-26 20:00:00,2024-09-30 16:00:00,65359.9375,64041.88671875,65381.808650406674,64031.26427422606,adx_di_trend_following,1.4813,1.9370014630769483,1.8969902353882215,2.8462624419856475,1.1589465543662352,96859.97711156106,94855.58173542625,96852.01015531049,0.9999177476963329,96850.0731538474,0.9998977497413379,54553574.400000006,-2000.5613844363472,-2004.3953761348125,-0.020656271278788125,-0.020695858153362553,-0.020693741996513138,23,3,92.0,calm,62669.26953125,68213.40927351118,trend_reversal,4-Hour,4h
2024-10-14 16:00:00,65668.2265625,BTC-USD,adx_trend_following,2024-10-14 20:00:00,2024-10-18 20:00:00,65664.2578125,68790.3125,65673.3216423823,68773.56408451613,adx_di_trend_following,1.4442000000000002,1.896908222318571,1.986455625017164,0.8803292969807937,1.9352984619621099,94855.58173542625,99329.06850650859,94847.30802415086,0.9999127757046657,94845.41111592854,0.9998927778491087,50272432.64,4477.370134929666,4473.486771082331,0.04720702965225196,0.04716608551165892,0.04716102826252124,24,4,96.0,calm,60561.16015625,68572.72962634184,take_profit,4-Hour,4h
2024-10-18 20:00:00,68410.046875,BTC-USD,adx_trend_following,2024-10-19 00:00:00,2024-10-23 12:00:00,68417.46875,66462.609375,68440.99069118574,66455.26316858998,adx_di_trend_following,1.4512,1.986431313820975,1.9287975582051557,2.9380022551981333,0.6054363581978524,99329.06850650859,96443.4654968456,99323.55212236257,0.9999444635469862,99321.56569104875,0.9999244650576851,69989137.92,-2881.687780790962,-2885.603009662988,-0.029013716817098776,-0.029053136542762432,-0.029050942015769608,27,4,108.0,calm,64856.5390625,71456.86167674871,trend_reversal,4-Hour,4h
2024-10-29 00:00:00,69918.609375,BTC-USD,adx_trend_following,2024-10-29 04:00:00,2024-10-29 20:00:00,69905.8046875,72691.8515625,69927.7299410645,72667.8615222017,adx_di_trend_following,1.3791,1.9287466472344414,2.0043249565053673,2.6363995683210986,2.8013274088129467,96443.4654968456,100218.44788878816,96439.26110836929,0.9999564056677697,96437.33236172206,0.9999364069396309,66471567.36000001,3778.9154635462983,3774.9823919425585,0.03918519281902313,0.03914440911516675,0.03914191980239478,4,0,16.0,calm,65596.734375,72649.27512969478,take_profit,4-Hour,4h
2024-10-29 20:00:00,72341.4453125,BTC-USD,adx_trend_following,2024-10-30 00:00:00,2024-11-03 08:00:00,72310.3046875,68558.125,72323.36865016077,68551.22015086518,adx_di_trend_following,1.3856000000000002,2.004225192033256,1.8996914128207762,1.3066529683751695,0.5072540094285436,100218.44788878816,94987.85501155932,100213.26382685482,0.9999482723785635,100211.25960166278,0.9999282738130872,92244584.96000001,-5226.688960623978,-5230.592877228833,-0.052156703562054145,-0.05219566042798291,-0.05219191663228702,26,4,104.0,calm,66683.1328125,75444.51946837985,trend_reversal,4-Hour,4h
2024-11-20 16:00:00,94164.6484375,BTC-USD,adx_trend_following,2024-11-20 20:00:00,2024-11-25 20:00:00,94176.4765625,95949.7421875,94204.90504475204,95917.73289404696,adx_di_trend_following,1.0082,1.8995477053223802,1.9340851660755631,2.5186393980432187,2.837161178360699,94987.85501155932,96710.89441634706,94979.28481382433,0.9999097758578299,94977.385266119,0.9998897780622686,86266997.76,1726.873037659136,1723.0394047877378,0.018181939130252706,0.018141575491470097,0.01813957589186593,30,5,120.0,neutral,88779.1484375,100075.01495326788,trend_reversal,4-Hour,4h
2024-12-16 08:00:00,104525.8984375,BTC-USD,adx_trend_following,2024-12-16 12:00:00,2024-12-19 08:00:00,104509.0078125,100619.8515625,104538.39960640758,100604.44424006443,adx_di_trend_following,0.925,1.9339603927185405,1.8611822184411924,2.31236943329362,1.0314753291422525,96710.89441634706,93068.1905598685,96699.95359631974,0.9998868708629638,96698.01963592702,0.9998668735254933,117274910.72000001,-3638.9087138674076,-3642.7038564785676,-0.037631677748604216,-0.037670925115049235,-0.03766591011759726,17,2,68.0,neutral,99237.8828125,109821.91463098439,stop_loss,4-Hour,4h
2025-01-04 12:00:00,97855.609375,BTC-USD,adx_trend_following,2025-01-04 16:00:00,2025-01-06 20:00:00,97864.078125,102163.859375,97894.6488114823,102136.14158861688,adx_di_trend_following,0.9506,1.8611730632039016,1.9418123238827842,2.623790370074116,2.2138078599803914,93068.1905598685,97096.35060842555,93060.51433325828,0.9999175204055861,93058.65316019507,0.9998975224551369,78641251.84,4031.9630339441346,4028.160048557048,0.043327115717045075,0.04328624917473074,0.04328181330618898,13,2,52.0,neutral,92849.7265625,102139.09590025115,take_profit,4-Hour,4h
2025-01-06 20:00:00,102102.734375,BTC-USD,adx_trend_following,2025-01-07 00:00:00,2025-01-08 00:00:00,102258.6875,96437.359375,102282.40557447492,96420.15077213426,adx_di_trend_following,0.9492,1.941729187425832,1.830440142258197,1.8194190200128433,1.2847517067670717,97096.35060842555,91528.12618071411,97088.40110047902,0.9999181276340798,97086.4593712916,0.9998981296714864,75040719.36,-5564.452258381751,-5568.224427711435,-0.057314400941344414,-0.05735325465332559,-0.057347412058432724,6,1,24.0,calm,96042.515625,106343.28693996313,trend_reversal,4-Hour,4h
2025-01-17 12:00:00,102739.984375,BTC-USD,adx_trend_following,2025-01-17 16:00:00,2025-01-20 04:00:00,102743.3125,99821.953125,102774.80040246085,99806.75276942478,adx_di_trend_following,0.8905000000000001,1.8304191951678281,1.7775582668234557,2.5647155220775812,1.022978671625601,91528.12618071411,88881.47178603351,91522.79017758656,0.9999417009464717,91520.9597583914,0.9999217025124215,109017251.84000002,-2643.0464172186194,-2646.6543946806105,-0.028879137895800783,-0.028918560313042862,-0.028916296062425965,15,2,60.0,neutral,94507.4140625,108121.98123069933,trend_reversal,4-Hour,4h
2025-04-26 00:00:00,94942.0234375,BTC-USD,adx_trend_following,2025-04-26 04:00:00,2025-05-05 04:00:00,94945.3125,94642.75,94958.95999907034,94614.73176148895,adx_di_trend_following,0.9359000000000001,1.777441813262599,1.7709985491115503,0.9374063037966256,2.4612976742019312,88881.47178603351,88555.76013811871,88873.8681049432,0.9999144514493571,88872.09066312994,0.999894453560286,114377122.56,-322.1632075524282,-325.71164791480237,-0.003625021141604391,-0.0036649486411815587,-0.003664561818900747,54,9,216.0,calm,89001.1875,99211.58274870848,trend_reversal,4-Hour,4h
2025-05-07 00:00:00,97344.5859375,BTC-USD,adx_trend_following,2025-05-07 04:00:00,2025-05-08 20:00:00,97414.609375,101310.4921875,97447.95074872563,101284.45982883281,adx_di_trend_following,0.9087000000000001,1.77101905690734,1.840743772929208,2.9226256143239837,2.0702223925739736,88555.76013811871,92038.38417638227,88552.7238644239,0.9999657134251901,88550.95284536699,0.9999457145109,64461840.64,3486.235801093393,3482.6240382635565,0.03936982820705801,0.03932904081049387,0.039326905814277634,10,1,40.0,calm,93438.1484375,100883.12370600637,take_profit,4-Hour,4h
2025-05-08 20:00:00,102553.375,BTC-USD,adx_trend_following,2025-05-09 00:00:00,2025-05-19 04:00:00,102611.0234375,105272.5703125,102622.20370558028,105242.3776258123,adx_di_trend_following,0.8968,1.8406318456632882,1.8876272850965696,0.5895776794482581,2.368871586600565,92038.38417638227,94384.42788891558,92033.43291501007,0.9999462043861753,92031.5922831644,0.9999262058620579,148016508.16,2349.7719716640727,2346.043712533313,0.02553223206694342,0.02549172142230208,0.025489840282695065,61,10,244.0,calm,93438.1484375,106513.27234630378,take_profit,4-Hour,4h
2025-05-19 16:00:00,105357.7265625,BTC-USD,adx_trend_following,2025-05-19 20:00:00,2025-05-22 04:00:00,105362.453125,109916.9375,105375.15399090984,109887.90136308908,adx_di_trend_following,0.8956000000000001,1.8874797582851774,1.968312089215652,0.7054451593639031,2.1423415636051364,94384.42788891558,98422.18864359181,94375.87539401714,0.999909386589613,94373.98791425886,0.999889388801837,107674685.44000001,4041.6165465237355,4037.7607546762347,0.042825535254435214,0.042784678743730126,0.042779946279151264,14,2,56.0,neutral,102112.6875,110142.11382532999,take_profit,4-Hour,4h
