agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,RCSI,RCSI_z,simulation_count,bh_adjusted_p_value,research_grade
turn_of_month_seasonality,0.0726319648239131,0.0037405477956282,0.0078218712973756,0.0740999531867382,80.70964517741129,0.0648100935265375,0.8746306946134031,2000,1.0,False
connors_rsi2_pullback,0.0123608865329991,0.0034544141236539,0.0046860856510529,0.0579625771810692,56.52173913043478,0.007674800881946199,0.13240958658499433,2000,1.0,False
mean_reversion_vol_filter,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2000,1.0,False
volatility_squeeze_breakout,-0.0211111035922565,0.0009048822465674,0.0003054337055309,0.0139007806550303,5.397301349325337,-0.0214165372977874,-1.540671551423794,2000,1.0,False
uptrend_oversold_reversion,-0.0321294517423678,0.0054055086492955,0.0035620491886131,0.0420150268420243,15.742128935532234,-0.035691500930980904,-0.8494937076960647,2000,1.0,False
trend_pullback,-0.050395708214255,0.0066296388740591,0.0079173530510594,0.0493572298366262,10.494752623688155,-0.0583130612653144,-1.1814492316187972,2000,1.0,False
breakout_volume_momentum,-0.0628665972530505,0.0059165315803801,0.0030185526205438,0.038857042475627,5.047476261869066,-0.0658851498735943,-1.695578090250194,2000,1.0,False
donchian_trend_reentry,-0.0484261197896169,0.021469931868962,0.0189148288036999,0.0667356530192053,15.792103948025987,-0.0673409485933168,-1.0090700479687718,2000,1.0,False
adx_trend_following,-0.0629934923552151,0.0113253010949715,0.0052771779976235,0.0548091349718001,11.594202898550725,-0.06827067035283861,-1.245607513929286,2000,1.0,False
random,0.0709868725754104,0.133920064338634,0.1407897940300371,0.1404375380720675,32.68365817091454,-0.0698029214546267,-0.4970389143307707,2000,1.0,False
trend_momentum_verification,-0.0957985893819146,0.0436153505680252,0.0478968518541629,0.0932713386541583,5.747126436781609,-0.1436954412360775,-1.5406173355020367,2000,1.0,False
