agent,outer_run,seed_used,actual_cumulative_return,annualized_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,RCSI,RCSI_z,significant_run,outperform_null_median,lower_5pct,upper_95pct,number_of_trades,transaction_cost,simulations_per_run,null_model
trend_pullback,1,101,0.05077746156350135,0.005298340378992897,0.1016672472864825,0.03529005842231279,-0.25533385779723416,0.13655311832753347,0.22669336119030112,0.5091114813291931,43.2,0.568,0.24565166428898116,-0.17591589962679977,-0.34553512556329874,0,0,-0.43841418774052054,1.239454873545508,78,0.00047,250,random_timing_matched_duration
breakout_volume_momentum,1,101,0.31961747777883975,0.031183788691534483,0.28043130235440705,0.1257785973228255,-0.33858385835936156,0.10782482247911786,0.21942137598708208,0.5737305043886101,67.60000000000001,0.324,0.48945498979338786,0.10019610179175767,0.17463966274292944,0,1,-0.4953868914838192,1.3595951937838744,43,0.00047,250,random_timing_matched_duration
mean_reversion_vol_filter,1,101,-0.3033445230820998,-0.048197292109811156,-0.6635237201202754,-0.40683885460114844,-0.3033445230821,0.023707731342785823,0.024654517818209477,0.21091612935969403,5.2,0.948,0.023191662661933767,-0.3279990409003093,-1.5551159690634344,0,0,-0.3076621989661773,0.36422030181924364,26,0.00047,250,random_timing_matched_duration
volatility_managed_tsmom,1,101,0.04727088599472139,0.0050426114561207425,0.09974791928318577,0.05420695472018694,-0.15664697195177435,0.19879555864919074,0.2594115234949832,0.3751319659992455,30.8,0.692,0.15989390554324223,-0.2121406375002618,-0.5655093586471074,0,0,-0.2649671925680577,0.9585572899284576,31,0.00047,250,random_timing_matched_duration
momentum_relative_strength,1,101,1.3100345158822837,0.09286267910083354,0.5663123362476905,0.17396150381136263,-0.3463891050521426,0.6592570917916544,0.9309106937784627,1.0933241273672776,70.8,0.292,0.5346171485515817,0.379123822103821,0.3467625131595243,0,1,-0.264950393453122,2.8020883552847997,102,0.00047,250,random_peer_rotation_matched_duration
random,1,101,-0.067347818674518,-0.007433036390933406,0.06859616560453319,0.023678040343563,-0.5706945485373125,0.3713261767560864,0.5638464491702921,0.8511212823812356,23.200000000000003,0.768,0.114638779968488,-0.6311942678448101,-0.7416032014601704,0,0,-0.439108167773595,2.2836327172450233,64,0.00047,250,random_timing_matched_duration
trend_pullback,2,102,0.05077746156350135,0.005298340378992897,0.1016672472864825,0.03529005842231279,-0.25533385779723416,0.18697555880903852,0.2467049074929514,0.519403772620802,36.4,0.636,0.19654288435158612,-0.19592744592945005,-0.37721606244953026,0,0,-0.45384892514524916,1.2517013712296954,78,0.00047,250,random_timing_matched_duration
breakout_volume_momentum,2,102,0.31961747777883975,0.031183788691534483,0.28043130235440705,0.1257785973228255,-0.33858385835936156,0.15883107918000006,0.27368669508814364,0.5820636982278968,64.0,0.36,0.44369749923271273,0.045930782690696115,0.07891023410415937,0,1,-0.41598562138480816,1.4575555771706912,43,0.00047,250,random_timing_matched_duration
mean_reversion_vol_filter,2,102,-0.3033445230820998,-0.048197292109811156,-0.6635237201202754,-0.40683885460114844,-0.3033445230821,0.01907135486982882,0.05141956906423527,0.20598181117007094,2.4,0.976,0.010550182333308195,-0.3547640921463351,-1.7223078587915734,0,0,-0.26077158042224,0.4322064735444137,26,0.00047,250,random_timing_matched_duration
volatility_managed_tsmom,2,102,0.04727088599472139,0.0050426114561207425,0.09974791928318577,0.05420695472018694,-0.15664697195177435,0.24341229256543806,0.28425151074496563,0.3955338112243547,28.000000000000004,0.72,0.14266750356873156,-0.23698062475024423,-0.5991412567655918,0,0,-0.28804390782060796,1.060986440914518,31,0.00047,250,random_timing_matched_duration
