signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,regime_at_entry,stop_loss_used,take_profit_used,exit_reason
2006-03-29,1375.0,ARK,breakout_volume_momentum,2006-03-30,2006-04-12,1437.5,1400.0,1437.7787705763792,1399.7670257763825,2,1.0,1.0,1.4392735748108036,1.1643785667701962,100000.0,99921.97651040001,2876.5575411527584,0.028765575411527584,2875.5575411527584,0.028755575411527585,2,-76.02348959999335,-78.02348959999335,-0.02643782588663377,-0.02713334318071589,-0.0007802348959999335,9,13,neutral,1065.5597464454147,1931.9924563982536,failed_breakout
2006-07-06,1325.0,ARK,breakout_volume_momentum,2006-07-07,2006-07-25,1312.5,1362.5,1312.923214406877,1362.211194868921,2,1.0,1.0,2.7244907190633914,1.6201200824586706,99921.97651040001,100018.5524713241,2626.846428813754,0.02628897586448711,2625.846428813754,0.02627896805604573,2,98.57596092408812,96.57596092408812,0.03754064207350487,0.036778982907891174,0.000966513716970324,12,18,stressed,996.3534348318991,1916.5638173025816,failed_breakout
2006-08-21,1537.5,ARK,breakout_volume_momentum,2006-08-22,2006-08-25,1525.0,1312.5,1525.3782714083843,1312.248289903343,1,1.0,1.0,1.9804682516997834,1.418159075487952,100018.5524713241,99803.42248981906,1526.3782714083843,0.015260951430445924,1525.3782714083843,0.015250953285348926,1,-213.12998150504131,-215.12998150504131,-0.1397227071474265,-0.1410338573306223,-0.0021509007698018857,3,3,calm,1239.346988376868,2074.175420921638,failed_breakout
2006-10-10,1525.0,ARK,breakout_volume_momentum,2006-10-11,2006-11-03,1500.0,1687.5,1500.1705862755903,1687.2932542841197,1,1.0,1.0,0.6372418372672943,0.7253099178544473,99803.42248981906,99988.54515782758,1501.1705862755903,0.015041273623945356,1500.1705862755903,0.01503125392747551,1,187.12266800852944,185.12266800852944,0.12473426003711413,0.12340107831878348,0.001854872943133927,17,23,calm,1240.625977595931,2036.873240327324,failed_breakout
2006-11-08,1912.5,ARK,breakout_volume_momentum,2006-11-09,2006-11-15,1975.0,1818.75,1975.4727291856327,1818.37703038961,3,1.0,1.0,1.8935654968746405,1.5511126359211023,99988.54515782758,99515.25806143951,5927.418187556898,0.05928097241739767,5926.418187556898,0.05927097127178223,3,-471.28709638806845,-473.28709638806845,-0.07952309159984396,-0.07986056356633447,-0.0047334131688885495,4,6,neutral,1587.2601903581108,2497.9316573554006,failed_breakout
2007-01-08,2125.0,ARK,breakout_volume_momentum,2007-01-09,2007-01-29,2100.0,2750.0,2100.7120607440725,2749.5339316926825,4,1.0,1.0,2.8907654479629246,1.19508112609534,99515.25806143951,102108.54554523395,8403.84824297629,0.0844478365095316,8402.84824297629,0.08443778779921843,4,2595.28748379444,2593.28748379444,0.30885806916289005,0.30862005462994024,0.02605919468342609,13,20,stressed,-34.43595407880309,6011.984717341846,failed_breakout
2007-01-31,2800.0,ARK,breakout_volume_momentum,2007-02-01,2007-02-09,2775.0,2525.0,2775.4679068113815,2524.186360003177,5,1.0,1.0,1.1861506716451564,2.7233753011087574,102108.54554523395,100850.13781119292,13878.339534056908,0.13591751268172575,13877.339534056908,0.1359077191821253,5,-1256.4077340410222,-1258.4077340410222,-0.09053664291758691,-0.09068076276095399,-0.01232421564053666,6,8,stressed,-68.04193363845093,7962.475480549212,failed_breakout
2007-02-14,2887.5,ARK,breakout_volume_momentum,2007-02-15,2007-02-28,3100.0,2500.0,3100.8615847665706,2499.7173433542457,4,1.0,1.0,2.279305698613785,0.6307544291203275,100850.13781119292,98443.56084554363,12404.446339066282,0.12299880405011768,12403.446339066282,0.12298888834725695,4,-2404.5769656492994,-2406.5769656492994,-0.19386361660434395,-0.1940248621118688,-0.023862902102868556,8,13,stressed,2240.4493311339147,4052.1912039589533,failed_breakout
2008-05-09,625.0,ARK,breakout_volume_momentum,2008-05-12,2008-06-04,637.5,662.5,637.603200605895,662.2754132989584,1,1.0,1.0,1.1188330336473524,2.891137531785447,98443.56084554363,98466.2330582367,638.603200605895,0.0064869981857711674,637.603200605895,0.0064768400810519666,1,24.67221269306333,22.67221269306333,0.03869524599252023,0.03555849887754423,0.00023030671075211987,16,23,stressed,-12.463986705373982,1772.4351760696732,failed_breakout
2009-01-06,137.5,ARK,breakout_volume_momentum,2009-01-07,2009-01-22,168.75,100.0,168.8056469292173,99.98989133137017,1,1.0,1.0,2.7975958054689025,0.5109690584943906,98466.2330582367,98395.41730263885,169.8056469292173,0.0017245063780269498,168.8056469292173,0.0017143506122487611,1,-68.81575559784712,-70.81575559784712,-0.40766263954844223,-0.4195105844269606,-0.0007191882272571955,10,15,stressed,-2.8541417917294662,390.13745522511306,failed_breakout
2009-02-19,137.5,ARK,breakout_volume_momentum,2009-02-20,2009-03-06,122.5,93.75,122.54215730843639,93.73591055747859,1,1.0,1.0,2.941412933583065,1.0030997658872283,98395.41730263885,98364.61105588789,123.54215730843639,0.0012555682032269113,122.54215730843639,0.0012454051282848714,1,-28.806246750957797,-30.806246750957797,-0.2350721366725493,-0.25139305058437184,-0.0003130861944129548,10,14,stressed,79.81646451459154,241.33036387373522,failed_breakout
2009-03-30,137.5,ARK,breakout_volume_momentum,2009-03-31,2009-04-14,137.5,143.75,137.5270267387295,143.7323626431433,1,1.0,1.0,1.4655809985087027,0.72709712220494,98364.61105588789,98368.8163917923,138.5270267387295,0.00140830147399274,137.5270267387295,0.0013981352161357163,1,6.205335904413801,4.205335904413801,0.04512084680055323,0.030578250720151145,4.2752529179670644e-05,9,14,neutral,89.79017944582613,223.377676997513,stop_loss
2009-04-20,175.0,ARK,breakout_volume_momentum,2009-04-21,2009-05-01,162.5,121.25,162.51763357202864,121.21427920310973,2,1.0,1.0,0.5851428940695584,2.4469132782968765,98368.8163917923,98284.20968305446,326.0352671440573,0.0033144168965650077,325.0352671440573,0.003304251073322639,2,-82.60670873783783,-84.60670873783783,-0.25414690985278876,-0.2603000882988482,-0.000860096846147447,8,10,stressed,-0.950368646659931,491.7106635639879,failed_breakout
2009-07-16,112.5,ARK,breakout_volume_momentum,2009-07-17,2009-08-11,112.5,103.75,112.51339933360127,103.73157568047328,7,1.0,1.0,0.6910518756694404,1.2761534427537098,98284.20968305446,98220.73691748257,788.5937953352089,0.008023606211804065,787.5937953352089,0.008013431637442376,7,-61.472765571895906,-63.472765571895906,-0.07805135837279215,-0.0805907384591332,-0.0006458083732532621,17,25,calm,87.22075377254176,158.00264320942483,failed_breakout
2009-09-17,108.75,ARK,breakout_volume_momentum,2009-09-18,2009-10-02,108.75,100.0,108.76865921537484,99.96543895915632,10,1.0,1.0,1.2157899195241504,2.9572989628744137,98220.73691748257,98130.70471492039,1088.6865921537483,0.011084080880683864,1087.6865921537483,0.011073899731250622,10,-88.03220256218523,-90.03220256218523,-0.08093526499013934,-0.0827740299564701,-0.0009166313080894851,10,14,calm,90.58342612810388,141.44983296941302,failed_breakout
2009-10-19,162.5,ARK,breakout_volume_momentum,2009-10-20,2009-11-02,187.5,118.75,187.53961076855882,118.70984490368467,26,1.0,1.0,1.6125743231373597,2.8826256236710024,98130.70471492039,96339.13080243366,4877.02987998253,0.04969932595664929,4876.02987998253,0.04968913546629354,26,-1789.5739124867277,-1791.5739124867277,-0.36701455006119443,-0.3674247198200407,-0.018257016676802955,9,13,stressed,94.85467038374841,284.2615933092529,failed_breakout
2009-12-02,131.25,ARK,breakout_volume_momentum,2009-12-03,2009-12-10,131.25,112.5,131.27919804967266,112.47271038348633,10,1.0,1.0,1.724613308391567,1.9263322561209066,96339.13080243366,96149.06592577179,1313.7919804967266,0.013637158333833945,1312.7919804967266,0.013626778335678774,10,-188.06487666186328,-190.06487666186328,-0.14325565623176978,-0.14477912684227978,-0.0019728730691128673,4,7,calm,111.28274735689017,167.1910547575977,failed_breakout
2010-04-01,93.75,ARK,breakout_volume_momentum,2010-04-06,2010-04-21,93.75,91.25,93.77126518617591,91.22943136411098,22,1.0,1.0,1.768286525431355,1.754605293650394,96149.06592577179,96091.14558168636,2063.96783409587,0.021466332659843802,2062.96783409587,0.02145593214278863,22,-55.92034408542847,-57.92034408542847,-0.027106745515465824,-0.028076222579986577,-0.0006024015265020219,11,15,neutral,71.52412976826638,133.75656641712052,failed_breakout
2010-09-30,102.5,ARK,breakout_volume_momentum,2010-10-01,2010-10-15,93.75,1.399999976158142,93.77908070775233,1.3996453956945645,186,1.0,1.0,2.601942160248816,2.0333592684855466,96091.14558168636,78906.57061364362,17443.909011641932,0.18153503016376255,17442.909011641932,0.18152462337764352,186,-17182.574968042743,-17184.574968042743,-0.9850750787368417,-0.9851897385105449,-0.1788361962386458,10,14,stressed,41.37741903222326,212.52064574199812,stop_loss
2011-01-06,81.25,ARK,breakout_volume_momentum,2011-01-07,2011-01-27,83.75,93.75,83.76043086792716,93.73241431470316,67,1.0,1.0,0.7454767674215796,1.376158362654032,78906.57061364362,79572.69350457762,5612.948868151119,0.07113411246364054,5611.948868151119,0.07112143924780791,67,668.1228909339925,666.1228909339925,0.11905363121280692,0.11869724877829287,0.008441919167867297,13,20,calm,66.82184274097239,107.2206830662497,stop_loss
2011-02-28,96.25,ARK,breakout_volume_momentum,2011-03-01,2011-03-15,100.0,68.75,100.0301026669814,68.73079492346186,95,1.0,1.0,2.5102666981403443,2.294246241373258,79572.69350457762,76597.25926894326,9503.859753363233,0.11943619519196619,9502.859753363233,0.11942362806678848,95,-2973.4342356343573,-2975.4342356343573,-0.3128988865253962,-0.3131093494862215,-0.037392654497276606,10,14,calm,75.15686807133818,134.21763747159127,stop_loss
2012-03-14,14.75,ARK,breakout_volume_momentum,2012-03-15,2012-04-11,14.75,16.0,14.753645443620124,15.997744356580622,69,1.0,1.0,1.971487200084331,0.9099759122912822,76597.25926894326,76681.10209393754,1019.0015356097886,0.013303368101356438,1018.0015356097886,0.013290312803953578,69,85.84282499427434,83.84282499427434,0.0843248482359646,0.08236021465729128,0.0010945930153961636,18,27,neutral,10.91261874997826,21.657286250039135,failed_breakout
2012-05-01,18.25,ARK,breakout_volume_momentum,2012-05-02,2012-05-09,17.75,16.5,17.75588460451967,16.497751215598054,97,1.0,1.0,2.8152701519274452,0.8630854124053873,76681.10209393754,76557.06315521215,1723.3208066384082,0.022473865914541348,1722.3208066384082,0.022460824891750948,97,-122.0389387253969,-124.0389387253969,-0.07085726320846701,-0.07201848705961676,-0.0016175946268148838,5,7,calm,15.670659210258819,22.892813421534125,failed_breakout
2012-10-04,10.0,ARK,breakout_volume_momentum,2012-10-05,2012-10-17,10.0,8.0,10.001357393592723,7.9986567969639,23,1.0,1.0,0.8573935927218643,1.1792857478406535,76557.06315521215,76509.00104148968,231.03122005263265,0.0030177649263300353,230.03122005263265,0.003004702774272653,23,-46.06211372246294,-48.06211372246294,-0.2002428788228121,-0.20893735081466774,-0.0006277946376420107,8,12,neutral,7.433202987022061,14.62023462336029,failed_breakout
2012-11-05,10.5,ARK,breakout_volume_momentum,2012-11-06,2012-11-16,10.75,8.75,10.75134871451469,8.74699186076001,58,1.0,1.0,0.754618153198489,2.9390557209555728,76509.00104148968,76390.7483439719,624.5782254418519,0.008163460729321934,623.5782254418519,0.008150390371764165,58,-116.25269751777138,-118.25269751777138,-0.1864284107024385,-0.1896357067855929,-0.0015456050387279885,8,10,neutral,7.679263672911511,15.57732538875928,failed_breakout
2013-01-11,9.75,ARK,breakout_volume_momentum,2013-01-14,2013-02-06,9.75,11.25,9.751437572979299,11.248161786822966,44,1.0,1.0,0.9744338249224247,1.1342342970101202,76390.7483439719,76454.60420938102,430.06325321108915,0.005629781911215247,429.06325321108915,0.005616691320774934,44,65.85586540912134,63.855865409121336,0.15348754505602413,0.14882622767442108,0.0008359109812825951,16,23,neutral,7.685237642763873,13.466572243025029,failed_breakout
2013-09-04,4.0,ARK,breakout_volume_momentum,2013-09-05,2013-09-17,4.0,3.0,4.001324693972152,2.9992926295438362,93,1.0,1.0,2.8117349303797723,1.858457621626897,76454.60420938102,76359.4152273892,373.1231965394101,0.004880323433727588,372.1231965394101,0.004867243776716202,93,-93.18898199183337,-95.18898199183337,-0.2504250819579426,-0.25579964613077344,-0.0012450392357162138,8,12,neutral,2.9622196093913984,5.868004703095483,failed_breakout
2014-01-14,2.0,ARK,breakout_volume_momentum,2014-01-15,2014-01-29,1.75,1.5,1.7503492093218889,1.49984618959752,63,1.0,1.0,1.4954818393660911,0.5255078390497845,76359.4152273892,76341.63353714655,111.272000187279,0.0014572138858832838,110.272000187279,0.0014441179238853807,63,-15.781690242635243,-17.781690242635243,-0.14311602415692667,-0.16125299452658828,-0.0002328683396760373,9,14,stressed,1.2307763746059075,3.384602525709367,failed_breakout
2014-11-19,1.0,ARK,breakout_volume_momentum,2014-11-20,2014-12-12,1.0,1.0,1.0001511951897504,0.9996965448887648,934,4.67,4.67,1.0119518975033581,2.535472241919034,76341.63353714655,76331.86889376544,938.8112163072268,0.012297499710304432,934.1412163072268,0.01223632732266188,934,-0.424643381120523,-9.764643381120523,-0.00045458157043877116,-0.010453069847106564,-0.00012790718417584308,15,22,stressed,0.7331523285999613,1.4803258085200697,failed_breakout
