signal_date,signal_close,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,regime_at_entry
1999-07-13,63.376705169677734,1999-07-14,1999-10-04,63.60673946377412,58.756401493605715,63.62818069938598,58.736376046504155,1571,7.855,7.855,2.870906258145408,2.9093773653483574,100000.0,92299.26489032265,99967.72687873537,0.9996772687873536,99959.87187873537,0.9995987187873537,27188,-7685.025109677345,-7700.735109677345,-0.07688110203862909,-0.07703826510521503,-0.07700735109677345,57,calm
1999-10-04,59.34254455566406,1999-10-05,1999-10-06,59.298167440865114,59.36036898985663,59.31014476390235,59.349781089883635,1556,7.78,7.78,1.5198470802962778,1.2839829867203232,92299.26489032265,92345.37901354954,92294.36525263205,0.9999469157452509,92286.58525263205,0.9998626247163976,53865,61.67412322687855,46.11412322687855,0.0006682891457956461,0.0004996839258993316,0.0004996152816782996,1,calm
1999-10-06,60.17741775512695,1999-10-07,1999-10-13,60.28395694813637,58.96957691797652,60.29243740490579,58.94932653160611,1531,7.655,7.655,0.9067518455557917,2.9352192911909882,92345.37901354954,90273.76626652773,92315.37666691076,0.9996751072229139,92307.72166691076,0.9995922119001401,59014,-2056.3027470218085,-2071.612747021809,-0.022276606007479053,-0.022442464288059804,-0.0224333125181916,4,neutral
1999-11-11,60.321754455566406,1999-11-12,2000-01-05,60.81918604460805,62.7106519144797,60.83398943524466,62.70213761274272,1483,7.415,7.415,1.9340001238671225,0.8578965663919126,90273.76626652773,93029.40001375735,90224.22133246783,0.999451170189204,90216.80633246784,0.9993690311547241,54988,2770.463747229618,2755.633747229618,0.030708953906214313,0.030544572117467007,0.030525299444068604,36,neutral
2000-01-06,63.70829772949219,2000-01-07,2000-02-07,64.59909696289988,62.27063000010348,64.61904604142752,62.258193651176065,1439,7.195,7.195,2.5881358200876665,1.4975441300299424,93029.40001375735,89617.7434241855,92994.00225361422,0.9996194992105948,92986.80725361421,0.9995421580689886,40500,-3397.2665895718496,-3411.65658957185,-0.03653493102850679,-0.036689684164193576,-0.03667288608834764,20,neutral
2000-02-08,62.35977935791016,2000-02-09,2000-02-10,62.28850515946001,61.19210874087343,62.301687968047716,61.18404630748822,1438,7.19,7.19,1.6164111346006165,0.8177345847126956,89617.7434241855,87996.19471630093,89597.01729805261,0.9997687274267242,89589.82729805261,0.99968849777883,53208,-1607.1687078845603,-1621.5487078845604,-0.017939187476472506,-0.018099696771262865,-0.01809405867551611,1,neutral
2000-03-16,60.99092102050781,2000-03-17,2000-04-17,60.63439546007711,58.846795356498575,60.64383785240485,58.82933800183024,1450,7.25,7.25,1.057266672833201,2.4674572689895653,87996.19471630093,85350.66993296774,87940.81488598703,0.9993706565324506,87933.56488598703,0.9992882666061206,102947,-2631.024783333189,-2645.524783333189,-0.029920597291199613,-0.03008549450671454,-0.030064081655602735,21,stressed
2000-04-17,60.63436508178711,2000-04-18,2000-05-04,60.90245414350858,60.248655526062336,60.91844083584933,60.23615839817063,1400,7.0,7.0,2.124966853236589,1.5746887291678855,85350.66993296774,84381.47452021755,85292.81717018907,0.9993221756452046,85285.81717018907,0.999240161057557,140789,-955.1954127501815,-969.1954127501815,-0.011199932702105387,-0.011364086607930814,-0.011355451732380813,11,stressed
2000-07-20,62.56266021728515,2000-07-21,2000-07-24,62.03199860871395,61.664089566716825,62.05088700127144,61.65450376283246,1359,6.795,6.795,2.5449434132598276,1.0547613392918718,84381.47452021755,83829.19969917898,84333.95043472789,0.9994367947969636,84327.15543472789,0.9993562676428859,33084,-538.6848210385724,-552.2748210385723,-0.006388035007958177,-0.006549193058765655,-0.00654497713128074,1,calm
2000-08-02,61.44873809814453,2000-08-03,2000-09-18,60.92830964517064,62.99822249423549,60.94457374339415,62.983086594284984,1375,6.875,6.875,2.16938280714297,1.9031689726498402,83829.19969917898,86618.40486915388,83805.66389716696,0.999719241003177,83798.78889716696,0.9996372290070626,29691,2802.9551699748945,2789.2051699748945,0.03344863579609151,0.03328455227912239,0.03327247760904262,31,calm
