signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,regime_at_entry,stop_loss_used,take_profit_used,exit_reason
1999-11-04,60.623741149902344,DIA,random,1999-11-05,1999-11-17,61.38782574388393,62.222847218438446,61.39962001973952,62.20672099071203,1628,8.14,8.14,1.4212727788725275,2.0923609972668897,100000.0,101297.68038074324,99966.72139213594,0.9996672139213594,99958.58139213594,0.9995858139213594,59162,1313.96038074324,1297.6803807432398,0.013145048303442743,0.01298218084600921,0.012976803807432397,8,12,stressed,,,random_time_exit
1999-11-26,62.32997512817383,DIA,random,1999-11-29,1999-12-06,62.40124463620157,64.33229522556398,62.40994203922219,64.32035050447078,1622,8.11,8.11,0.8937867860369506,1.357067164516345,101297.68038074324,104380.14291137646,101237.0359876184,0.9994013249573247,101228.9259876184,0.9993212638940356,36570,3098.682530633219,3082.4625306332186,0.03061064315759142,0.03045041227652898,0.0304297444822754,5,7,calm,,,random_time_exit
1999-12-08,62.91737365722656,DIA,random,1999-12-09,1999-12-20,63.48689358322709,64.56347877900384,63.506098354398475,64.54682237270173,1643,8.215,8.215,2.524997773156229,2.0805153049881175,104380.14291137646,106073.6224734487,104348.73459627668,0.9996990968375428,104340.51959627669,0.9996203941286667,26688,1709.909562072242,1693.479562072242,0.016387780784381474,0.016230315591917684,0.016224154468825396,7,11,calm,,,random_time_exit
2000-05-05,60.570526123046875,DIA,random,2000-05-08,2000-05-30,60.239697784941455,59.68078847544817,60.255364164846455,59.671329914945694,1760,8.8,8.8,2.1006737219898035,1.085109719517674,106073.6224734487,105028.12219362336,106058.24093012976,0.9998549918164359,106049.44093012976,0.9997720305693811,115636,-1027.9002798253384,-1045.5002798253383,-0.009692651567136184,-0.009858611895126934,-0.00985636443298651,15,22,stressed,,,random_time_exit
2000-06-19,60.55552673339844,DIA,random,2000-06-20,2000-07-03,60.44801836878702,60.07168606100304,60.466491524657535,60.05816483901026,1736,8.68,8.68,2.5560399445711504,1.7513545042592753,105028.12219362336,104301.9070673397,104978.50928680548,0.9995276226425679,104969.82928680549,0.9994449781106206,46120,-708.8551262836688,-726.2151262836687,-0.006752941593787756,-0.0069183224476764265,-0.0069144826272801805,9,13,neutral,,,random_time_exit
2000-08-16,63.78173828125,DIA,random,2000-08-17,2000-09-05,63.18060327631539,64.35511216373965,63.20123799156333,64.34525704236246,1650,8.25,8.25,2.765988955138247,1.031600281074425,104301.9070673397,106173.03850115825,104290.2926860795,0.9998886465110106,104282.0426860795,0.9998095492036654,37024,1887.631433818565,1871.131433818565,0.018101212684344004,0.01794298793562413,0.01793957067928317,12,19,calm,,,random_time_exit
2001-02-13,63.21113204956055,DIA,random,2001-02-14,2001-03-05,63.257429610634375,60.972096349417455,63.277976546813626,60.953370551149156,1677,8.385,8.385,2.7481459183088677,2.572151400156581,106173.03850115825,102257.90424642894,106125.55166900644,0.9995527411401032,106117.16666900644,0.9994737662881222,70806,-3898.364254729316,-3915.1342547293166,-0.036736414824274685,-0.03689444769045842,-0.036875032588302596,12,19,calm,,,random_time_exit
2001-03-30,57.51907730102539,DIA,random,2001-04-02,2001-04-25,57.08970611443172,61.02528938538855,57.09645352719132,61.011324070126236,1790,8.950000000000001,8.950000000000001,0.6818965657460891,1.78897101893221,102257.90424642894,109247.62251828243,102211.60181367246,0.9995471994747233,102202.65181367246,0.9994596756782408,256949,7007.618271853496,6989.718271853496,0.06856591436227323,0.06839077213570328,0.06835381893813447,16,23,stressed,,,random_time_exit
2001-05-09,63.06340026855469,DIA,random,2001-05-10,2001-05-23,63.71948559172052,65.30951139974074,63.73570165334961,65.29884932759109,1713,8.565,8.565,2.044914083737439,1.1328116436131839,109247.62251828243,111908.16448425807,109187.82193218789,0.9994526143021142,109179.25693218788,0.9993742144266516,178475,2677.6719659756513,2660.5419659756512,0.02452546427970997,0.024368566344320657,0.024353316847059197,9,13,neutral,,,random_time_exit
2001-06-22,61.848995208740234,DIA,random,2001-06-25,2001-07-17,62.04110030697084,60.89427227189672,62.055865407357906,60.88750937512354,1803,9.015,9.015,1.879890155720616,0.6107198902672892,111908.16448425807,109783.58855813951,111895.74032946631,0.9998889790137384,111886.72532946631,0.9998084218886927,128964,-2106.545926118558,-2124.5759261185576,-0.01882748753183664,-0.018988632653806275,-0.01898499484742615,15,22,calm,,,random_time_exit
2001-07-30,60.65070724487305,DIA,random,2001-07-31,2001-08-15,60.75562749573384,60.79060245476974,60.76381285317985,60.774731574180194,1806,9.03,9.03,0.8472591401660352,2.1114275091744745,109783.58855813951,109785.24776826613,109748.4760128428,0.9996801658084067,109739.4460128428,0.9995979130772052,94324,19.719210126621405,1.6592101266214065,0.00017969117617300224,1.5119541668063727e-05,1.5113462298080348e-05,11,15,neutral,,,random_time_exit
2001-08-23,59.77420425415039,DIA,random,2001-08-24,2001-09-05,59.9493184933597,58.34481358966966,59.95817614215389,58.32452584561279,1830,9.15,9.15,0.9775228504344226,2.97842417280416,109785.24776826613,106777.36772559592,109732.61234014161,0.9995205601007923,109723.46234014162,0.9994372155696645,140518,-2989.5800426702103,-3007.8800426702105,-0.027246497502991136,-0.027413280428080306,-0.02739785266067096,7,12,calm,,,random_time_exit
2001-09-24,50.4077262878418,DIA,random,2001-09-25,2001-10-05,50.436960669198854,52.92219700767319,50.44896711074247,52.916445318269005,2116,10.58,10.58,1.8804847445845136,0.5869379773318252,106777.36772559592,111977.39161272206,106760.59440633107,0.9998429131601375,106750.01440633107,0.9997438284924279,334744,5221.183887126143,5200.023887126144,0.048910381100768154,0.04871216098700351,0.048699682319286376,8,10,stressed,,,random_time_exit
2001-10-24,54.70621871948242,DIA,random,2001-10-25,2001-11-16,54.15008102114678,58.12923184187019,54.15912618048537,58.116926230317425,2067,10.335,10.335,1.170387036919677,1.6173885735107645,111977.39161272206,120137.4943157249,111957.24881506327,0.9998201172810985,111946.91381506326,0.999727821864576,304093,8180.772703002852,8160.102703002852,0.07307725085228807,0.07289260976397592,0.07287276998936418,16,22,neutral,,,random_time_exit
2001-12-21,59.040245056152344,DIA,random,2001-12-24,2002-01-07,59.051986027698625,60.43246733763872,59.06677529493961,60.4191796852781,2033,10.165000000000001,10.165000000000001,2.0044487469129963,1.699244086038159,120137.4943157249,122866.60244128306,120092.91917461222,0.9996289656167163,120082.75417461223,0.9995443542299224,145569,2749.4381255581543,2729.1081255581544,0.02289619474883295,0.022726894834455252,0.022716539420956933,8,14,neutral,,,random_time_exit
