agent,regime_at_entry,total_trades,min_trades_required,meets_min_trade_threshold,average_return,median_return,win_rate,std_return,trade_level_return_ratio,plot_trade_level_return_ratio
trend,calm,59,20,True,-0.001992497707886426,-0.0080432345776458,0.22033898305084745,0.021607267019943574,-0.09221424005392928,-0.09221424005392928
trend,neutral,75,20,True,0.004416294369460403,-0.0058541754740461,0.32,0.030910603954768325,0.14287311810286182,0.14287311810286182
trend,stressed,80,20,True,0.007263026810073861,-0.0088898562046245,0.275,0.05097505368969496,0.14248198450729918,0.14248198450729918
mean_reversion,calm,33,20,True,0.009615680581523477,0.0099119076014244,0.7878787878787878,0.011236085751148026,0.8557856173837951,0.8557856173837951
mean_reversion,neutral,44,20,True,0.008809158385971638,0.01756393643603075,0.6818181818181818,0.023672686521431292,0.3721233066638446,0.3721233066638446
mean_reversion,stressed,27,20,True,0.002987669274366741,0.0188869943274984,0.6666666666666666,0.0688168778991906,0.0434147750606088,0.0434147750606088
random,calm,56,20,True,0.007790919097888573,0.0031439306807025,0.6071428571428571,0.032656538408311876,0.23857149219176263,0.23857149219176263
random,neutral,43,20,True,0.008357294302144892,0.0049003000041063,0.6046511627906976,0.028284654566481417,0.29547096933786354,0.29547096933786354
random,stressed,40,20,True,-0.00015118919746137972,0.0086345588763718,0.6,0.0534153187638181,-0.002830446414255804,-0.002830446414255804
momentum,calm,20,20,True,0.020494399503664204,0.00330670023252395,0.55,0.054669601244460665,0.37487742798820534,0.37487742798820534
momentum,neutral,38,20,True,0.025805754943976477,-0.0053694612870468506,0.4473684210526316,0.10226643424833479,0.25233846406839666,0.25233846406839666
momentum,stressed,35,20,True,0.00918951345210358,-0.0068344158790197,0.34285714285714286,0.06730885205615776,0.13652756170074773,0.13652756170074773
breakout,calm,17,20,False,0.008952657795926036,-0.0095386018947024,0.47058823529411764,0.03848230145096719,0.2326435129492762,
breakout,neutral,23,20,True,0.01854075675171484,0.021947147102928,0.6086956521739131,0.05624173445516884,0.32966189487797476,0.32966189487797476
breakout,stressed,30,20,True,0.01587075557978221,0.00664551292953765,0.5666666666666667,0.06886928155528817,0.23044752640611166,0.23044752640611166
