signal_date,signal_close,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,regime_at_entry
2002-03-14,1155.75,2002-03-15,2002-04-05,1154.25,1127.25,1154.5161611750636,1127.0921171628863,86,1.0,1.0,1.8059231107962246,0.900797988998231,100000.0,97639.53221495275,99289.38986105548,0.9928938986105548,99288.38986105548,0.9928838986105547,10926,-2358.4677850472494,-2360.4677850472494,-0.02375371167109969,-0.02377385501316414,-0.023604677850472496,14,neutral
2002-04-08,1128.0,2002-04-09,2002-04-10,1129.25,1120.5,1129.4040912335731,1120.2955137724514,86,1.0,1.0,0.8645449065585621,1.3252882836249085,97639.53221495275,96854.19455329629,97129.75184608728,0.994778955231543,97128.75184608728,0.994768713478256,10962,-783.3376616564697,-785.3376616564697,-0.008064941088687792,-0.00808553231386043,-0.008043234577645808,1,calm
2002-04-10,1132.25,2002-04-11,2002-04-12,1132.0,1103.5,1132.3042033838244,1103.1880524743003,85,1.0,1.0,2.187309044384126,2.3276912988669944,96854.19455329629,94377.32172598674,96246.85728762507,0.9937293653777998,96245.85728762507,0.99371904057974,12805,-2474.872827309548,-2476.872827309548,-0.0257140712032263,-0.02573485131840594,-0.02557321176158861,1,calm
2002-04-16,1129.75,2002-04-17,2002-04-18,1131.5,1127.25,1131.7440291334185,1126.9940943021538,83,1.0,1.0,1.6566869944195375,1.7706924476340145,94377.32172598674,93981.07713499176,93935.75441807373,0.9953212562103103,93934.75441807373,0.9953106604444875,15109,-394.2445909949686,-396.2445909949686,-0.004197004542539295,-0.004218295916667966,-0.004198514894769078,1,calm
2002-08-19,948.75,2002-08-20,2002-08-29,948.25,916.5,948.5152642495882,916.3622135792505,99,1.0,1.0,2.297408379523183,1.0036239895928518,93981.07713499176,90795.92511862832,93904.01116070923,0.9991799841347653,93903.01116070923,0.9991693436948972,30727,-3183.152016363436,-3185.152016363436,-0.03389829545418588,-0.03391959402571494,-0.03389141850107095,7,stressed
2002-09-10,911.25,2002-09-11,2002-09-13,911.0,889.0,911.1674199481452,888.7153267835038,99,1.0,1.0,1.3377601333168618,2.703199133815602,90795.92511862832,88571.16789532882,90206.57457486638,0.9935090639476173,90205.57457486638,0.9934980502374899,24722,-2222.757223299497,-2224.757223299497,-0.024641018404629896,-0.024663189983375734,-0.024502831161120585,2,stressed
2002-10-15,883.75,2002-10-16,2002-10-17,874.5,865.5,874.588946138569,865.2883500385934,101,1.0,1.0,0.5171085027903911,1.9460049808490991,88571.16789532882,87629.80768923128,88334.48355999547,0.9973277496395547,88333.48355999547,0.9973164592837452,33915,-939.360206097532,-941.360206097532,-0.010634248398678008,-0.010656889869606093,-0.01062829167173236,1,stressed
2002-10-17,878.75,2002-10-18,2002-12-16,885.5,886.25,885.7520787733822,886.0441997329951,98,1.0,1.0,2.3467393944906667,1.822686239206152,87629.80768923128,87656.43554327334,86804.70371979146,0.9905842088303337,86803.70371979146,0.9905727971882639,37227,28.627854042067156,26.627854042067156,0.0003297999142349952,0.0003067594227087794,0.00030386753941649263,41,stressed
2002-12-16,910.25,2002-12-17,2002-12-19,910.25,893.25,910.4209192073646,892.9579758158634,96,1.0,1.0,1.3777171915909823,2.770301537647084,87656.43554327334,85977.99297768922,87401.408243907,0.9970906038126495,87400.408243907,0.9970791956371539,24063,-1676.442565584115,-1678.442565584115,-0.019181175457506926,-0.019204058645814454,-0.019147967347537403,2,stressed
2003-01-02,907.5,2003-01-03,2003-01-20,907.5,903.25,907.688511285316,903.1494378416405,94,1.0,1.0,1.5772593423255294,0.6134608974557827,85977.99297768922,85549.32007398372,85323.7200608197,0.9923902280780234,85322.7200608197,0.9923785971947547,15496,-426.6729037055002,-428.6729037055002,-0.005000695048181298,-0.005024135463566255,-0.0049858445034502985,11,neutral
