signal_date,signal_close,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,regime_at_entry
2018-12-23,130.7652587890625,2018-12-24,2019-01-28,130.64166259765625,113.28523254394533,130.66127271338246,113.26132102861455,765,3.825,3.825,1.001061402333738,1.611181038117703,100000.0,86681.38696115254,99959.69862573758,0.9995969862573758,99955.87362573759,0.9995587362573759,105624722,-13310.963038847454,-13318.613038847456,-0.1331683927718683,-0.1332449265434468,-0.13318613038847454,35,stressed
2019-02-10,124.80648803710938,2019-02-11,2019-04-26,124.8715362548828,154.57943725585938,124.8965569716212,154.53770433376877,693,3.465,3.465,1.5037165785575901,2.2005009729187712,86681.38696115254,107215.77208312081,86556.77898133348,0.9985624597830338,86553.31398133349,0.9985224858033657,136148307,20541.315121968273,20534.385121968273,0.2373255763077808,0.23724551004941094,0.23689497644022517,74,calm
2019-05-11,194.30433654785156,2019-05-12,2019-06-10,194.16302490234375,232.83013916015625,194.20138593985072,232.75002631610818,552,2.7600000000000002,2.7600000000000002,1.47571280764013,2.942012244469713,107215.77208312081,128489.10157081494,107201.92503879759,0.9998708488121273,107199.1650387976,0.9998451063309012,349253624,21278.849487694115,21273.329487694118,0.1984982763624405,0.198446783424058,0.1984160452736526,29,calm
2019-06-21,294.9102783203125,2019-06-22,2019-07-12,295.1150817871094,268.6922607421875,295.2128013004936,268.62019601426687,435,2.1750000000000003,2.1750000000000003,2.811234139322455,2.182774005451455,128489.10157081494,116916.96827130631,128419.74356571471,0.999460203205935,128417.56856571471,0.999443275700229,402005533,-11567.783299508626,-11572.133299508625,-0.09007944495997121,-0.09011331882978967,-0.0900631505554641,20,calm
2019-09-16,197.11317443847656,2019-09-17,2019-09-25,197.11476135253903,168.13357543945312,197.14454112869396,168.11667435092482,593,2.965,2.965,1.0107836648349537,0.5053189901324424,116916.96827130631,99697.51327208921,116909.67788931551,0.999937644791012,116906.71288931552,0.9999122849134525,323710227,-17213.524999217098,-17219.454999217098,-0.1472415447649653,-0.14729226896936248,-0.14727934921524205,8,calm
2020-01-06,144.3041534423828,2020-01-07,2020-03-09,144.31199645996094,201.31849670410156,144.34564076642414,201.25585644017252,690,3.45,3.45,1.831358950643204,2.612469124478273,99697.51327208921,138958.6620869756,99601.94212883266,0.9990413888960727,99598.49212883266,0.999006784221525,440208847,39268.04881488638,39261.14881488639,0.3942634870826395,0.3941942089253851,0.393802689017297,62,calm
2020-04-06,169.13587951660156,2020-04-07,2020-09-06,169.14744567871094,335.3345642089844,169.19930006538397,335.2730080270847,821,4.105,4.105,2.565632263316885,1.3360017187767441,138958.6620869756,275296.9663235319,138916.73035368024,0.9996982431129835,138912.62535368023,0.9996687019534878,672368360,136346.5142365563,136338.3042365563,0.9815271570126153,0.9814680551132804,0.9811428966639072,152,stressed
2020-10-12,387.7312622070313,2020-10-13,2021-05-20,387.1429443359375,2439.638671875,387.24687194947575,2438.988235761808,710,3.5500000000000003,3.5500000000000003,2.184476497859562,2.166827595371767,275296.9663235319,1732026.2346302876,274948.8290841278,0.9987354120023432,274945.2790841278,0.9987225168366339,655290713,1456736.3683067558,1456729.2683067557,5.298277436002178,5.298251612681902,5.2914831854514235,219,calm
2021-07-30,2466.96142578125,2021-07-31,2021-09-21,2461.57568359375,2977.310546875,2462.423755661928,2976.8769815392025,703,3.515,3.515,2.945240679903631,0.9564435765624658,1732026.2346302876,2093679.8224220113,1731087.4152303354,0.9994579646767576,1731083.9002303355,0.9994559352617697,873664002,361660.6177917238,361653.5877917238,0.20892148424672066,0.20891742320727646,0.20880375860410746,52,calm
2021-10-14,3786.01416015625,2021-10-15,2021-11-19,3790.154296875,3995.7294921875,3791.329772875964,3994.352621546767,552,2.7600000000000002,2.7600000000000002,2.601393528842417,2.9470432913365587,2093679.8224220113,2205742.9148882944,2092816.7946275321,0.9995877938043646,2092814.0346275321,0.9995864755512246,898464307,112068.6124662832,112063.09246628321,0.05354924547141073,0.053546607874419956,0.053524465042914894,35,calm
