agent,regime_at_entry,total_trades,min_trades_required,meets_min_trade_threshold,average_return,median_return,win_rate,std_return,trade_level_return_ratio,plot_trade_level_return_ratio
trend,calm,66,20,True,0.009313042299991156,-0.00079066811086035,0.36363636363636365,0.033476052111525226,0.2782001374882804,0.2782001374882804
trend,neutral,83,20,True,0.011117964415642867,-0.0006298291237089,0.3253012048192771,0.06473854834289101,0.17173638736469657,0.17173638736469657
trend,stressed,75,20,True,-0.0009343134211149066,-0.0009136266162558,0.26666666666666666,0.0220201703516015,-0.0424298906955075,-0.0424298906955075
mean_reversion,calm,27,20,True,-0.004079526765409184,0.0006131185625719,0.6296296296296297,0.02033235631083297,-0.2006421047832825,-0.2006421047832825
mean_reversion,neutral,27,20,True,0.004096640801474694,0.0011284023340995,0.7037037037037037,0.011299547632569271,0.3625490979538627,0.3625490979538627
mean_reversion,stressed,40,20,True,0.0105087593049896,0.00243607567019835,0.775,0.028359261807868553,0.3705582809660385,0.3705582809660385
random,calm,47,20,True,0.009437082073525317,0.0010422383119656,0.5319148936170213,0.03295165077594083,0.2863917846694244,0.2863917846694244
random,neutral,40,20,True,0.011218477062427915,0.0044712338694967504,0.65,0.053465229045186365,0.2098275320759698,0.2098275320759698
random,stressed,51,20,True,0.010248132529265963,0.0012374636292983,0.6078431372549019,0.041963486750044986,0.2442154673730723,0.2442154673730723
momentum,calm,30,20,True,0.0070528536171159395,-6.292736973230943e-05,0.36666666666666664,0.03544040663264865,0.19900600154566686,0.19900600154566686
momentum,neutral,38,20,True,0.011766754568643928,-0.0002685067806107,0.3684210526315789,0.06255132023672624,0.188113608539556,0.188113608539556
momentum,stressed,24,20,True,0.020307146150117555,-0.00013486984368765161,0.4166666666666667,0.07863341470419234,0.2582508495467243,0.2582508495467243
breakout,calm,29,20,True,0.012979572868401599,0.0016077203700947,0.5517241379310345,0.03415876923808607,0.3799777672882236,0.3799777672882236
breakout,neutral,22,20,True,0.004424053005615791,9.773917830225e-05,0.5,0.028506608655878552,0.15519394323685975,0.15519394323685975
breakout,stressed,25,20,True,0.018893378894562014,-0.0003062626800484,0.4,0.07800888990758935,0.24219520258451863,0.24219520258451863
