signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,entry_reason,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,holding_period_hours,regime_at_entry,stop_loss_used,take_profit_used,exit_reason,timeframe_label,data_interval
2012-03-13,19.39480781555176,GM,trend_pullback,2012-03-14,2012-04-10,19.439438482531138,17.9366674438589,19.444276836209642,17.93401673830887,trend_up_pullback_bounce,5140.0,25.7,25.7,1.9889369530154277,0.9780322716929484,100000.0,92185.86309679002,99969.28293811755,0.9996928293811755,99943.58293811756,0.9994358293811756,553995.5,-7762.7369032099705,-7814.13690320997,-0.07767118883476945,-0.07818547898216015,-0.0781413690320997,18,27,648.0,neutral,17.57227663768369,20.592567907564604,trend_filter_failed,Daily,1d
2012-10-22,18.316076278686523,GM,trend_pullback,2012-10-23,2012-10-31,17.90690515704874,18.07800720900745,17.91291832027855,18.07358733594378,trend_up_pullback_bounce,5143.0,25.715,25.715,2.8580136696266303,1.945487429537555,92185.86309679002,92960.75384435631,92151.85392119258,0.9996310803581485,92126.13892119259,0.9993521330322119,439868.0,826.3207475662845,774.8907475662844,0.008969449466162297,0.00841119313845497,0.00840574380426088,4,8,192.0,calm,17.451891498479483,19.134426301417214,stop_loss,Daily,1d
2012-10-31,18.970748901367188,GM,trend_pullback,2012-11-01,2012-11-02,18.99306957512163,19.201380402498568,18.996915345204037,19.195206126772913,trend_up_pullback_bounce,4890.0,24.45,24.45,1.524828091739656,2.7165717236254294,92960.75384435631,93881.49576622811,92919.36603804774,0.9995547819418734,92894.91603804774,0.9992917677236267,488502.0,969.6419218718011,920.741921871801,0.010438051544980748,0.009911650294131113,0.009904630543480685,1,1,24.0,neutral,16.665265323416957,19.134426301417214,take_profit,Daily,1d
2012-11-09,18.62853240966797,GM,trend_pullback,2012-11-12,2012-12-04,18.635981009053516,18.851716996022976,18.638609980074893,18.848879776249017,trend_up_pullback_bounce,5034.0,25.17,25.17,0.9106963406416761,1.0052458329824812,93881.49576622811,94889.65392016865,93851.93263969701,0.9996851016668428,93826.76263969702,0.9994169977152113,459613.25,1058.4981539405414,1008.1581539405414,0.011281409740260004,0.010744889044205404,0.010738624749342831,15,22,528.0,stressed,16.649003712880564,19.54359730432286,take_profit,Daily,1d
2013-01-24,21.41091537475586,GM,trend_pullback,2013-01-25,2013-04-25,21.544830014306147,22.363168991399085,21.548862161561715,22.356374126948868,trend_up_pullback_bounce,4401.0,22.005,22.005,1.37151500053014,2.539341000303672,94889.65392016865,98399.50407983751,94858.54737303311,0.9996721818886418,94836.54237303311,0.9994402809480133,588282.5,3553.8601596688613,3509.850159668861,0.03747353151794583,0.037009469892555796,0.036988754987153004,62,90,2160.0,calm,19.158767633415046,22.824425790668336,take_profit,Daily,1d
2013-06-13,25.666309356689453,GM,trend_pullback,2013-06-14,2013-06-24,25.636554478256425,23.62788818596597,25.643362739020613,23.623219491732094,trend_up_pullback_bounce,3835.0,19.175,19.175,2.1556847839914477,1.4763158173721287,98399.50407983751,90613.90472648604,98361.47110414406,0.9996134840713974,98342.29610414406,0.9994186152031108,964371.75,-7747.249353351473,-7785.599353351473,-0.07877840624289643,-0.07916837069887567,-0.07912234341175685,6,10,240.0,neutral,23.898035414994386,26.402823737931183,stop_loss,Daily,1d
2013-06-26,24.21560859680176,GM,trend_pullback,2013-06-27,2013-07-12,24.490871124780753,26.84920233930988,24.49460058218226,26.844469625095833,trend_up_pullback_bounce,3697.0,18.485,18.485,1.0227949150965232,1.2630127471838153,90613.90472648604,99264.40057813752,90575.02335232781,0.9995709116136692,90556.53835232781,0.9993669142243524,983151.0,8687.465851651474,8650.495851651473,0.0959341645531016,0.09552591131515029,0.09546543521949089,10,15,360.0,neutral,22.464418931236168,26.402823737931183,take_profit,Daily,1d
2013-08-08,26.78968048095703,GM,trend_pullback,2013-08-09,2013-08-16,26.75248295683842,25.733264931169728,26.757007176128887,25.72974067844372,trend_up_pullback_bounce,3708.0,18.54,18.54,1.191139958024213,0.8697194892310527,99264.40057813752,95418.21640472091,99233.5226090859,0.9996889320957788,99214.98260908591,0.999502158187993,657138.25,-3809.104173416605,-3846.184173416605,-0.038392428978441154,-0.03876616285436288,-0.038746863437602905,5,7,168.0,calm,25.80808911841018,28.05439965530169,stop_loss,Daily,1d
2013-09-04,26.670652389526367,GM,trend_pullback,2013-09-05,2013-09-06,26.78968111608301,27.07981901320302,26.793929388129342,27.07141027219843,trend_up_pullback_bounce,3559.0,17.795,17.795,1.0857867168799151,2.606133341427228,95418.21640472091,96370.1808711228,95377.38969235233,0.9995721287411681,95359.59469235233,0.9993856339535846,589133.75,987.554466401887,951.9644664018871,0.010356110149040797,0.009982891280873207,0.009976758131425182,1,1,24.0,neutral,24.32421253022969,27.146781352929047,take_profit,Daily,1d
2013-10-02,26.737598419189453,GM,trend_pullback,2013-10-03,2013-10-09,26.603679453043252,25.539847132195177,26.6091712460815,25.53433691310464,trend_up_pullback_bounce,3620.0,18.1,18.1,1.564298304278837,1.65796443404443,96370.1808711228,92443.08058574655,96343.29991081504,0.9997210655820632,96325.19991081503,0.9995332481489485,896707.25,-3890.900285376244,-3927.100285376244,-0.04039337877293508,-0.040769189049306334,-0.040750159954851706,4,6,144.0,calm,25.614438261607972,28.24782693511885,stop_loss,Daily,1d
