agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,p_value_interpretation,lower_5pct,upper_95pct,number_of_trades,transaction_cost,execution_cost_model,simulation_count,research_grade,reproducible,seed_used,null_model,bh_adjusted_p_value
trend_pullback,0.01654085384157262,-0.02107032571341071,-0.02068017798693868,0.024640800982814418,93.35332333833082,0.06696651674162919,1.1741422902714038,weak evidence,-0.061702149680574796,0.01978899174789547,10,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.24554389471930704
breakout_volume_momentum,-0.015342306066848764,0.0045258749847117835,0.003309621799948445,0.026795888891478496,23.088455772113946,0.769615192403798,0.11372636779974836,no evidence,-0.04305460072408636,0.04410188405978045,12,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8746126936531734
mean_reversion_vol_filter,0.0035708633722412,0.0008745802301982073,0.00035208803265468307,0.003500349380520583,86.10694652673662,0.13943028485757122,0.8556428853626138,no evidence,-0.005354370979270923,0.005492637897333027,1,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.3834332833583209
trend_momentum_verification,0.01762208093274895,0.012808449955724818,0.012392483145757848,0.01806169316373972,61.169415292353825,0.3888055972013993,0.4102674916465225,no evidence,-0.01617692689842953,0.04206117652913014,5,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.7128102615358988
adx_trend_following,0.01588054679119745,0.02288246223179699,0.023490127959375728,0.02052093881420203,36.28185907046477,0.6376811594202898,0.19539641425106793,no evidence,-0.00880886461884373,0.05699931934297705,13,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8746126936531734
uptrend_oversold_reversion,0.01179915357479644,0.0009007711230180391,0.0003194403495062839,0.007718286459883819,94.50274862568716,0.05547226386806597,1.255924109849554,weak evidence,-0.01247877967774658,0.01196134131396024,2,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.24554389471930704
volatility_squeeze_breakout,0.0045953888173703005,0.001544175853785963,0.0012956819199576044,0.0043375296943764935,80.15992003998001,0.19890054972513743,0.7013640165625236,no evidence,-0.006501915739575117,0.007155637321201539,1,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.4375812093953024
connors_rsi2_pullback,-0.0014479940848499393,0.0009935445842310835,0.0005342756084062675,0.007908405240129467,38.980509745127435,0.6106946526736632,0.21417588272967597,no evidence,-0.012833851903446858,0.012504149182814808,5,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8746126936531734
donchian_trend_reentry,-0.008488832970684297,0.00812165356401254,0.008215215711123278,0.015106367852662058,12.243878060969514,0.8780609695152424,0.05647532714091644,no evidence,-0.016179071937276364,0.03280378872458787,7,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8780609695152424
turn_of_month_seasonality,0.04325147212878288,0.008206795658017213,0.00798274257499237,0.01828515128159151,97.70114942528735,0.02348825587206397,1.629149230700494,strong evidence,-0.023401664905645284,0.03654852992784247,14,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.24554389471930704
random,0.010311090402436045,0.031982831849718736,0.029932850236346474,0.02534512292031833,20.539730134932537,0.7951024487756122,0.09957690898962987,no evidence,-0.016203810071554598,0.06944766819654487,18,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8746126936531734
