agent,outer_run,seed_used,actual_cumulative_return,annualized_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,RCSI,RCSI_z,significant_run,outperform_null_median,lower_5pct,upper_95pct,number_of_trades,transaction_cost,simulations_per_run,null_model
trend,1,101,-0.2998493515532205,-0.012496905602191842,-0.08848130107833317,-0.04372625216320706,-0.46659819557414284,-0.20281834579435803,-0.16942857768724912,0.23428858983956113,31.34,0.6866,0.1632962009102687,-0.09703100575886248,-0.5566672024245075,0,0,-0.49401305651589633,0.26450983376897,298,0.00047,5000,random_timing_matched_duration
mean_reversion,1,101,-0.26386861515038734,-0.01067813230428344,-0.1775136719285032,-0.08500625326853538,-0.366248529758458,-0.07915880489508043,-0.049053367636361665,0.2337764665604484,17.52,0.8248,0.08365134772453987,-0.18470981025530692,-0.9188916689288746,0,0,-0.37792102024375507,0.37861967549874825,126,0.00047,5000,random_timing_matched_duration
random,1,101,-0.22617115439399527,-0.008882429970699773,-0.09155488246437099,-0.038501759328338964,-0.46348759296225606,-0.14324542005182234,-0.10763374819804919,0.24650402360620702,34.94,0.6506,0.18668594105416525,-0.08292573434217293,-0.48087412311496763,0,0,-0.451766996560821,0.33595723339724937,168,0.00047,5000,random_timing_matched_duration
momentum,1,101,-0.08735559415374283,-0.0032783004405611453,0.006509220280149819,-0.01419640836367878,-0.2766310907834091,-0.12107908667833964,-0.0883979404316926,0.251640223881251,55.46,0.4454,0.3512497873019806,0.033723492524596804,0.004142208514492727,0,1,-0.44256442309509714,0.37714585566711006,139,0.00047,5000,random_timing_matched_duration
breakout,1,101,0.2973204889873408,0.009221639182895492,0.14550040683588905,0.11893807372172219,-0.20026663930785327,-0.09929495831127136,-0.06260638014614948,0.2507280496122121,91.22,0.0878,1.0565054840938974,0.3966154472986122,1.435526937214126,0,1,-0.4081952828361412,0.3948763587882179,66,0.00047,5000,random_timing_matched_duration
trend,2,102,-0.2998493515532205,-0.012496905602191842,-0.08848130107833317,-0.04372625216320706,-0.46659819557414284,-0.19765534064548795,-0.1702104997156672,0.22962746632806277,30.880000000000003,0.6912,0.1603962705291631,-0.10219401090773256,-0.5645616088989183,0,0,-0.49031567344091304,0.24848650226562688,298,0.00047,5000,random_timing_matched_duration
mean_reversion,2,102,-0.26386861515038734,-0.01067813230428344,-0.1775136719285032,-0.08500625326853538,-0.366248529758458,-0.0711953279534594,-0.042692151220040934,0.23726192174470973,17.48,0.8252,0.08344078069888602,-0.19267328719692794,-0.9322037952989732,0,0,-0.3826170725390075,0.39577079498733175,126,0.00047,5000,random_timing_matched_duration
random,2,102,-0.22617115439399527,-0.008882429970699773,-0.09155488246437099,-0.038501759328338964,-0.46348759296225606,-0.14734773346863453,-0.1149479571078568,0.23962242881339432,35.78,0.6422,0.1923296987695163,-0.07882342092536074,-0.46416021170018856,0,0,-0.4460422005612338,0.31526934238774773,168,0.00047,5000,random_timing_matched_duration
momentum,2,102,-0.08735559415374283,-0.0032783004405611453,0.006509220280149819,-0.01419640836367878,-0.2766310907834091,-0.12028634157571526,-0.08870145301157938,0.25313008242476503,55.26,0.4474,0.3493040202393891,0.032930747421972426,0.005316866509679099,0,1,-0.4467821403961744,0.36890022360903874,139,0.00047,5000,random_timing_matched_duration
breakout,2,102,0.2973204889873408,0.009221639182895492,0.14550040683588905,0.11893807372172219,-0.20026663930785327,-0.08806896724009203,-0.05633478797191578,0.24550774036730214,91.14,0.0886,1.0525662781129492,0.3853894562274328,1.4405056086221795,0,1,-0.39508309057058344,0.3925559517537612,66,0.00047,5000,random_timing_matched_duration
