signal_date,signal_close,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,regime_at_entry
2020-06-03,59.88999938964844,2020-06-04,2020-06-16,61.61000061035156,66.30999755859375,61.62183757205946,66.29281206855319,1622,8.11,8.11,1.4212727788725275,2.0923609972668897,100000.0,107560.10063331283,99958.73054188045,0.9995873054188045,99950.62054188045,0.9995062054188044,1676872,7576.3206333128255,7560.100633312826,0.0758006362765728,0.07563835614352248,0.07560100633312826,8,stressed
2020-06-18,64.94999694824219,2020-06-19,2020-06-30,64.98999786376953,62.18000030517578,64.99905608379424,62.1684552054927,1654,8.27,8.27,0.8937867860369506,1.357067164516345,107560.10063331283,102861.74678060207,107516.70876259568,0.9995965802331751,107508.43876259567,0.9995196929864051,1158797,-4681.813852710757,-4698.353852710758,-0.04354833821974961,-0.043702186607749424,-0.043681196141012284,7,stressed
2020-07-30,77.62999725341797,2020-07-31,2020-09-08,78.19999694824219,57.75,78.2236524299051,57.735101368728294,1314,6.57,6.57,2.524997773156229,2.0805153049881175,102861.74678060207,75926.65068621575,102792.44929289531,0.9993263045799274,102785.8792928953,0.9992624324388678,1755154,-26921.956094386325,-26935.096094386325,-0.26192271039167153,-0.26205054896337415,-0.26185726897908185,26,stressed
2020-10-07,72.37000274658203,2020-10-08,2020-10-23,73.5,72.30000305175781,73.51911495185664,72.28854452430429,1032,5.16,5.16,2.1006737219898035,1.085109719517674,75926.65068621575,74646.38200498173,75876.88663031605,0.9993445772274959,75871.72663031604,0.9992766169006098,416903,-1269.9486812340263,-1280.2686812340264,-0.016738101762489653,-0.016874120810142074,-0.016861914356330946,11,calm
2020-11-25,109.18000030517578,2020-11-27,2020-12-01,115.12000274658205,177.66000366210938,115.15518387926332,177.6200151000052,648,3.24,3.24,2.5560399445711504,1.7513545042592753,74646.38200498173,115117.11263602247,74623.79915376264,0.9996974689112517,74620.55915376263,0.9996540642623861,839108,40477.21063104073,40470.73063104074,0.5424404626563258,0.5423536233177644,0.5421660038170345,2,stressed
2021-06-25,219.94000244140625,2021-06-28,2021-07-28,223.0,333.010009765625,223.0728315536996,332.95901375371983,516,2.58,2.58,2.765988955138247,1.031600281074425,115117.11263602247,171813.2226512329,115108.16108170898,0.9999222395862047,115105.58108170898,0.9998998276272795,480726,56701.270015210444,56696.11001521044,0.49260226552316705,0.49255743711474836,0.49250809646757143,21,neutral
2021-08-05,416.260009765625,2021-08-06,2021-09-15,410.2999877929687,427.4549865722656,410.4332592160319,427.32370626001494,418,2.09,2.09,2.7481459183088677,2.572151400156581,171813.2226512329,178869.24951561782,171563.19235230132,0.9985447551994346,171561.10235230133,0.9985325908271718,1197145,7060.2068643849125,7056.026864384912,0.04115272499174523,0.04112836049453294,0.04106800836107988,27,neutral
2021-10-08,304.9100036621094,2021-10-11,2021-11-16,299.32000732421875,234.0099945068359,299.3553838530903,233.9564425551658,597,2.985,2.985,0.6818965657460891,1.78897101893221,178869.24951561782,139820.1115607569,178718.1491602949,0.9991552468871419,178715.16416029492,0.9991385587196225,753361,-39043.167954860925,-39049.137954860926,-0.21846589313395898,-0.21849929824554,-0.2183110739302978,26,neutral
2021-12-22,251.36000061035156,2021-12-23,2022-01-25,250.41000366210935,156.00999450683594,250.47373085661218,155.98452517194352,558,2.79,2.79,2.044914083737439,1.1328116436131839,139820.1115607569,87089.55478871177,139767.1318179896,0.9996210863932528,139764.3418179896,0.9996011321823108,740683,-52724.97677204511,-52730.556772045114,-0.37724197807697674,-0.37728190242339743,-0.37713141681432416,21,stressed
2022-02-09,164.02999877929688,2022-02-10,2022-04-29,158.0,144.47000122070312,158.0376022644604,144.45395643243938,551,2.755,2.755,1.879890155720616,0.6107198902672892,87089.55478871177,79599.4559352682,87081.47384771767,0.9999072111344041,87078.71884771767,0.9998755770307887,424263,-7484.588853443574,-7490.098853443575,-0.0859519863461995,-0.08601526242642797,-0.08600456015207938,54,neutral
