agent,outer_run,seed_used,actual_cumulative_return,annualized_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,RCSI,RCSI_z,significant_run,outperform_null_median,lower_5pct,upper_95pct,number_of_trades,transaction_cost,simulations_per_run,null_model
trend,1,101,5.7542655990034905,0.08305795684361791,0.6430146244785043,0.20164766647145724,-0.18877220490951319,4.911375709191422,5.614135876456795,3.5171320049867454,60.9,0.391,0.40782324260413316,0.8428898898120689,0.03984204242206809,0,1,1.7484620021400832,11.669910446257342,191,0.00047,1000,random_timing_matched_duration
mean_reversion,1,101,1.4475510899741288,0.038063646934231254,0.32178447443690866,0.21489359522670148,-0.4559170813250185,0.7611021798567414,0.9077131010433868,0.8069918702766158,78.8,0.212,0.6736641390712486,0.6864489101173874,0.6689509632181296,0,1,-0.11170909884859699,2.4553746606191935,106,0.00047,1000,random_timing_matched_duration
random,1,101,2.8954236315361883,0.05826454466584874,0.44724435446047983,0.22502809993299894,-0.4561643074537288,2.22772963938801,2.6906981053546164,1.9123610437478105,66.10000000000001,0.339,0.4698003017969178,0.6676939921481782,0.10705380495534177,0,1,0.46346347682522576,6.29688844791784,139,0.00047,1000,random_timing_matched_duration
momentum,1,101,7.104380646248352,0.09087724340851018,0.6362205083611338,0.20867032397924956,-0.42089169291790995,8.362068267861527,9.26277310517126,4.552078941545869,35.3,0.647,0.1890957193312996,-1.2576876216131758,-0.47415532257661724,0,0,3.79233387458193,18.354139681413965,97,0.00047,1000,random_timing_matched_duration
breakout,1,101,4.076353261415041,0.0715397360002899,0.561033405314966,0.31245078089361034,-0.23210331382254723,5.253339036624257,6.000456101262591,3.3191398801044305,32.800000000000004,0.672,0.17263072694617473,-1.176985775209216,-0.5796992321357097,0,0,2.0475160318732577,12.559912186143773,69,0.00047,1000,random_timing_matched_duration
trend,2,102,5.7542655990034905,0.08305795684361791,0.6430146244785043,0.20164766647145724,-0.18877220490951319,5.134555441807614,5.802671403517727,3.439439400128126,58.8,0.412,0.3851027839668654,0.6197101571958763,-0.014073748330159026,0,1,1.7002651085036073,12.325007748013592,191,0.00047,1000,random_timing_matched_duration
mean_reversion,2,102,1.4475510899741288,0.038063646934231254,0.32178447443690866,0.21489359522670148,-0.4559170813250185,0.8391296424175501,0.9445369706104046,0.7703106900131169,78.4,0.216,0.6655462488490691,0.6084214475565788,0.6530016081630112,0,1,-0.05673743694342105,2.34157760496646,106,0.00047,1000,random_timing_matched_duration
random,2,102,2.8954236315361883,0.05826454466584874,0.44724435446047983,0.22502809993299894,-0.4561643074537288,2.209257838987215,2.6800539764042535,1.9706616693908556,64.5,0.355,0.44977164694490596,0.6861657925489735,0.10928799117430797,0,1,0.5029804983357582,6.355762625311863,139,0.00047,1000,random_timing_matched_duration
momentum,2,102,7.104380646248352,0.09087724340851018,0.6362205083611338,0.20867032397924956,-0.42089169291790995,8.461089546472378,9.418855183202275,4.707864112929769,35.9,0.641,0.19314197048118256,-1.3567089002240262,-0.4916188066255791,0,0,3.729707785171853,18.52622932465954,97,0.00047,1000,random_timing_matched_duration
breakout,2,102,4.076353261415041,0.0715397360002899,0.561033405314966,0.31245078089361034,-0.23210331382254723,5.258202167925873,6.036404774416309,3.462354135443877,32.1,0.679,0.1681302257194983,-1.1818489065108322,-0.5661037075717813,0,0,1.934220889587885,12.701806947723536,69,0.00047,1000,random_timing_matched_duration
trend,3,103,5.7542655990034905,0.08305795684361791,0.6430146244785043,0.20164766647145724,-0.18877220490951319,4.8854990861141285,5.6455996611101815,3.3423471526840114,62.2,0.378,0.4225082001627747,0.868766512889362,0.03251186454586168,0,1,1.762857600259703,12.271016441818304,191,0.00047,1000,random_timing_matched_duration
mean_reversion,3,103,1.4475510899741288,0.038063646934231254,0.32178447443690866,0.21489359522670148,-0.4559170813250185,0.7840445429679035,0.927957339510214,0.8018978686676221,78.10000000000001,0.219,0.6595558851598816,0.6635065470062254,0.647955021164024,0,1,-0.10401464202130177,2.418722250876262,106,0.00047,1000,random_timing_matched_duration
random,3,103,2.8954236315361883,0.05826454466584874,0.44724435446047983,0.22502809993299894,-0.4561643074537288,2.2639343606368754,2.6467899220908975,1.7995737459098362,64.5,0.355,0.44977164694490596,0.631489270899313,0.13816255655562787,0,1,0.5486287249383156,6.162360505761462,139,0.00047,1000,random_timing_matched_duration
momentum,3,103,7.104380646248352,0.09087724340851018,0.6362205083611338,0.20867032397924956,-0.42089169291790995,7.882656396174791,8.98916096066339,4.658387577542414,42.0,0.58,0.23657200643706275,-0.778275749926439,-0.4045992917165936,0,0,3.545146506138043,17.775518205195745,97,0.00047,1000,random_timing_matched_duration
breakout,3,103,4.076353261415041,0.0715397360002899,0.561033405314966,0.31245078089361034,-0.23210331382254723,5.178071820128245,5.949806853923033,3.501738548749263,32.800000000000004,0.672,0.17263072694617473,-1.1017185587132046,-0.5350067020786419,0,0,1.9160051929428266,12.556160543574135,69,0.00047,1000,random_timing_matched_duration
trend,4,104,5.7542655990034905,0.08305795684361791,0.6430146244785043,0.20164766647145724,-0.18877220490951319,4.8856124641473375,5.593158197697487,3.370795487609901,62.0,0.38,0.42021640338318983,0.868653134856153,0.047795068522605275,0,1,1.7691739567223754,11.764309081593474,191,0.00047,1000,random_timing_matched_duration
mean_reversion,4,104,1.4475510899741288,0.038063646934231254,0.32178447443690866,0.21489359522670148,-0.4559170813250185,0.7602951155633604,0.8822131280968316,0.7339972950057322,83.2,0.168,0.7746907182741372,0.6872559744107685,0.770218045385143,0,1,-0.04360701777493701,2.2468530095891124,106,0.00047,1000,random_timing_matched_duration
random,4,104,2.8954236315361883,0.05826454466584874,0.44724435446047983,0.22502809993299894,-0.4561643074537288,2.196163936889949,2.5554970033070323,1.7291800947932245,67.30000000000001,0.327,0.4854522473397139,0.6992596946462393,0.19658254756269586,0,1,0.49230753471784044,5.846772183603114,139,0.00047,1000,random_timing_matched_duration
momentum,4,104,7.104380646248352,0.09087724340851018,0.6362205083611338,0.20867032397924956,-0.42089169291790995,7.985296924657276,8.875182937403814,4.284255998769654,39.900000000000006,0.601,0.22112552799726048,-0.8809162784089244,-0.4133278430756702,0,0,3.5535409828286313,16.9322113615164,97,0.00047,1000,random_timing_matched_duration
breakout,4,104,4.076353261415041,0.0715397360002899,0.561033405314966,0.31245078089361034,-0.23210331382254723,5.131931773155813,5.952130658444285,3.4137338314251986,32.300000000000004,0.677,0.16941133131485567,-1.055578511740772,-0.5494796869520805,0,0,2.0268893364368226,12.583102488177726,69,0.00047,1000,random_timing_matched_duration
trend,5,105,5.7542655990034905,0.08305795684361791,0.6430146244785043,0.20164766647145724,-0.18877220490951319,4.780152567383144,5.661404130299657,3.589961849760752,62.1,0.379,0.42136079003192767,0.9741130316203463,0.02586697925773829,0,1,1.674734236487873,12.630849543181306,191,0.00047,1000,random_timing_matched_duration
mean_reversion,5,105,1.4475510899741288,0.038063646934231254,0.32178447443690866,0.21489359522670148,-0.4559170813250185,0.7808855522448064,0.9184334413648579,0.7554164691295228,79.2,0.208,0.6819366650372385,0.6666655377293225,0.7004317091722673,0,1,-0.08929675820001431,2.347110715189348,106,0.00047,1000,random_timing_matched_duration
random,5,105,2.8954236315361883,0.05826454466584874,0.44724435446047983,0.22502809993299894,-0.4561643074537288,2.1629018557024127,2.5460087537875404,1.8050613895368488,67.7,0.323,0.4907974776688971,0.7325217758337756,0.19357506607479005,0,1,0.3676294005674344,5.9289276949121685,139,0.00047,1000,random_timing_matched_duration
momentum,5,105,7.104380646248352,0.09087724340851018,0.6362205083611338,0.20867032397924956,-0.42089169291790995,8.10238691652212,8.864952789702944,4.34766718047478,39.1,0.609,0.21538270736712464,-0.998006270273768,-0.40494639317408176,0,0,3.614490374056882,16.902287161397584,97,0.00047,1000,random_timing_matched_duration
breakout,5,105,4.076353261415041,0.0715397360002899,0.561033405314966,0.31245078089361034,-0.23210331382254723,5.6028348721373655,6.285234514698395,3.59053279190803,30.0,0.7,0.1549019599857432,-1.5264816107223247,-0.6151959559487944,0,0,2.026702763256738,13.21028913995007,69,0.00047,1000,random_timing_matched_duration
trend,6,106,5.7542655990034905,0.08305795684361791,0.6430146244785043,0.20164766647145724,-0.18877220490951319,4.840703858827275,5.536016894501911,3.237240641331576,61.9,0.381,0.4190750243243807,0.9135617401762159,0.06741812817838817,0,1,1.8368720908289677,11.988918443627613,191,0.00047,1000,random_timing_matched_duration
mean_reversion,6,106,1.4475510899741288,0.038063646934231254,0.32178447443690866,0.21489359522670148,-0.4559170813250185,0.7245607148463555,0.8539959160223018,0.7678842488335069,82.0,0.18,0.744727494896694,0.7229903751277733,0.7729748003732291,0,1,-0.09875028199534222,2.288427988377096,106,0.00047,1000,random_timing_matched_duration
random,6,106,2.8954236315361883,0.05826454466584874,0.44724435446047983,0.22502809993299894,-0.4561643074537288,2.1596599228786086,2.5960630069041053,1.8744257077393975,65.60000000000001,0.344,0.46344155742846993,0.7357637086575797,0.15970791661469427,0,1,0.38465907249780357,6.383330092933578,139,0.00047,1000,random_timing_matched_duration
momentum,6,106,7.104380646248352,0.09087724340851018,0.6362205083611338,0.20867032397924956,-0.42089169291790995,8.209850239117973,9.070237078123348,4.393706578231708,38.0,0.62,0.20760831050174613,-1.1054695928696212,-0.44742551576263334,0,0,3.692234186945054,17.778655898405617,97,0.00047,1000,random_timing_matched_duration
breakout,6,106,4.076353261415041,0.0715397360002899,0.561033405314966,0.31245078089361034,-0.23210331382254723,5.2072523305102365,6.051156467173414,3.6250251228751367,33.800000000000004,0.662,0.17914201056030005,-1.1308990690951957,-0.5447695226432215,0,0,1.779804058748088,13.429159060813316,69,0.00047,1000,random_timing_matched_duration
trend,7,107,5.7542655990034905,0.08305795684361791,0.6430146244785043,0.20164766647145724,-0.18877220490951319,4.965605899556875,5.772380845109981,3.3996863933341768,59.599999999999994,0.404,0.393618634889395,0.7886596994466153,-0.005328505047409519,0,1,1.8294374514084648,12.197542270611223,191,0.00047,1000,random_timing_matched_duration
mean_reversion,7,107,1.4475510899741288,0.038063646934231254,0.32178447443690866,0.21489359522670148,-0.4559170813250185,0.8055049914743051,0.9353344787386659,0.7548738930201127,78.2,0.218,0.6615435063953952,0.6420460984998237,0.6785459345880644,0,1,-0.03918744055919755,2.347307129912747,106,0.00047,1000,random_timing_matched_duration
random,7,107,2.8954236315361883,0.05826454466584874,0.44724435446047983,0.22502809993299894,-0.4561643074537288,2.2059516207982446,2.6119766522452834,1.7913943513129285,64.4,0.356,0.44855000202712486,0.6894720107379437,0.1582270141039376,0,1,0.4866011898392233,5.984520233741612,139,0.00047,1000,random_timing_matched_duration
