signal_date,signal_close,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,regime_at_entry
2000-07-13,0.2841079235076904,2000-07-14,2000-11-21,0.2898379465193977,0.2330164165310562,0.2899356481741747,0.23293699951768543,339057,1695.285,1695.285,2.870906258145408,2.9093773653483574,100000.0,77283.6391824767,99999.99606299117,0.9999999606299117,98304.71106299116,0.9830471106299116,32359080,-19325.79081752329,-22716.36081752329,-0.19659068836629626,-0.2310811005076575,-0.2271636081752329,91,stressed
2001-01-18,0.2043073326349258,2001-01-19,2001-01-22,0.2100968532091524,0.1929070938799274,0.2101392895607058,0.1928726857209345,359226,1796.13,1796.13,1.5198470802962778,1.2839829867203232,77283.6391824767,67488.76615153102,77283.6264317341,0.9999998350136879,75487.4964317341,0.976759081614911,30587460,-6202.613030945685,-9794.873030945684,-0.08216742274073055,-0.12975490636126105,-0.1267392831724541,1,stressed
2001-04-05,0.2404177188873291,2001-04-06,2001-04-09,0.2373134650726019,0.2440939931476373,0.23734684918809854,0.2440101703032101,278480,1392.4,1392.4,0.9067518455557917,2.9352192911909882,67488.76615153102,66559.56781566728,67488.75056190167,0.9999997690040842,66096.35056190168,0.979368187195733,79028400,1855.601664136267,-929.1983358637333,0.02807419242305106,-0.01405823964506943,-0.013768192676354834,1,neutral
2001-04-10,0.249327003955841,2001-04-11,2001-04-17,0.2646831021653564,0.257960349332741,0.264747526035702,0.25792532574132,246747,1233.7350000000001,1233.7350000000001,1.9340001238671225,0.8578965663919126,66559.56781566728,62408.7403596294,66559.39280673135,0.9999973706419427,65325.65780673136,0.9814615681947761,80953320,-1683.3574560378802,-4150.82745603788,-0.025768702720425137,-0.0635405382111616,-0.06236259627666675,3,neutral
2001-04-17,0.2746531665325165,2001-04-18,2001-09-19,0.286227549439976,0.2453930048659482,0.2863159403947882,0.2453439963199795,214230,1071.15,1071.15,2.5881358200876665,1.4975441300299424,62408.7403596294,51489.02078048314,62408.61391077548,0.9999979738598601,61337.46391077548,0.9828345125589667,79322040,-8777.419579146268,-10919.719579146267,-0.14310046453688302,-0.17802691671489115,-0.1749709979118558,103,neutral
2001-10-04,0.2466911822557449,2001-10-05,2001-10-09,0.2429478935038776,0.257692618977672,0.24299931126657154,0.2576586664040948,207617,1038.085,1038.085,1.6164111346006165,0.8177345847126956,51489.02078048314,52456.3821160703,51488.873007231785,0.999997130004628,50450.788007231786,0.9798358415539165,69830820,3043.531335587166,967.3613355871657,0.060326735335648196,0.019174355323221134,0.018787720584382196,2,stressed
2001-10-11,0.2900093793869018,2001-10-12,2001-10-16,0.2826749822210952,0.3071228726521458,0.2827190022540009,0.30703176228866436,182318,911.59,911.59,1.057266672833201,2.4674572689895653,52456.3821160703,55065.85590007008,52456.35305294493,0.9999994459563507,51544.76305294493,0.9826213889263612,58798680,4432.653783999777,2609.473783999777,0.08599620061201395,0.05062539100857674,0.04974559202778779,2,stressed
2001-10-16,0.3384466469287872,2001-10-17,2001-10-30,0.3459330148976798,0.3155271436585717,0.3460238211674345,0.3154616951762251,156872,784.36,784.36,2.124966853236589,1.5746887291678855,55065.85590007008,48702.79407157707,55065.80887417779,0.9999991460063316,54281.44887417779,0.9857551106203493,57899160,-4794.341828493008,-6363.061828493007,-0.08832376305220038,-0.11722350748673507,-0.11555367158989187,9,stressed
2001-11-01,0.3554071187973022,2001-11-02,2002-04-11,0.3538029525355493,0.2918428864717648,0.3539106835325408,0.2917975189216328,135696,678.48,678.48,2.5449434132598276,1.0547613392918718,48702.79407157707,38917.3260865353,48702.744112631655,0.9999989742078178,48024.26411263165,0.9860679459591538,53989350,-8428.50798504177,-9785.467985041769,-0.17550519806559303,-0.20376091473451505,-0.20092210665902152,108,neutral
2003-01-23,0.0823575407266616,2003-01-24,2003-02-07,0.0816699170380333,0.079607187307777,0.0816917178652735,0.0795880609519097,448916,2244.58,2244.58,2.16938280714297,1.9031689726498402,38917.3260865353,33483.80083961568,38917.299217207124,0.9999993095792831,36672.71921720712,0.9423237129823065,51438570,-944.3652469196221,-5433.525246919622,-0.025751165091584448,-0.14816259505431412,-0.1396171266966752,10,calm
