signal_date,signal_close,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,regime_at_entry
2022-03-23,13.18000030517578,2022-03-24,2022-04-13,13.25,12.350000381469728,13.253055348121807,12.348270638201969,7542,37.71,37.71,1.8059231107962246,0.900797988998231,100000.0,93100.69371778458,99992.25343553467,0.9999225343553467,99954.54343553467,0.9995454343553467,2755667,-6823.886282215417,-6899.306282215417,-0.06826989597142684,-0.0690244389607472,-0.06899306282215417,14,stressed
2022-04-13,12.899999618530272,2022-04-14,2022-04-18,12.920000076293944,12.350000381469728,12.921763068323628,12.347746561756892,7202,36.01,36.01,0.8645449065585621,1.3252882836249085,93100.69371778458,88894.60683749095,93098.54761806676,0.999976948617329,93062.53761806677,0.999590163099821,1701764,-4134.066880293629,-4206.086880293629,-0.04442246027354254,-0.045196348476501,-0.04517782534514198,1,neutral
2022-04-19,12.90999984741211,2022-04-20,2022-04-22,13.079999923706056,12.329999923706056,13.08351492391561,12.326514365964256,6791,33.955,33.955,2.187309044384126,2.3276912988669944,88894.60683749095,83685.9060484433,88884.1048483109,0.9998818602212928,88850.1498483109,0.9994998910421943,1546635,-5140.790789047646,-5208.700789047646,-0.05785911219985832,-0.05862343280163491,-0.05859411469775349,2,stressed
2022-06-23,9.460000038146973,2022-06-24,2022-07-01,9.529999732971191,9.109999656677246,9.532055055619283,9.107931525544384,8774,43.87,43.87,1.6566869944195375,1.7706924476340145,83685.9060484433,79876.90619556613,83678.12105800358,0.9999069736971574,83634.25105800359,0.9993827516139957,1869779,-3721.259852877167,-3808.9998528771666,-0.044494448217110585,-0.045543539933603015,-0.04551542825708608,5,stressed
2022-07-01,9.270000457763672,2022-07-05,2022-08-10,9.140000343322754,9.510000228881836,9.142557174677679,9.50857049741117,8732,43.660000000000004,43.660000000000004,2.297408379523183,1.0036239895928518,79876.90619556613,82985.61452967499,79876.4692492855,0.9999945297545756,79832.80924928549,0.999447938729967,1960787,3196.028334108853,3108.7083341088533,0.04003402065094506,0.03894023476490246,0.038918737369442756,26,stressed
2022-08-10,9.59000015258789,2022-08-11,2022-08-12,9.760000228881836,9.550000190734863,9.761793882814016,9.546942115063507,8496,42.480000000000004,42.480000000000004,1.3377601333168618,2.703199133815602,82985.61452967499,81075.27391086666,82978.68082838788,0.9999164469489512,82936.20082838788,0.9994045509987826,2017580,-1825.3806188083308,-1910.3406188083309,-0.022009455467889346,-0.023033857347302657,-0.02302014185995102,1,stressed
2022-08-12,9.90999984741211,2022-08-15,2022-08-18,9.81999969482422,9.420000076293944,9.82099849534292,9.417696503038487,8251,41.255,41.255,0.5171085027903911,1.9460049808490991,81075.27391086666,77665.11917236279,81074.31358507444,0.9999881551335458,81033.05858507444,0.9994793070222787,2052102,-3327.644738503878,-3410.1547385038784,-0.04106527381056799,-0.04208350021644127,-0.04206158763340064,3,stressed
2022-10-18,8.15999984741211,2022-10-19,2022-10-20,8.0600004196167,7.730000019073486,8.062294891688113,7.728204999532868,9627,48.135,48.135,2.3467393944906667,1.822686239206152,77665.11917236279,74352.56578058423,77663.84792228146,0.9999836316470654,77615.71292228147,0.9993638553496368,1854265,-3216.2833917785465,-3312.553391778547,-0.0414385601920463,-0.04267890182359709,-0.042651751868518634,1,calm
2022-10-21,8.289999961853027,2022-10-24,2022-11-07,8.300000190734863,7.78000020980835,8.301558696039699,7.7774567469325016,8951,44.755,44.755,1.3777171915909823,2.770301537647084,74352.56578058423,69571.81923412571,74352.00688825134,0.9999924832139009,74307.25188825134,0.9993905537508064,1763863,-4691.236546458522,-4780.746546458522,-0.06313295711047887,-0.0643375501713905,-0.06429833989275624,10,calm
2022-11-11,8.40999984741211,2022-11-14,2022-11-18,8.180000305175781,7.760000228881836,8.181699503381196,7.759136279397323,8498,42.49,42.49,1.5772593423255294,0.6134608974557827,69571.81923412571,65895.89695671076,69570.5723797334,0.9999820781689192,69528.0823797334,0.9993713423786559,2012947,-3590.9422774149566,-3675.922277414956,-0.05164736541708035,-0.05286960536806698,-0.05283636848771489,4,stressed
2023-01-23,7.380000114440918,2023-01-24,2023-01-25,7.0,6.920000076293945,7.001360117043928,6.918489149615888,9405,47.025,47.025,1.4430243484694592,1.6838968673403059,65895.89695671076,65022.445508050034,65894.81690079813,0.9999836096636892,65847.79190079814,0.9992699840485635,1488272,-779.4014486607215,-873.4514486607214,-0.01183640978933531,-0.013264703696922817,-0.013255020251632985,1,calm
2023-01-25,7.21999979019165,2023-01-26,2023-03-13,7.369999885559082,7.289999961853027,7.371690513301423,7.288591961684494,8814,44.07,44.07,1.7939318434082372,1.431786243399372,65022.445508050034,64201.87487409842,65018.15018423874,0.9999339409064403,64974.08018423874,0.9992561749495363,1516553,-732.4306339516095,-820.5706339516096,-0.01127265875676499,-0.01262919969970828,-0.012619805784604329,31,calm
2023-03-13,7.869999885559082,2023-03-14,2023-03-29,8.050000190734863,8.09000015258789,8.05180995351997,8.089037421362953,7968,39.84,39.84,1.7481524748151838,0.690167846666127,64201.87487409842,64418.82333787132,64196.66170964711,0.9999188004328294,64156.82170964711,0.9992982578072733,3083655,296.6284637728932,216.94846377289323,0.004623490626068372,0.0033815338414787963,0.0033791608765060977,11,stressed
2023-03-29,8.220000267028809,2023-03-30,2023-04-06,8.329999923706055,7.880000114440918,8.332702486476162,7.87745380616354,7726,38.63,38.63,2.744373103072107,2.732400138462256,64418.82333787132,60824.312033776005,64417.089410514825,0.9999730835295236,64378.45941051483,0.9993734140851225,1472018,-3517.251304095313,-3594.5113040953133,-0.05463397751827603,-0.05583406836710087,-0.05579908352629174,5,calm
2023-04-10,8.390000343322754,2023-04-11,2023-04-21,8.350000381469727,8.140000343322754,8.352487603401897,8.137398555300955,7277,36.385,36.385,2.478708764720281,2.6973216060606098,60824.312033776005,59186.33903074545,60817.43728995561,0.999886973751276,60781.05228995561,0.9992887754522176,1363725,-1565.2030030305596,-1637.9730030305595,-0.02575149563985449,-0.026948743750217094,-0.026929577142130044,8,calm
2023-05-09,9.550000190734863,2023-05-10,2023-08-10,9.729999542236328,15.4399995803833,9.732780095953148,15.435884786305296,6078,30.39,30.39,2.357712073623423,2.165732567306369,59186.33903074545,93789.0293387058,59186.22742320323,0.9999981143023197,59155.83742320323,0.9994846512211818,1997975,34663.47030796036,34602.69030796036,0.5859687195361043,0.5849412638758087,0.5846398151097899,63,stressed
2023-08-30,16.329999923706055,2023-08-31,2023-09-01,15.600000381469728,15.15999984741211,15.60537695013266,15.156405197185538,6008,30.04,30.04,2.9465182893957573,1.871703698735903,93789.0293387058,91031.5270469995,93787.14471639702,0.9999799057275454,93757.10471639702,0.9996596124031363,3498943,-2697.4222917063075,-2757.5022917063075,-0.028770324124935995,-0.02941112889575026,-0.029401117712264387,1,stressed
2023-09-29,16.0,2023-10-02,2023-10-04,16.030000686645508,15.460000038146973,16.0352455755619,15.456631675475059,5675,28.375,28.375,2.77192058123768,1.679234611159702,91031.5270469995,87691.14316400669,91028.39364131377,0.9999655788957148,91000.01864131377,0.9996538736994991,2363748,-3283.6338829928145,-3340.3838829928145,-0.036083881432328116,-0.0367075076782049,-0.03669480224437163,2,calm
2023-10-04,15.729999542236328,2023-10-05,2023-10-26,15.5600004196167,15.600000381469728,15.56265388332139,15.594729985347527,5632,28.16,28.16,1.205310818209256,2.8796007543284965,87691.14316400669,87815.4757706179,87677.02667086608,0.9998390203088787,87648.86667086607,0.9995178932373873,2432730,180.65260661120283,124.33260661120283,0.0020610946093527825,0.0014185306819549579,0.0014178467987202136,15,neutral
2023-11-02,17.969999313354492,2023-11-03,2023-12-07,18.020000457763672,17.219999313354492,18.02221042814356,17.21561131819896,4871,24.355,24.355,0.7263986258314434,2.0488465523711756,87815.4757706179,83837.82150607774,87810.54199548728,0.9999438165643662,87786.18699548728,0.9996664736497344,3094408,-3928.944264540144,-3977.654264540144,-0.044755836869211724,-0.04531070776253921,-0.04529559544755122,23,stressed
2023-12-14,18.209999084472656,2023-12-15,2023-12-19,18.670000076293945,17.979999542236328,18.67335049583056,17.97721201450773,4488,22.44,22.44,1.294547146718271,1.0505895610219145,83837.82150607774,80668.67200190088,83828.43702528757,0.9998880638759262,83805.99702528756,0.9996204042493175,3260149,-3124.2695041768607,-3169.149504176861,-0.03727978444351836,-0.03781530697881446,-0.03780095244897455,2,neutral
2024-02-06,21.8700008392334,2024-02-07,2024-04-04,21.600000381469727,23.81999969482422,21.60336066610793,23.81356056384609,3733,18.665,18.665,1.0556873050260311,2.2039765686730783,80668.67200190088,88882.01822015744,80664.01036658089,0.999942212568965,80645.34536658089,0.9997108340234058,3328855,8250.676218256553,8213.34621825655,0.1023081515833597,0.10184526063992937,0.10181581045567493,39,stressed
2024-04-05,22.959999084472656,2024-04-08,2024-04-09,23.079999923706055,23.010000228881836,23.0836192223935,23.007037470087408,3849,19.245,19.245,1.0681536825882234,0.787761972085234,88882.01822015744,88548.76505553129,88868.09538699259,0.9998433560190954,88848.85038699259,0.9996268330329461,2442770,-294.76316462615534,-333.25316462615535,-0.0033175799500193472,-0.003750787581095629,-0.0037493879110699277,1,calm
