signal_date,signal_close,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,regime_at_entry
2000-09-21,74.1158218383789,2000-09-22,2000-10-20,74.01025256199891,71.37080497106376,74.02410354040464,71.35524633031748,1350,6.75,6.75,1.371494546533111,1.6804480464201812,100000.0,96383.54276638234,99939.28977954626,0.9993928977954626,99932.53977954626,0.9993253977954626,1051590,-3602.957233617658,-3616.457233617658,-0.036053894372802625,-0.036188985505578614,-0.03616457233617658,20,neutral
2000-11-10,60.60182189941406,2000-11-13,2000-12-06,59.928746230292774,59.62523988415213,59.943596271146845,59.60525453449211,1607,8.035,8.035,1.9779495297654104,2.8529509799267077,96383.54276638234,95823.75759557818,96337.39420773298,0.9995211987718566,96329.35920773298,0.9994378339175528,2106321,-543.7151708041566,-559.7851708041566,-0.005644334969898867,-0.005811158461014853,-0.005807891624828345,16,stressed
2000-12-19,49.93843460083008,2000-12-20,2001-01-12,48.40754235141713,53.00020440316586,48.417551665469176,52.98993991086121,1978,9.89,9.89,1.567717873257721,1.4370643412526656,95823.75759557818,104848.16154496363,95779.80719429803,0.9995413412875579,95769.91719429803,0.9994381309747069,2639915,9044.183949385442,9024.403949385443,0.09443658524875406,0.0942300485764933,0.0941771036309463,15,stressed
2001-02-08,49.65549850463867,2001-02-09,2001-04-11,49.19939149831159,35.609376471432526,49.21152567306951,35.605051867418716,2130,10.65,10.65,1.9663261858314698,0.7146040483003259,104848.16154496363,75845.07233892744,104831.19968363804,0.9998382245231996,104820.54968363805,0.9997366490654799,2470012,-28981.78920603619,-29003.08920603619,-0.27648957473994334,-0.2766927791694592,-0.27661991186748996,42,neutral
2001-06-14,35.685386657714844,2001-06-15,2001-07-02,35.30532255986932,38.55710913561425,35.313893273658586,38.55165304405273,2147,10.735,10.735,1.9275982112151113,0.9152678629070378,75845.07233892744,82775.07256596365,75829.66385854498,0.9997968426964695,75818.92885854498,0.9996553041670838,3246792,6951.470227036222,6930.000227036223,0.09168515477191122,0.0914019801040119,0.09137047422234977,11,neutral
2001-08-17,31.89302635192871,2001-08-20,2001-10-05,31.96903699589887,26.183366166434062,31.973930428081218,26.1791385140808,2588,12.94,12.94,1.0306786322584423,1.1148936111813725,82775.07256596365,67752.27109253057,82761.47194787419,0.9998356918614765,82748.53194787419,0.9996793646049864,2823596,-14996.921473433078,-15022.801473433079,-0.18123489469130513,-0.18154764948454188,-0.18148943888223562,29,calm
2002-01-22,31.588970184326172,2002-01-23,2002-03-04,31.800124663429393,30.153104873423143,31.80914970947722,30.14547447138684,2129,10.645,10.645,2.3380536690808404,2.031193212282938,67752.27109253057,64189.01651063615,67732.32473147701,0.9997055986355599,67721.67973147701,0.9995484821311482,3231016,-3541.9645818944205,-3563.2545818944204,-0.052301782766444246,-0.05261615772117686,-0.052592400585775426,27,calm
2002-04-09,28.37093734741211,2002-04-10,2002-04-17,28.51451697510753,29.89972617745086,28.523464878635274,29.894940666396266,2249,11.245000000000001,11.245000000000001,2.638016868934355,1.1007762343447,64189.01651063615,67250.97555731062,64160.517512050734,0.9995560144065971,64149.27251205073,0.9993808286721633,3723855,3084.4490466744724,3061.9590466744726,0.04808236985220752,0.04773178130896605,0.04770222715855296,5,calm
2002-04-26,26.217153549194336,2002-04-29,2002-05-15,26.386081180471813,27.09556531541914,26.390782551578894,27.087908550648528,2547,12.735,12.735,1.2817617837701054,2.326635639401157,67250.97555731062,69001.08547694098,67230.05815887144,0.9996889651300098,67217.32315887144,0.999499599847284,3944077,1775.5799196303576,1750.1099196303578,0.0264155107074658,0.026036590530299566,0.026023561816421997,12,calm
2002-06-21,21.808218002319336,2002-06-24,2002-07-18,21.495704412218927,21.43657910109409,21.498584053934852,21.43402196366973,3208,16.04,16.04,0.8396358922229357,0.6930273416234072,69001.08547694098,68761.89029137047,68983.497645023,0.9997451078950946,68967.45764502301,0.9995126477839366,4796988,-207.11518557051724,-239.19518557051722,-0.0030030856963952995,-0.0034682326090902174,-0.003466542358242354,17,calm
2002-07-22,19.764217376708984,2002-07-23,2002-07-31,19.806442765604004,20.27099576952479,19.81035575688523,20.266933521380846,3470,17.35,17.35,1.4756153730034285,1.5043723633177453,68761.89029137047,70311.51513417026,68759.28447639175,0.999962103790811,68741.93447639175,0.9997097837931134,6217900,1584.324842799789,1549.6248427997891,0.023047428834635116,0.02254264234201878,0.022536100101865075,6,neutral
2002-08-05,18.10874938964844,2002-08-06,2002-08-13,18.41282819946064,19.62062706269046,18.417734595726102,19.615152419080776,3816,19.080000000000002,19.080000000000002,2.164661947806267,2.2910278200826855,70311.51513417026,74842.70154809169,70301.15521729081,0.9998526568961048,70282.07521729081,0.9995812930951172,6233238,4569.346413921432,4531.186413921432,0.06501439235814256,0.0644714374171847,0.06444444278117041,5,stressed
2003-08-05,25.51611328125,2003-08-06,2003-08-18,25.64280615644304,26.445208378543917,25.647635066553345,26.437856298027995,2917,14.585,14.585,1.3831441772975888,2.2808913222943676,74842.70154809169,77118.60688030324,74828.73648913612,0.9998134078718872,74814.15148913611,0.99961853249061,4235343,2305.075332211554,2275.9053322115537,0.03081068603105494,0.030420786534510677,0.03040918199283767,8,calm
2003-09-25,27.695249557495117,2003-09-26,2003-10-06,27.77970342863057,28.95372549525584,27.783981024847265,28.946005518756582,2775,13.875,13.875,1.0398278918595354,2.16702654162614,77118.60688030324,80315.47485090159,77114.42234395116,0.9999457389530054,77100.54734395116,0.9997658212838295,4226146,3224.6179705983564,3196.8679705983564,0.04182354187724635,0.041463622253379025,0.04145391235555195,6,calm
2003-11-18,28.61589241027832,2003-11-19,2003-11-25,28.72569145614486,29.80680502585113,28.729071051348043,29.803196145089377,2795,13.975,13.975,0.6765061280902835,0.7109039393570586,80315.47485090159,83289.70448790862,80311.72858851778,0.9999533556591583,80297.75358851778,0.9997793543222311,4075690,3002.179637007027,2974.229637007027,0.03738808998806568,0.03704001051197936,0.03703183779375538,4,calm
2004-02-04,30.69722366333008,2004-02-05,2004-02-12,30.849299818059578,31.702692155973345,30.85867943739333,31.694106005938472,2698,13.49,13.49,2.540464253345616,2.2090683779698064,83289.70448790862,85516.7053698434,83270.20712208722,0.9997659090527301,83256.71712208721,0.9996039442566855,4630612,2253.9808819347923,2227.0008819347927,0.02707266103982417,0.026748603102727798,0.026738009164843323,5,calm
2004-03-08,30.224016189575195,2004-03-09,2004-03-30,30.257846174653075,30.13953654515933,30.266183239308226,30.131311095299296,2825,14.125,14.125,2.2553397578368317,2.2298678885953684,85516.7053698434,85107.44156301818,85516.09265104574,0.9999928350981833,85501.96765104574,0.9998276626919392,4495024,-381.0138068252291,-409.2638068252291,-0.004456199281638042,-0.004786601034674827,-0.00478577612473775,15,calm
2004-04-30,29.379087448120117,2004-05-03,2004-05-25,29.573417112493576,29.70018032070581,29.581832046301184,29.692688535594108,2876,14.38,14.38,2.3454384475075307,2.0231077013202174,85107.44156301818,85397.50482622463,85091.72896516221,0.9998153792715725,85077.34896516221,0.9996464163731947,5295311,318.82326320645075,290.06326320645076,0.003747451784575513,0.003409406460528371,0.003408200950226804,16,calm
