signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,regime_at_entry,stop_loss_used,take_profit_used,exit_reason
2002-03-28,23.586742401123047,PG,momentum_relative_strength,2002-04-01,2002-04-19,23.393000002830647,23.36469078063965,23.39939764904104,23.35675931056712,4272,21.36,21.36,2.2348549607217345,2.8957921846375716,100000.0,99775.12901803943,99983.58675670331,0.9998358675670331,99962.22675670331,0.9996222675670331,344960,-182.15098196057562,-224.87098196057565,-0.0018221981229360805,-0.002249559551208138,-0.0022487098196057563,14,18,neutral,23.427465488770707,,stop_loss
2002-04-30,13.84782886505127,KO,momentum_relative_strength,2002-05-01,2002-05-22,13.910194871671823,13.857803687468827,13.912935092427592,13.853191227461581,7168,35.84,35.84,1.469937000200041,2.8295288655955533,99775.12901803943,99275.20499396307,99763.75874252098,0.9998860409840573,99727.91874252098,0.9995268332300536,445417,-428.24402407636626,-499.9240240763663,-0.004294123746651257,-0.005012879345923959,-0.005010507417995718,15,21,neutral,13.926542988772502,,stop_loss
2002-05-31,13.860297203063965,KO,momentum_relative_strength,2002-06-03,2002-06-05,13.695649414023904,13.471133931813872,13.699781196226478,13.46783998554024,7243,36.215,36.215,2.5168574542669506,1.9457866125307786,99275.20499396307,97522.82480496264,99263.73020426837,0.9998844143439906,99227.51520426838,0.9995196203352329,374588,-1679.9501890004296,-1752.3801890004295,-0.01693028577347833,-0.01766022443868522,-0.01765174082598965,2,2,calm,13.35018471113947,,stop_loss
2002-06-28,14.021995544433594,KO,momentum_relative_strength,2002-07-01,2002-07-11,14.084595500593224,13.521213157035088,14.08631767543302,13.519336754013002,6920,34.6,34.6,0.7227364568077139,0.8879401454579251,97522.82480496264,93530.1168287361,97511.91831399652,0.9998881647348922,97477.31831399651,0.999533375996264,500828,-3923.507976226528,-3992.707976226528,-0.04025047102330022,-0.040960379761013854,-0.04094126666461523,7,10,neutral,13.75350220470584,,stop_loss
2002-10-31,16.294044494628906,MSFT,momentum_relative_strength,2002-11-01,2002-12-02,15.977126149380226,17.872565044557923,15.97934831914176,17.867464830018456,5851,29.255,29.255,0.8908444740052719,2.3544701713361746,93530.1168287361,104518.97653387566,93524.42201529845,0.9999391125165802,93495.16701529844,0.9996263255663236,5390060,11047.369705139547,10988.859705139548,0.11815979432746386,0.11753398657859461,0.11749006713272211,20,31,stressed,16.770949171296976,,rebalance_rotation
2002-11-29,11.949606895446776,INTC,momentum_relative_strength,2002-12-02,2002-12-06,12.521909160852076,10.65048979527349,12.526156075089801,10.648037764347686,8340,41.7,41.7,2.891586844443415,1.8028007413839666,104518.97653387566,88772.06982228642,104509.84166624895,0.9999126008699124,104468.14166624895,0.9995136302582314,3126316,-15663.506711589242,-15746.906711589243,-0.14993572644979605,-0.1507340559564742,-0.15066074347260291,4,4,stressed,10.980703588931188,,stop_loss
2002-12-31,12.567619323730469,JPM,momentum_relative_strength,2003-01-02,2003-01-21,13.41218081432239,14.086777707116056,13.415850230934385,14.081884520166323,6614,33.07,33.07,2.2358836439764884,2.9748097406466614,88772.06982228642,93111.08061126646,88765.50342740004,0.9999260308461938,88732.43342740003,0.9995535037657032,477910,4405.150788980036,4339.0107889800365,0.04964532830697454,0.04889994133351669,0.04887810769385394,12,19,stressed,13.876440181902927,,stop_loss
2003-03-31,30.570295333862305,JNJ,momentum_relative_strength,2003-04-01,2003-04-16,30.57030015660791,29.57190064660933,30.57863378224503,29.56167389694944,3044,15.22,15.22,2.2260529319079883,2.9594623076949294,93111.08061126646,89985.01472042668,93096.58123315388,0.9998442787043454,93081.36123315388,0.9996808180302765,386248,-3095.6258908397804,-3126.06589083978,-0.033257204770412996,-0.03358423049926705,-0.033573511018424644,11,15,stressed,29.596584247670027,,stop_loss
2003-04-30,16.534273147583008,HD,momentum_relative_strength,2003-05-01,2003-05-20,16.51664157748098,17.95670085025373,16.52215356486564,17.953379829904407,5444,27.22,27.22,2.837232547431708,1.349802310642385,89985.01472042668,97722.17050729773,89973.82400712854,0.9998756380344782,89946.60400712854,0.999573143223708,524332,7791.595786871046,7737.155786871045,0.08662467997406036,0.08601943199832038,0.08598271402087912,13,19,calm,16.78800946575756,,stop_loss
2003-05-30,19.097000122070312,HD,momentum_relative_strength,2003-06-02,2003-06-23,19.24983122243285,19.05571519836673,19.256193907144404,19.050941101943796,5073,25.365000000000002,25.365000000000002,2.805319739187622,2.0059635623186023,97722.17050729773,96630.19302651504,97712.03669094357,0.9998962997209174,97686.67169094356,0.9996367373322769,600032,-1041.2474807826852,-1091.9774807826852,-0.010659053714890957,-0.011178367139351738,-0.011174306455883909,15,21,stressed,19.355820826660274,,stop_loss
