signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,entry_reason,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,holding_period_hours,regime_at_entry,stop_loss_used,take_profit_used,exit_reason,timeframe_label,data_interval
1995-08-11,32.59532165527344,SPY,connors_rsi2_pullback,1995-08-14,1995-08-15,32.677687328128464,32.878990312655525,32.682775435037506,32.87162059974067,connors_rsi2_pullback,3058.0,15.290000000000001,15.290000000000001,1.0570584472365223,1.7419682328979915,100000.0,100546.90851366229,99959.21728034469,0.9995921728034469,99943.9272803447,0.9994392728034469,15568.0,577.4885136622854,546.9085136622855,0.0057781250885050655,0.0054721535219263125,0.005469085136622855,1,1,24.0,neutral,32.17586117835463,,rsi2_recovery,Daily,1d
1995-10-26,34.002071380615234,SPY,connors_rsi2_pullback,1995-10-27,1995-10-31,33.965264837672706,34.572451637488854,33.97423650200756,34.560899270341054,connors_rsi2_pullback,2958.0,14.790000000000001,14.790000000000001,2.1414233416781503,2.842611850875939,100546.90851366229,102252.67698239278,100510.58157293835,0.9996387065374664,100495.79157293835,0.9994916110154,19121.75,1735.3484687304835,1705.7684687304836,0.01726787203293974,0.01697353134924523,0.01696490219287751,2,4,96.0,neutral,33.60213895596673,,rsi2_recovery,Daily,1d
1996-06-14,39.831268310546875,SPY,connors_rsi2_pullback,1996-06-17,1996-06-24,39.84984837589741,40.060995062748816,39.85710506060642,40.05575162250381,connors_rsi2_pullback,2564.0,12.82,12.82,1.3210068556765548,0.8090355398691647,102252.67698239278,102736.36676709769,102206.43737539487,0.9995477907438466,102193.61737539487,0.9994224150531719,40429.75,509.32978470491037,483.6897847049104,0.004983968644870982,0.004733072349598306,0.004730338598256929,5,7,168.0,neutral,39.16897100418267,,rsi2_recovery,Daily,1d
1996-08-30,39.07959747314453,SPY,connors_rsi2_pullback,1996-09-03,1996-09-09,38.565494042385666,39.5936647008677,38.5768087433121,39.58620284146148,connors_rsi2_pullback,2662.0,13.31,13.31,2.43389238421138,1.3849646772383255,102736.36676709769,105396.75385637133,102704.77487469681,0.9996924955262192,102691.46487469682,0.9995629406235217,33315.0,2687.007089273646,2660.3870892736463,0.026165826853792647,0.02590660375251075,0.025895281028428006,4,6,144.0,neutral,38.46447778093676,,mean_reversion_complete,Daily,1d
1997-10-16,58.21180725097656,SPY,connors_rsi2_pullback,1997-10-17,1997-10-20,58.06854705001331,57.96352002511617,58.08076545013839,57.95399703443355,connors_rsi2_pullback,1814.0,9.07,9.07,1.6041339495810623,1.1431982554983326,105396.75385637133,105148.65595028276,105367.57852655103,0.9997231856888111,105358.50852655103,0.9996371299075072,174395.5,-229.9579060885759,-248.09790608857588,-0.0021826230202435432,-0.0023547970596608588,-0.002353942574234018,1,3,72.0,neutral,56.913867644352585,,stop_loss,Daily,1d
1998-07-23,70.48799896240234,SPY,connors_rsi2_pullback,1998-07-24,1998-07-29,70.97023719906709,70.19860487717848,70.98152339572165,70.17996875171738,connors_rsi2_pullback,1481.0,7.405,7.405,1.0902717956139534,2.1554764546892415,105148.65595028276,103946.74352251244,105131.04114906376,0.9998324771623583,105123.63614906376,0.9997620530572371,298520.75,-1187.1024277703236,-1201.9124277703236,-0.011292440703697023,-0.011433322436317075,-0.011430601912197733,3,5,120.0,neutral,69.08534990861527,,stop_loss,Daily,1d
1999-07-22,84.99984741210938,SPY,connors_rsi2_pullback,1999-07-23,1999-07-29,85.40017950468959,84.32606433973953,85.41525069196318,84.31026425274533,connors_rsi2_pullback,1216.0,6.08,6.08,1.2647723179268389,1.374040739195972,103946.74352251244,102590.92001242352,103871.02484142724,0.9992715627395408,103864.94484142723,0.999213071248668,313047.25,-1343.6635100889098,-1355.8235100889096,-0.012936641059602051,-0.013053716171118885,-0.013043443826552103,4,6,144.0,neutral,83.17459556469781,,mean_reversion_complete,Daily,1d
1999-08-04,81.6311264038086,SPY,connors_rsi2_pullback,1999-08-05,1999-08-11,81.78730760902631,81.04524285151915,81.8090242447803,81.02521277724078,connors_rsi2_pullback,1253.0,6.265000000000001,6.265000000000001,2.155257446278609,1.9720791950807388,102590.92001242352,101596.2742435965,102512.97237870972,0.999240209233874,102506.70737870972,0.9991791414512746,263784.5,-982.1157688270208,-994.6457688270208,-0.009580990297528597,-0.009703226201113989,-0.009695261224936589,4,6,144.0,neutral,79.56838516712449,,stop_loss,Daily,1d
1999-11-30,87.28578186035156,SPY,connors_rsi2_pullback,1999-12-01,1999-12-03,87.30535226087912,89.6358438657984,87.33444493988765,89.61476324024592,connors_rsi2_pullback,1163.0,5.815,5.815,2.8322904329627976,1.8523607930502717,101596.2742435965,104236.65442691318,101575.77446508933,0.9997982231271786,101569.95946508933,0.9997409867763055,302589.25,2652.010183316673,2640.380183316673,0.026110182550857442,0.025995680191486143,0.025988946966557618,2,2,48.0,calm,85.29280178708308,,rsi2_recovery,Daily,1d
2003-06-23,64.7747802734375,SPY,connors_rsi2_pullback,2003-06-24,2003-06-27,64.64315809818174,64.9919668126819,64.65156919545761,64.97094613769401,connors_rsi2_pullback,1612.0,8.06,8.06,0.801158161716286,2.7353961635915027,104236.65442691318,104735.37005779827,104226.38954307766,0.9999015232799636,104218.32954307766,0.9998241992326378,2119495.25,514.8356308850813,498.7156308850813,0.004939972010127823,0.0047852967234419345,0.004784455464605897,3,3,72.0,neutral,63.274310936886685,,mean_reversion_complete,Daily,1d
