agent,skill_luck_verdict,evidence_label,confidence_label,final_classification,stability_classification,verdict_reason,cumulative_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,RCSI,RCSI_z,p_value,adjusted_p_value,p_value_prominence,actual_percentile,number_of_trades,number_of_periods,transaction_cost,research_grade,artifact_run_id,signal_count,trades_per_month,average_holding_bars,average_holding_days,average_holding_hours,activity_status,activity_warning
trend_pullback,Random / Luck,Random / Luck,Low,random / luck,not available,The result is statistically consistent with the null distribution. raw p=0.569; BH-adjusted p=0.781; percentile=43.1; RCSI_z=-0.301. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.6054353600660944,0.2589315139268376,0.12741439348886502,-0.19527607067373498,-0.1853024046926061,-0.3013707244255607,0.5688862227554489,0.7813992757004155,0.24497458381657783,43.13137372525495,132,8032,0.00047,True,run_20260402T220332Z_pid29728,133.0,0.3538932440764555,10.43939393939394,15.212121212121213,365.09090909090907,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
breakout_volume_momentum,Random / Luck,Random / Luck,Low,random / luck,not available,The result is statistically consistent with the null distribution. raw p=0.494; BH-adjusted p=0.781; percentile=50.6; RCSI_z=-0.120. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.4170907440225884,0.27149337953528324,0.16825286201754497,-0.1396660273253877,-0.0561110435112522,-0.1202845225311771,0.4943011397720456,0.7813992757004155,0.30600838813088954,50.58988202359528,116,8032,0.00047,True,run_20260402T220332Z_pid29728,116.0,0.308712949199965,8.827586206896552,12.78448275862069,306.82758620689657,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
mean_reversion_vol_filter,Negative Skill,Negative Skill,Low,negative skill,not available,The result is worse than the random null on all three metrics. raw p=0.703; BH-adjusted p=0.781; percentile=29.7; RCSI_z=-0.523. BH-adjusted p-value is shown for reference only and is not used by the final class label.,-0.025021472348788265,-0.03626272008727285,-0.05353445275557053,-0.10009771906122733,-0.0515929597598768,-0.5227271539767272,0.7032593481303739,0.7813992757004155,0.15288448623072518,29.69406118776245,16,8032,0.00047,True,run_20260402T220332Z_pid29728,16.0,0.0521469108041546,4.875,7.0625,169.5,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
trend_momentum_verification,Negative Skill,Negative Skill,Low,negative skill,not available,The result is worse than the random null on all three metrics. raw p=0.663; BH-adjusted p=0.781; percentile=33.7; RCSI_z=-0.532. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.8839416818040584,0.39695314841412516,0.23730188707158545,-0.17404713270474648,-0.5411619452844545,-0.5324287322997064,0.6630673865226955,0.7813992757004155,0.1784423326694318,33.7132573485303,98,8032,0.00047,True,run_20260402T220332Z_pid29728,98.0,0.2624846004927842,21.22448979591837,30.785714285714285,738.8571428571429,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
adx_trend_following,Negative Skill,Negative Skill,Low,negative skill,not available,The result is worse than the random null on all three metrics. raw p=0.788; BH-adjusted p=0.788; percentile=21.2; RCSI_z=-0.811. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.5713087225938842,0.29154088365322933,0.13729472204448742,-0.13478733229904194,-0.7693812773561541,-0.8112841378668861,0.788242351529694,0.788242351529694,0.10334023460424338,21.19576084783043,136,8032,0.00047,True,run_20260402T220332Z_pid29728,136.0,0.3637521968365553,14.764705882352942,21.551470588235293,517.2352941176471,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
uptrend_oversold_reversion,Random / Luck,Random / Luck,Low,random / luck,not available,The result is statistically consistent with the null distribution. raw p=0.311; BH-adjusted p=0.781; percentile=68.9; RCSI_z=0.449. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.20208434781072815,0.20865044531262017,0.15397237404164943,-0.10512390010265427,0.0920656757983063,0.4494908995326324,0.3113377324535093,0.7813992757004155,0.5067682419795474,68.88622275544891,78,8032,0.00047,True,run_20260402T220332Z_pid29728,78.0,0.2202546618424715,3.782051282051282,5.653846153846154,135.69230769230768,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
volatility_squeeze_breakout,Random / Luck,Random / Luck,Low,random / luck,not available,The result is statistically consistent with the null distribution. raw p=0.600; BH-adjusted p=0.781; percentile=40.0; RCSI_z=-0.304. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.11355565945071988,0.16034382280557605,0.211662123317267,-0.066790214350544,-0.0703877724099701,-0.3042045094802638,0.5998800239952009,0.7813992757004155,0.22193559982800537,40.031993601279744,30,8032,0.00047,True,run_20260402T220332Z_pid29728,30.0,0.0813764370376971,12.766666666666667,18.3,439.2,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
connors_rsi2_pullback,Strong Skill,Strong Skill,High,strong skill,not available,All three metrics point to a strong edge over the null distribution. raw p=0.035; BH-adjusted p=0.346; percentile=96.6; RCSI_z=2.008. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.4800817490180127,0.4509415416441059,0.27622321274519285,-0.11073594739680181,0.3952395718029693,2.007515743776889,0.0345930813837232,0.3459308138372325,1.461010751418873,96.56068786242751,103,8032,0.00047,True,run_20260402T220332Z_pid29728,103.0,0.2806178392409594,2.6019417475728157,3.679611650485437,88.31067961165049,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
turn_of_month_seasonality,Random / Luck,Random / Luck,Low,random / luck,not available,The result is statistically consistent with the null distribution. raw p=0.442; BH-adjusted p=0.781; percentile=55.8; RCSI_z=-0.001. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.45054531561987843,0.2833900324888832,0.10281859524706316,-0.14159320115906693,-0.0005595646959615,-0.0011635063751621,0.4417116576684663,0.7813992757004155,0.3548611386762328,55.84883023395321,231,8032,0.00047,True,run_20260402T220332Z_pid29728,231.0,0.6094887742718447,4.523809523809524,6.4978354978354975,155.94805194805195,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
random,Random / Luck,Random / Luck,Low,random / luck,not available,The result is statistically consistent with the null distribution. raw p=0.531; BH-adjusted p=0.781; percentile=46.9; RCSI_z=-0.291. BH-adjusted p-value is shown for reference only and is not used by the final class label.,2.7897361237815517,0.3842284597763743,0.14235394497928086,-0.5654566101400387,-0.6257252328619569,-0.2907419867167346,0.5312937412517497,0.7813992757004155,0.2746653001373902,46.89062187562488,312,8032,0.00047,True,run_20260402T220332Z_pid29728,312.0,0.817606543263022,11.778846153846152,17.137820512820515,411.3076923076923,acceptable,Trade activity is in a reasonable range for daily research and null-hypothesis testing.
