agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,p_value_interpretation,lower_5pct,upper_95pct,number_of_trades,transaction_cost,execution_cost_model,simulation_count,research_grade,reproducible,seed_used,null_model,bh_adjusted_p_value
trend_pullback,0.6138545378945339,0.7073431484453225,0.7929208302256584,0.6116999034904288,43.47826086956522,0.5657171414292853,0.2474006617839588,no evidence,-0.04773767426106198,1.9035349225349536,132,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8454772613693153
breakout_volume_momentum,0.41708921237405655,0.4034753008074887,0.45580732844090477,0.45356311822675127,51.424287856071956,0.4862568715642179,0.3131342483678595,no evidence,-0.17242983271187548,1.2905177559257326,116,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8454772613693153
mean_reversion_vol_filter,-0.02502088990078869,0.025320549322737605,0.028627224945737474,0.10080872809447093,29.83508245877061,0.7021489255372314,0.1535707643951127,no evidence,-0.1346906429331925,0.1969903824238157,16,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8454772613693153
trend_momentum_verification,0.9147823641071369,1.313098864106209,1.4816127828750574,1.0295004607709568,32.733633183408294,0.6731634182908546,0.1718794929132258,no evidence,0.16037228649017424,3.4604093374971066,100,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8454772613693153
adx_trend_following,0.5713045904069723,1.1680294427129723,1.3382161430927146,0.9796993881183451,23.18840579710145,0.768615692153923,0.11429075317079919,no evidence,0.09243380002880637,3.2043575465850145,136,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8454772613693153
uptrend_oversold_reversion,0.20208431178545036,0.09377677225152208,0.10854548394771216,0.20629642166299753,69.11544227886057,0.30934532733633185,0.5095564396160934,no evidence,-0.20439658975821762,0.47364860422065785,78,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8454772613693153
volatility_squeeze_breakout,0.10779197053241739,0.16676055147486746,0.17782524734415522,0.23722085646568386,40.379810094952525,0.5967016491754122,0.22424276184286115,no evidence,-0.19098044045762053,0.5893176909250645,30,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8454772613693153
connors_rsi2_pullback,0.48008800920968814,0.06746975750993683,0.08621309240549141,0.19808755271530853,96.40179910044976,0.03648175912043978,1.4379242285157554,strong evidence,-0.21150809994760547,0.4392418330929042,103,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.40129935032483754
donchian_trend_reentry,0.23431392716954694,0.8596966246612567,0.9696269567487888,0.7321208382953112,14.492753623188406,0.8555722138930535,0.06774332829507697,no evidence,-0.0009251870966924227,2.338912506229323,104,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8555722138930535
turn_of_month_seasonality,0.4505107042854132,0.3936074003822345,0.45012318190213185,0.46406632414539456,55.02248875562219,0.45027486256871563,0.3465222976571484,no evidence,-0.2012407552874344,1.2873203210600555,231,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8454772613693153
random,2.789740286130288,2.8988320719229863,3.322103778541927,2.121249960166158,48.02598700649675,0.52023988005997,0.28379635912567525,no evidence,0.7769619469095342,7.3497184001387525,312,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8454772613693153
