signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,entry_reason,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,holding_period_hours,regime_at_entry,stop_loss_used,take_profit_used,exit_reason,timeframe_label,data_interval
1994-05-06,25.38650131225586,SPY,random,1994-05-09,1994-05-17,25.315589767730163,25.280127431676924,25.32369906053375,25.273477401952135,random_timing_entry,3947.0,19.735,19.735,2.703280222974019,2.131228627158756,100000.0,99762.30511357836,99972.37519192672,0.9997237519192672,99952.64019192672,0.9995264019192672,20441.25,-198.22488642164004,-237.69488642164004,-0.0019831880982934843,-0.002378075116027189,-0.0023769488642164005,6,8,192.0,neutral,,,random_time_exit,Daily,1d
1994-05-20,25.84743881225586,SPY,random,1994-05-23,1994-06-03,25.82083812688725,26.09562045216923,25.82819751738679,26.092048830653795,random_timing_entry,3861.0,19.305,19.305,2.3501749104237857,0.8688543734570054,99762.30511357836,100742.42503410227,99741.97561463038,0.9997962206373957,99722.67061463039,0.9996027106741083,20418.25,1018.7299205239032,980.1199205239033,0.010215630149544394,0.009828456402972717,0.009824551662153824,8,11,264.0,neutral,,,random_time_exit,Daily,1d
1994-07-13,25.63464736938477,SPY,random,1994-07-14,1994-08-05,25.759555370026053,26.098626937475625,25.763921836783574,26.092862334517935,random_timing_entry,3908.0,19.54,19.54,1.1950862290898117,1.7092643128933565,100742.42503410227,101988.84449924815,100704.9465381502,0.9996279770321254,100685.4065381502,0.9994340170396656,26458.5,1285.4994651458849,1246.419465145885,0.012767485471281308,0.012379345805924818,0.012372339307138578,16,22,528.0,stressed,,,random_time_exit,Daily,1d
1994-08-09,26.250308990478516,SPY,random,1994-08-10,1994-09-02,26.268144369206105,27.24962876455044,26.27311793171746,27.241449758720407,random_timing_entry,3880.0,19.400000000000002,19.400000000000002,1.3933817484215543,2.50241209718165,101988.84449924815,105707.17198801957,101959.09757506374,0.9997083315892982,101939.69757506375,0.9995181147072927,15256.25,3757.1274887714276,3718.3274887714274,0.03685637271981163,0.0364757555419803,0.03645817841184423,17,23,552.0,calm,,,random_time_exit,Daily,1d
1994-09-19,27.03835105895996,SPY,random,1994-09-20,1994-09-27,26.89472819939886,26.5087011945486,26.89974624548759,26.500782768381026,random_timing_entry,3928.0,19.64,19.64,1.3658102998944002,2.4879970855123923,105707.17198801957,104100.76344994498,105681.84325227526,0.999760387727077,105662.20325227526,0.9995745914406885,14295.0,-1567.1285380745912,-1606.4085380745914,-0.01483149593552362,-0.015203246654238209,-0.015196779062982172,5,7,168.0,neutral,,,random_time_exit,Daily,1d
1994-11-01,26.97551918029785,SPY,random,1994-11-02,1994-11-23,26.89472532974509,25.871355905058635,26.898621586294173,25.865151797132643,random_timing_entry,3868.0,19.34,19.34,0.9487065777070326,1.8986358072261018,104100.76344994498,100064.62230546818,104063.20829578585,0.9996392422791675,104043.86829578585,0.9994534607405979,14290.0,-3997.461144476795,-4036.1411444767955,-0.03842092004030867,-0.03879268630230537,-0.03877148457626349,15,21,504.0,stressed,,,random_time_exit,Daily,1d
1994-11-25,26.122705459594727,SPY,random,1994-11-28,1994-12-16,26.113715145386458,26.448608476607525,26.122722764961292,26.443346227077708,random_timing_entry,3829.0,19.145,19.145,2.949382642295535,1.4900089363244429,100064.62230546818,101253.99954191194,100043.0504670368,0.9997844209278527,100023.90546703679,0.9995930945673578,11578.75,1227.6672364437557,1189.3772364437557,0.012273738269981245,0.01189092978213812,0.011886091298210602,14,18,432.0,stressed,,,random_time_exit,Daily,1d
1994-12-27,26.819599151611328,SPY,random,1994-12-28,1995-01-23,26.846746200220025,26.774359138136408,26.855940607793734,26.766427750649708,random_timing_entry,3768.0,18.84,18.84,2.924775391825488,2.4631849123034026,101253.99954191194,100879.03509619324,101212.02421016678,0.9995854451978682,101193.18421016679,0.9993993784737365,15262.5,-337.28444571869,-374.96444571868994,-0.0033330747357271455,-0.0037054318296767027,-0.003703206267555697,17,26,624.0,neutral,,,random_time_exit,Daily,1d
1995-01-25,27.145341873168945,SPY,random,1995-01-26,1995-02-06,27.12723550151834,27.80587599445093,27.130523190835607,27.801977823353045,random_timing_entry,3716.0,18.580000000000002,18.580000000000002,0.7119514784635956,0.9021200659366675,100879.03509619324,103337.00051062804,100835.60417714511,0.9995694752729671,100817.02417714511,0.9993852942884615,13251.75,2495.1254144348004,2457.9654144348006,0.02474904843502053,0.024380459892526893,0.02436547308458102,7,11,264.0,calm,,,random_time_exit,Daily,1d
1995-04-27,29.994203567504883,SPY,random,1995-04-28,1995-05-23,29.98512451985184,30.72199301632764,29.991274720904173,30.71878739997186,random_timing_entry,3444.0,17.22,17.22,1.5510840461099316,0.5435360986230957,103337.00051062804,105808.11417733716,103307.17013879397,0.9997113292268338,103289.95013879397,0.9995446899793725,12760.25,2505.5536667091123,2471.1136667091127,0.02425747774437223,0.02392404743528871,0.023913154576757457,17,25,600.0,calm,,,random_time_exit,Daily,1d
