signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,entry_reason,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,holding_period_hours,regime_at_entry,stop_loss_used,take_profit_used,exit_reason,timeframe_label,data_interval
1994-10-27,26.813901901245117,SPY,trend_momentum_verification,1994-10-28,1994-11-11,26.867773937788165,26.72415594813799,26.871939347004652,26.718691872382966,trend_momentum_verification,3719.0,18.595,18.595,1.0503365578885169,1.5450386497665325,100000.0,99392.88264188195,99955.3374315103,0.9995533743151029,99936.7424315103,0.999367424315103,13036.0,-569.9273581180514,-607.1173581180515,-0.0057028810850888,-0.006075016488896739,-0.006071173581180514,10,14,336.0,neutral,26.309567682550156,28.189358861322287,trend_momentum_breakdown,Daily,1d
1994-12-21,26.72911262512207,SPY,trend_momentum_verification,1994-12-22,1995-02-16,26.729122056944867,28.16782379150391,26.73652341878156,28.16021762539988,trend_momentum_verification,3716.0,18.580000000000002,18.580000000000002,2.2690254176420113,2.201032429936487,99392.88264188195,104646.17031367564,99371.50102419227,0.9997848777787569,99352.92102419227,0.9995979428644437,16052.0,5290.447671793684,5253.287671793684,0.053249040060990946,0.052875019854871884,0.05285376107584655,38,56,1344.0,neutral,25.67385912685811,28.162667434602064,take_profit,Daily,1d
1995-02-22,28.258310317993164,SPY,trend_momentum_verification,1995-02-23,1995-03-28,28.366880310161033,29.28460244213349,28.37475706915012,29.27979824616831,trend_momentum_verification,3686.0,18.43,18.43,2.27674488804095,1.140788616367016,104646.17031367564,107945.29209216467,104607.78455688735,0.9996331852692436,104589.35455688735,0.9994570679785224,11852.0,3335.981778489039,3299.121778489039,0.031895997375856834,0.031543571451094564,0.031526445436082,23,33,792.0,calm,27.851116452810256,29.252735757517275,take_profit,Daily,1d
1995-04-27,29.994216918945312,SPY,trend_momentum_verification,1995-04-28,1995-06-01,29.985097865492268,31.095008785479536,29.993508621176517,31.085669656335813,trend_momentum_verification,3597.0,17.985,17.985,2.304978567012661,2.5043197547192912,107945.29209216467,111837.82533563266,107904.63551037193,0.9996233593795083,107886.65051037192,0.9994567472035494,12760.25,3928.5032434679906,3892.5332434679904,0.03641324691130637,0.03607984143593162,0.036060240961176056,23,34,816.0,calm,29.284615677573033,31.208268273914687,take_profit,Daily,1d
1995-10-19,34.848426818847656,SPY,trend_momentum_verification,1995-10-20,1995-10-27,34.82082699272895,33.96526861959062,34.82969260555857,33.95703865853571,trend_momentum_verification,3210.0,16.05,16.05,2.0460661320487112,1.9236392159121622,111837.82533563266,109004.50616568928,111819.36326384301,0.9998349210409426,111803.31326384301,0.9996914096667556,18606.75,-2801.2191699433856,-2833.319169943386,-0.02505488512073725,-0.025341996468897815,-0.0253341761737624,5,7,168.0,calm,33.71687404411203,36.293020018807304,trailing_stop,Daily,1d
1995-11-03,34.87602996826172,SPY,trend_momentum_verification,1995-11-06,1995-12-06,34.86682404154126,36.6791826048151,34.87679812480225,36.66758166428118,trend_momentum_verification,3124.0,15.620000000000001,15.620000000000001,2.3606228227472554,2.663813921553099,109004.50616568928,114567.67394302145,108970.73734188222,0.999690207084139,108955.11734188223,0.9995469102558753,21439.5,5594.407777332178,5563.167777332178,0.05134598460187876,0.05105926103384317,0.05103612660632616,21,30,720.0,neutral,33.72608054148686,36.494583759321564,take_profit,Daily,1d
1995-12-13,36.87237548828125,SPY,trend_momentum_verification,1995-12-14,1995-12-19,36.90917309926185,35.933992066270264,36.9178172234325,35.92197460907981,trend_momentum_verification,3102.0,15.51,15.51,1.8419988704172234,2.845433351375175,114567.67394302145,111447.55015329941,114534.57902708762,0.9997111321649919,114519.06902708762,0.9995757536636556,18498.5,-3089.103789722042,-3120.1237897220426,-0.026974580006333838,-0.027245451925425872,-0.02723389314226446,3,5,120.0,neutral,35.82359857299867,38.367260299574156,trailing_stop,Daily,1d
1996-05-13,39.48725128173828,SPY,trend_momentum_verification,1996-05-14,1996-06-18,39.64530571657016,39.77548066658958,39.652499976995514,39.76780067388134,trend_momentum_verification,2809.0,14.045,14.045,1.3146563118438759,1.4312088116752404,111447.55015329941,111743.33981085168,111397.9174353804,0.9995546540246892,111383.8724353804,0.9994286306174391,35890.5,323.8796575522824,295.7896575522824,0.002907778751723522,0.0026555878430594647,0.0026540705214732397,24,35,840.0,neutral,37.53474740756633,42.51520318694992,trend_momentum_breakdown,Daily,1d
1996-10-04,42.2965202331543,SPY,trend_momentum_verification,1996-10-07,1996-11-18,42.27772905896925,44.59829270796928,42.291881733702624,44.59031599293579,trend_momentum_verification,2641.0,13.205,13.205,2.8475484725397955,1.2888895505356184,111743.33981085168,117787.09468948649,111706.06465870864,0.9996664217106259,111692.85965870864,0.9995482491195583,38372.75,6070.164878634798,6043.754878634798,0.05434693763937049,0.05411048563983624,0.05408604118030731,30,42,1008.0,calm,40.98120622165868,44.67171968821989,take_profit,Daily,1d
1996-11-19,44.842586517333984,SPY,trend_momentum_verification,1996-11-20,1996-12-09,44.83316156211395,44.90832768680147,44.840274997031905,44.89899168946748,trend_momentum_verification,2626.0,13.13,13.13,1.086645837611854,1.5793334065412337,117787.09468948649,117915.02472382231,117763.6921422058,0.999801314844021,117750.56214220579,0.9996898425300581,48930.25,154.19003433581787,127.93003433581788,0.0013094632546178813,0.0010864494572970147,0.0010861124868821197,12,19,456.0,neutral,42.86020940456215,47.276691387886125,trailing_stop,Daily,1d
