agent,outer_run,seed_used,actual_cumulative_return,annualized_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,RCSI,RCSI_z,significant_run,outperform_null_median,lower_5pct,upper_95pct,number_of_trades,transaction_cost,simulations_per_run,null_model
trend,1,101,7.0018835747368815,0.15600874107807927,0.5691728583835658,0.15769726885796706,-0.5940902103163633,24.779170866574376,43.37196310790237,55.1699588208324,9.3,0.907,0.04239271293990473,-17.777287291837496,-0.6592370251948059,0,0,4.974600434393326,135.0342595497645,132,0.00047,1000,random_timing_matched_duration
mean_reversion,1,101,8.309103382834618,0.1660352732064377,0.5749542699006219,0.3812447338081301,-0.604008216498277,1.7105087803637038,2.964621238925697,4.141902575951864,91.9,0.081,1.0915149811213503,6.598594602470914,1.2903447258608414,0,1,-0.34469853200990674,9.984783985489818,66,0.00047,1000,random_timing_matched_duration
random,1,101,6.496169529358596,0.14903630715826058,0.5398884214591508,0.23842613806799895,-0.8139280291372587,9.378952902449605,17.7367584223027,23.863350811474255,37.7,0.623,0.2055119533408304,-2.8827833730910086,-0.47103983768864816,0,0,0.7453046580109061,62.05908099713441,80,0.00047,1000,random_timing_matched_duration
momentum,1,101,23.82902973487983,0.25322313626676807,0.7249572758407131,0.26944887839901416,-0.6331084578634381,44.669633913934774,67.42382706186555,67.91673412995132,24.5,0.755,0.12205304837081175,-20.840604179054946,-0.6418859488086073,0,0,10.798242838608564,205.47501972076077,44,0.00047,1000,random_timing_matched_duration
breakout,1,101,8.919936639630139,0.1733505183311313,0.6034885601158502,0.29649715297446433,-0.5941113939327626,25.318581364357847,43.71488263307652,57.138017266272456,14.299999999999999,0.857,0.06701917807680184,-16.39864472472771,-0.6089631327474363,0,0,4.511668752193729,152.38875046626245,43,0.00047,1000,random_timing_matched_duration
trend,2,102,7.0018835747368815,0.15600874107807927,0.5691728583835658,0.15769726885796706,-0.5940902103163633,26.653776347829762,44.75594818946522,57.36052215503704,10.8,0.892,0.04963514562387693,-19.651892773092882,-0.6581889982222384,0,0,3.95393276318192,152.03058139086926,132,0.00047,1000,random_timing_matched_duration
mean_reversion,2,102,8.309103382834618,0.1660352732064377,0.5749542699006219,0.3812447338081301,-0.604008216498277,1.7816618886772093,3.0995116212034355,4.1466462716777786,91.5,0.085,1.0705810742857071,6.527441494157408,1.2563385975826977,0,1,-0.35571246106992466,10.288492631024285,66,0.00047,1000,random_timing_matched_duration
random,2,102,6.496169529358596,0.14903630715826058,0.5398884214591508,0.23842613806799895,-0.8139280291372587,9.245971660830062,17.212468566108473,26.827945816249525,39.4,0.606,0.21752737583371382,-2.7498021314714656,-0.3994453809526885,0,0,0.7356548531302567,57.07644923015031,80,0.00047,1000,random_timing_matched_duration
momentum,2,102,23.82902973487983,0.25322313626676807,0.7249572758407131,0.26944887839901416,-0.6331084578634381,44.816975410394946,69.30641726869149,74.55369828296884,20.8,0.792,0.10127481841050648,-20.987945675515117,-0.6099950583430761,0,0,11.988496307689573,204.2144421984163,44,0.00047,1000,random_timing_matched_duration
breakout,2,102,8.919936639630139,0.1733505183311313,0.6034885601158502,0.29649715297446433,-0.5941113939327626,26.74427585988287,45.671109424149066,58.047353956957664,14.299999999999999,0.857,0.06701917807680184,-17.82433922025273,-0.6331239975515519,0,0,4.917661813625363,147.82664560868776,43,0.00047,1000,random_timing_matched_duration
trend,3,103,7.0018835747368815,0.15600874107807927,0.5691728583835658,0.15769726885796706,-0.5940902103163633,26.326630982382873,45.67699305182921,64.80139591218435,10.299999999999999,0.897,0.047207556955907906,-19.324747407645994,-0.5968252524915193,0,0,4.966632511494934,142.56395450079512,132,0.00047,1000,random_timing_matched_duration
mean_reversion,3,103,8.309103382834618,0.1660352732064377,0.5749542699006219,0.3812447338081301,-0.604008216498277,1.8920926056772684,3.095594720151091,3.855871305377782,91.2,0.088,1.0555173278498313,6.4170107771573495,1.3520961281597361,0,1,-0.2800675040587813,10.365583756858172,66,0.00047,1000,random_timing_matched_duration
random,3,103,6.496169529358596,0.14903630715826058,0.5398884214591508,0.23842613806799895,-0.8139280291372587,9.48771392898931,17.24522468163784,22.843163874491054,38.2,0.618,0.20901152491118416,-2.9915443996307136,-0.47055894758443273,0,0,0.864937217924368,62.874050142368354,80,0.00047,1000,random_timing_matched_duration
momentum,3,103,23.82902973487983,0.25322313626676807,0.7249572758407131,0.26944887839901416,-0.6331084578634381,46.18895338302302,71.85260592848572,93.33183570801444,22.900000000000002,0.771,0.11294562194904302,-22.35992364814319,-0.5145465727669395,0,0,11.500091140999752,206.06807713090257,44,0.00047,1000,random_timing_matched_duration
breakout,3,103,8.919936639630139,0.1733505183311313,0.6034885601158502,0.29649715297446433,-0.5941113939327626,26.826280203876628,45.71112197216271,63.624147787579005,15.6,0.844,0.07365755337434496,-17.90634356424649,-0.5782582024574499,0,0,4.689299073596666,141.19841698472126,43,0.00047,1000,random_timing_matched_duration
trend,4,104,7.0018835747368815,0.15600874107807927,0.5691728583835658,0.15769726885796706,-0.5940902103163633,28.180398842403783,48.29273985037186,65.18205223243689,12.0,0.88,0.05551732784983137,-21.178515267666903,-0.6334697184493862,0,0,4.249297158660829,163.328667971784,132,0.00047,1000,random_timing_matched_duration
mean_reversion,4,104,8.309103382834618,0.1660352732064377,0.5749542699006219,0.3812447338081301,-0.604008216498277,1.8718348836681105,2.9430857489728086,3.6756558907023607,92.80000000000001,0.072,1.1426675035687315,6.437268499166507,1.4598803025700118,0,1,-0.3003746991328748,10.249190919452703,66,0.00047,1000,random_timing_matched_duration
