signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,entry_reason,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,holding_period_hours,regime_at_entry,stop_loss_used,take_profit_used,exit_reason,timeframe_label,data_interval
1999-01-15,16.449260711669922,CSCO,momentum_relative_strength,1999-01-19,1999-02-10,16.92443272762097,15.519127555489163,16.930221068723036,15.51471389851184,relative_strength_leader_rotation,5903.0,29.515,29.515,2.920109373957601,2.344820088979186,100000.0,91585.23117424331,99968.60996867208,0.9996860996867208,99939.09496867209,0.9993909496867208,3403229.0,-8355.73882575669,-8414.76882575669,-0.08360830992491942,-0.08419896966642001,-0.0841476882575669,16,22,528.0,stressed,15.835433325274279,,stop_loss,Daily,1d
1999-02-09,15.519116401672363,CSCO,momentum_relative_strength,1999-02-10,1999-02-18,15.519127555489163,15.529232151559455,15.522246101402558,15.52596275027118,relative_strength_leader_rotation,5896.0,29.48,29.48,1.5094853285043408,1.6057639650842686,91585.23117424331,91548.1845359727,91548.64301386949,0.9996005015229561,91519.16301386949,0.9992786155635932,4184616.0,21.913361729393984,-37.04663827060602,0.00023944014573290046,-0.0004047965152936516,-0.0004045045013876071,5,8,192.0,stressed,13.984138736407504,,rebalance_rotation,Daily,1d
1999-02-17,22.85494041442871,MSFT,momentum_relative_strength,1999-02-18,1999-02-19,22.99778611950359,22.464487697872418,23.002147558076732,22.45848366974078,relative_strength_leader_rotation,3978.0,19.89,19.89,1.3964601855476262,2.173389806688837,91548.1845359727,89345.70958817228,91522.43298602923,0.9997187104247452,91502.54298602924,0.9995014477875798,4477575.0,-2162.6949478004203,-2202.47494780042,-0.02363535348007349,-0.024070095495998377,-0.02405809529663568,1,1,24.0,stressed,19.591348189621087,,rebalance_rotation,Daily,1d
1999-02-18,23.606294631958008,JPM,momentum_relative_strength,1999-02-19,1999-02-23,23.54825210571289,24.78662249235482,23.55296566424548,24.782939065710845,relative_strength_leader_rotation,3791.0,18.955000000000002,18.955000000000002,1.501659618485076,0.9862751484826278,89345.70958817228,93970.62875312747,89308.24783315462,0.9995807100845655,89289.29283315461,0.9993685566405179,325463.625,4662.829164955199,4624.919164955199,0.052221593620056225,0.051797018636907485,0.05176431175344824,2,4,96.0,stressed,21.790947008565183,,rebalance_rotation,Daily,1d
1999-02-22,16.509920120239258,CSCO,momentum_relative_strength,1999-02-23,1999-02-26,16.530144210287347,15.893200907844324,16.5320098795073,15.88775139108634,relative_strength_leader_rotation,5680.0,28.400000000000002,28.400000000000002,0.6286466689079885,2.9300113488949084,93970.62875312747,90254.44053889642,93930.21611560145,0.999569943948846,93901.81611560145,0.9992677218569347,3875160.0,-3659.3882142310495,-3716.1882142310496,-0.038970366768263764,-0.03957525389771049,-0.03954627380427493,3,3,72.0,stressed,13.872045272970633,,rebalance_rotation,Daily,1d
1999-02-25,24.612470626831055,JPM,momentum_relative_strength,1999-02-26,1999-03-18,24.57376279127093,25.42514213357025,24.581880385326727,25.419534823177933,relative_strength_leader_rotation,3670.0,18.35,18.35,2.803358189278749,1.7059059818848485,90254.44053889642,93291.93232581035,90233.8510141491,0.9997718724461159,90215.5010141491,0.9995685583499845,325861.875,3074.191786913928,3037.491786913928,0.03407609282612954,0.03366928912180556,0.03365476278815199,14,20,480.0,stressed,24.621496145347734,,rebalance_rotation,Daily,1d
1999-03-17,10.197702407836914,WMT,momentum_relative_strength,1999-03-18,1999-03-22,10.164637748898024,10.03898218008466,10.167480071540295,10.035922167670556,relative_strength_leader_rotation,9166.0,45.83,45.83,2.296285231689446,2.5490595313326283,93291.93232581035,91994.41257894033,93240.95233573834,0.9994535434222332,93195.12233573834,0.998962289796572,1143493.5,-1205.8597468700275,-1297.5197468700273,-0.012939086474138422,-0.01392261434236517,-0.013908166703403705,2,4,96.0,neutral,9.455802699205869,,rebalance_rotation,Daily,1d
1999-03-19,26.08319664001465,MSFT,momentum_relative_strength,1999-03-22,1999-04-13,26.349829618926503,28.378201615628523,26.35739199327652,28.3736851585345,relative_strength_leader_rotation,3488.0,17.44,17.44,2.3699898478989856,1.0917767004134196,91994.41257894033,98992.36313936017,91952.0232725485,0.9995392186850972,91934.5832725485,0.9993496419541731,3341791.0,7032.830560419837,6997.9505604198375,0.0764982045936986,0.07611880438587264,0.07606929990900156,15,22,528.0,neutral,25.761964556662566,,rebalance_rotation,Daily,1d
1999-04-12,11.097111701965332,WMT,momentum_relative_strength,1999-04-13,1999-04-16,11.064043045043944,10.210927386074903,11.066357920976804,10.209623503630672,relative_strength_leader_rotation,8937.0,44.685,44.685,1.5922513799301474,0.777111191973459,98992.36313936017,91246.35765153778,98944.7257397697,0.9995187770240073,98900.0407397697,0.9990673785667638,1122664.5,-7656.635487822384,-7746.005487822385,-0.07741792046343916,-0.07832156013164876,-0.07824851576598549,3,3,72.0,stressed,9.976621425320706,,stop_loss,Daily,1d
1999-04-15,10.343198776245115,WMT,momentum_relative_strength,1999-04-16,1999-04-20,10.210927386074903,9.734768176655372,10.213676670263178,9.731508791496463,relative_strength_leader_rotation,8925.0,44.625,44.625,2.1924921550442713,2.849311220636465,91246.35765153778,86853.75933354485,91201.68928209886,0.9995104640821992,91157.06428209886,0.9990214034648931,1228233.0,-4303.348317992931,-4392.598317992931,-0.0472080617326112,-0.04818714109089114,-0.04813998532158288,2,4,96.0,stressed,9.034385224880042,,rebalance_rotation,Daily,1d
1999-04-19,17.718128204345703,XOM,momentum_relative_strength,1999-04-20,1999-04-21,17.637341797536372,17.368067692000555,17.642334915582115,17.364283870067972,relative_strength_leader_rotation,4920.0,24.6,24.6,2.330992392765703,1.6790832037174233,86853.75933354485,85436.54818961526,86824.88778466401,0.9996675843498039,86800.287784664,0.9993843496321732,386279.5,-1368.0111439295845,-1417.2111439295843,-0.01576044479625892,-0.016327263193475022,-0.016317211307884355,1,1,24.0,stressed,16.260149232731855,,rebalance_rotation,Daily,1d
1999-04-20,24.09993553161621,JNJ,momentum_relative_strength,1999-04-21,1999-04-27,24.099958079032803,25.33623702740977,24.107937752053267,25.33072270537895,relative_strength_leader_rotation,3542.0,17.71,17.71,2.811073402822977,1.6769303998781964,85436.54818961526,89732.23249429483,85408.02551777268,0.9996661537427837,85390.31551777267,0.9994588654057046,227499.5,4331.104304679567,4295.684304679567,0.05072125894391518,0.05030645780651187,0.0502792352418763,4,6,144.0,stressed,23.44051660164555,,rebalance_rotation,Daily,1d
1999-04-26,10.77967357635498,WMT,momentum_relative_strength,1999-04-27,1999-04-28,10.81935648720956,10.660638286292544,10.823094178260593,10.659532309710697,relative_strength_leader_rotation,8283.0,41.415,41.415,2.9546334206199147,0.5375470046090393,89732.23249429483,88294.61953709603,89689.10407853249,0.9995193653989932,89647.6890785325,0.9990578255615371,1397049.75,-1354.782957198793,-1437.6129571987929,-0.015112302069627093,-0.01603625226679771,-0.016021143319823187,1,1,24.0,stressed,9.326090899294059,,rebalance_rotation,Daily,1d
1999-04-27,25.524028778076172,JNJ,momentum_relative_strength,1999-04-28,1999-04-30,25.46143956759467,24.71027421951294,25.468829702038555,24.707387673818445,relative_strength_leader_rotation,3465.0,17.325,17.325,2.402480994551162,0.6682925498256327,88294.61953709603,85621.57290931336,88266.8199175636,0.9996851493366393,88249.4949175636,0.9994889312647927,237025.5,-2638.3966277826794,-2673.046627782679,-0.0298970167506033,-0.030289653558693442,-0.03027417346375933,2,2,48.0,stressed,23.292828183418237,,rebalance_rotation,Daily,1d
1999-04-29,18.20281219482422,XOM,momentum_relative_strength,1999-04-30,1999-05-04,18.148962969525225,18.660572887759923,18.15323216237651,18.655597013860202,relative_strength_leader_rotation,4714.0,23.57,23.57,1.8523067728192104,2.1672284441077836,85621.57290931336,87942.58081920748,85597.90641344288,0.9997235919048633,85574.33641344287,0.9994483108139053,451023.0,2368.147909894118,2321.007909894118,0.027673576087726526,0.027122709998946726,0.027107746693142726,2,4,96.0,stressed,16.70160988832985,,rebalance_rotation,Daily,1d
1999-05-03,0.3712600469589233,AAPL,momentum_relative_strength,1999-05-04,1999-05-11,0.3614290582152695,0.3361478107086043,0.36149443141982823,0.33606417780093617,relative_strength_leader_rotation,236726.0,1183.63,1183.63,1.308742354075012,1.9885992971750617,87942.58081920748,79555.31860102163,86758.76077229026,0.9865387161044215,85575.13077229026,0.9730795932429567,41591032.0,-6020.002218185842,-8387.262218185842,-0.070347566680379,-0.09801051009204755,-0.09537202729390433,5,7,168.0,stressed,0.3090216753798497,,rebalance_rotation,Daily,1d
1999-05-10,17.833215713500977,XOM,momentum_relative_strength,1999-05-11,1999-05-12,17.873794952906657,17.42729630903764,17.878702606402808,17.422046022569713,relative_strength_leader_rotation,4447.0,22.235,22.235,2.245725521121898,2.513587761809793,79555.31860102163,77480.09677271586,79528.82549067329,0.9996669850512295,79506.59049067329,0.9993874939953077,519338.0,-2030.7518283057711,-2075.2218283057714,-0.025541930747791198,-0.026101255449373223,-0.026085268273680472,1,1,24.0,stressed,16.144386988383246,,rebalance_rotation,Daily,1d
1999-05-11,0.3352115452289581,AAPL,momentum_relative_strength,1999-05-12,1999-05-18,0.3361476984372653,0.3356797386979062,0.3362488315659951,0.33561175459040443,relative_strength_leader_rotation,223769.0,1118.845,1118.845,2.5085920326088575,1.525677187163828,77480.09677271586,75099.84869496491,76360.90979069116,0.9855551679896868,75242.06479069116,0.9711147497841949,43332128.0,-142.55807775095042,-2380.2480777509504,-0.0018946592992565975,-0.03163453959394043,-0.03072076800230766,4,6,144.0,stressed,0.2872226372681699,,rebalance_rotation,Daily,1d
1999-05-17,18.83525848388672,CSCO,momentum_relative_strength,1999-05-18,1999-05-19,18.845365937773167,18.906032991792816,18.850802929324345,18.9012854677713,relative_strength_leader_rotation,3981.0,19.905,19.905,2.3850549090596136,2.0117466373456963,75099.84869496491,75261.00968052223,75064.95146164022,0.9995353221886447,75045.04646164022,0.9992702750501231,3056735.0,200.97098555732143,161.16098555732142,0.002678004678963709,0.00214752329642037,0.00214595619509053,1,1,24.0,stressed,16.245526809818113,,rebalance_rotation,Daily,1d
1999-05-18,0.338956743478775,AAPL,momentum_relative_strength,1999-05-19,1999-05-21,0.3408292328609129,0.3221026638041449,0.34088621220532866,0.3220490391174641,relative_strength_leader_rotation,214488.0,1072.44,1072.44,1.1717857191270782,1.165109351910176,75261.00968052223,69075.78209925233,74188.44188349653,0.9857486924294708,73116.00188349653,0.9714990829098479,36289680.0,-4040.3475812699,-6185.227581269901,-0.055259416231590634,-0.08459471828240114,-0.08218369123036966,2,2,48.0,stressed,0.27923639290224084,,rebalance_rotation,Daily,1d
1999-05-20,17.319055557250977,XOM,momentum_relative_strength,1999-05-21,1999-05-25,17.34612037335998,17.23786745495101,17.351826269081478,17.232893017261155,relative_strength_leader_rotation,3978.0,19.89,19.89,2.789436253572302,2.3865946564380938,69075.78209925233,68562.88562351109,69045.45489840613,0.999560957546559,69025.56489840613,0.9992730129240658,472801.0,-473.11647574124487,-512.8964757412449,-0.0068542209895361495,-0.007430529203145837,-0.007425127304447798,2,4,96.0,stressed,16.329616540301807,,rebalance_rotation,Daily,1d
1999-05-24,0.3141433000564575,AAPL,momentum_relative_strength,1999-05-25,1999-05-26,0.3113344586205687,0.3127390510160101,0.31141964972118946,0.3126405574398642,relative_strength_leader_rotation,213312.0,1066.56,1066.56,2.2363209648624167,2.6503774479044315,68562.88562351109,66690.19989079703,67496.10832132636,0.9844408925837435,66429.54832132637,0.9688849545525375,32224080.0,260.4342672859428,-1872.6857327140572,0.003920458197701363,-0.028190553451540708,-0.027313403099706896,1,1,24.0,stressed,0.25489595247324387,,rebalance_rotation,Daily,1d
1999-05-25,17.359642028808594,XOM,momentum_relative_strength,1999-05-26,1999-05-27,17.413766446320906,17.724960653863192,17.418709393493774,17.720704774551017,relative_strength_leader_rotation,3826.0,19.13,19.13,2.338528464306415,1.9016422407128493,66690.19989079703,67807.37421872203,66663.11213950718,0.9995938271090176,66643.98213950718,0.9993069783661538,493925.5,1155.4343279250095,1117.1743279250093,0.01733741428455334,0.016763318938331235,0.016751701595651907,1,1,24.0,stressed,15.976664572038786,,rebalance_rotation,Daily,1d
1999-05-26,0.330061137676239,AAPL,momentum_relative_strength,1999-05-27,1999-06-24,0.3235070321010602,0.3267841613373505,0.32360791795172045,0.32667737604510766,relative_strength_leader_rotation,203254.0,1016.27,1016.27,2.618505647466992,2.7688303529198004,67807.37421872203,66398.71385403536,66790.87375535899,0.9850089982826324,65774.60375535898,0.970021395360244,26581632.0,623.8796353133243,-1408.6603646866756,0.00948511430998159,-0.02141647815813569,-0.020774442026656972,19,28,672.0,stressed,0.31839890970533935,,rebalance_rotation,Daily,1d
1999-06-23,20.018150329589844,CSCO,momentum_relative_strength,1999-06-24,1999-06-30,20.038371685629564,20.17991898663407,20.04191912814589,20.177710086895306,relative_strength_leader_rotation,3311.0,16.555,16.555,1.270324740940882,0.5947227060206518,66398.71385403536,66815.20771845468,66375.34923329102,0.999648116365692,66358.79423329103,0.9993987892471519,2556000.5,449.60386441932206,416.49386441932205,0.006775347105293901,0.006276392891575092,0.006272619456679578,4,6,144.0,neutral,17.93802945060966,,rebalance_rotation,Daily,1d
1999-06-29,0.3398928940296173,AAPL,momentum_relative_strength,1999-06-30,1999-07-29,0.3422335215347867,0.3998193164087766,0.34232397451463537,0.3997610019105572,relative_strength_leader_rotation,189641.0,948.205,948.205,2.1430192882042336,0.9587340421084483,66815.20771845468,75811.2130308447,65866.86585092996,0.9858064967556363,64918.66085092996,0.9716150419599626,15285816.0,10892.41531239001,8996.00531239001,0.16778558229045748,0.1385734886467724,0.13464008598607216,20,29,696.0,neutral,0.3631424892589449,,rebalance_rotation,Daily,1d
1999-07-28,27.42591667175293,MSFT,momentum_relative_strength,1999-07-29,1999-07-30,27.025969211186204,26.702178357729316,27.034215688081407,26.698291531316375,relative_strength_leader_rotation,2803.0,14.015,14.015,2.55131587724438,0.9558333848382543,75811.2130308447,74841.5876194323,75790.92157369218,0.999732342270473,75776.90657369218,0.999547475158608,2733039.5,-941.5954114123833,-969.6254114123833,-0.012425888756711023,-0.012795790370110104,-0.012789999957102383,1,1,24.0,stressed,24.44196148637528,,rebalance_rotation,Daily,1d
1999-07-29,0.403564453125,AAPL,momentum_relative_strength,1999-07-30,1999-08-05,0.4082458609244916,0.4007555143184485,0.40836253761514835,0.40069120592664653,relative_strength_leader_rotation,178891.0,894.455,894.455,2.3580005781947992,1.1049364411007263,74841.5876194323,71680.34542234453,73946.83771651151,0.9880447498325319,73052.3827165115,0.976093440026702,27708604.0,-1372.332197087778,-3161.242197087778,-0.018785591188904504,-0.043273635705427374,-0.042239111938172924,4,6,144.0,stressed,0.3552272422894429,,rebalance_rotation,Daily,1d
