signal_date,signal_close,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,regime_at_entry
1999-04-06,3.9380905628204346,1999-04-07,1999-04-19,3.957159973318544,3.966695329996221,3.957920251692382,3.9656672858762168,25233,126.165,126.165,1.4212727788725275,2.0923609972668897,100000.0,99943.1509135607,99996.36671095387,0.9999636671095387,99870.20171095387,0.9987020171095388,109066,195.48091356069847,-56.849086439301544,0.0019573497420828567,-0.0005692297148235986,-0.0005684908643930154,8,neutral
1999-04-21,3.8522720336914062,1999-04-22,1999-05-03,3.9476259134723737,3.652031113055473,3.948176128355815,3.6513530322732435,25281,126.405,126.405,0.8937867860369506,1.357067164516345,99943.1509135607,92186.35622149722,99940.24570096335,0.9999709313487638,99813.84070096335,0.9987061623391362,147840,-7503.98469206349,-7756.7946920634895,-0.07517980111140103,-0.07771261618218268,-0.07761206867264193,7,calm
1999-06-02,4.157403469085693,1999-06-03,1999-07-12,4.195543337788557,4.882087310795893,4.196812488713956,4.8808278057105285,21939,109.69500000000001,109.69500000000001,2.524997773156229,2.0805153049881175,92186.35622149722,106973.57826108503,92183.5641898955,0.9999697131797354,92073.86918989549,0.9987797865518032,166211,15006.612039587806,14787.222039587807,0.16298448378049357,0.16060172304793952,0.16040575466567283,26,calm
1999-08-10,4.882086753845215,1999-08-11,1999-08-26,4.977440808589113,5.430273056030273,4.978735278540479,5.42941243458814,21464,107.32000000000001,107.32000000000001,2.1006737219898035,1.085109719517674,106973.57826108503,116432.27273849203,106970.89401859285,0.9999749074254053,106863.57401859284,0.9989716690393986,134937,9673.334477406992,9458.694477406993,0.09052040946828112,0.08851186725011935,0.08842084775664541,11,neutral
1999-09-29,5.8173112869262695,1999-09-30,1999-10-04,5.770399345628621,5.711756426676445,5.772162802718258,5.710470797261359,20153,100.765,100.765,2.5560399445711504,1.7513545042592753,116432.27273849203,114987.46375251915,116427.16196318105,0.999956105165769,116326.39696318105,0.9990906664207373,128752,-1243.2789859728814,-1444.8089859728816,-0.010687849176368771,-0.012420302043999387,-0.012409007846286194,2,neutral
2000-04-26,9.101279258728027,2000-04-27,2000-05-26,8.725966494730905,7.956582664947108,8.728816385750376,7.955364221139393,13165,65.825,65.825,2.765988955138247,1.031600281074425,114987.46375251915,104673.31600541556,114980.69271840369,0.999941115023373,114914.8677184037,0.9993686613153613,224632,-10182.497747103584,-10314.147747103585,-0.08860905424401276,-0.08975468494101366,-0.08969801933628284,21,stressed
2000-06-06,8.707202911376953,2000-06-07,2000-07-17,8.692189703931785,8.797276994662699,8.695013053982583,8.794575168021078,12031,60.155,60.155,2.7481459183088677,2.572151400156581,104673.31600541556,105750.8377994127,104669.85705246446,0.9999669547781316,104609.70205246446,0.9993922619882626,162226,1197.831793997131,1077.521793997131,0.011450484711221025,0.010300400181397381,0.010294140236671039,27,stressed
2000-08-09,7.205961227416992,2000-08-10,2000-09-18,7.266011205380714,6.590452361140722,7.2668699727497446,6.588944170915464,14542,72.71000000000001,72.71000000000001,0.6818965657460891,1.78897101893221,105750.8377994127,95747.02078913858,105747.53314372679,0.9999687505484148,105674.82314372678,0.9992811909837528,161128,-9858.397010274111,-10003.81701027411,-0.09328993148032858,-0.09466603976869746,-0.0945979929657793,26,neutral
2000-10-23,5.389458656311035,2000-10-24,2000-11-22,5.644670098478723,4.443674332248538,5.646106618521889,4.442948882381825,16943,84.715,84.715,2.044914083737439,1.1328116436131839,95747.02078913858,75192.48926571746,95746.69943761636,0.9999966437439038,95661.98443761637,0.9991118642562311,362160,-20385.10152342111,-20554.531523421112,-0.2130951144622633,-0.2148662464432279,-0.21467541604963225,21,stressed
2000-12-08,4.758936882019043,2000-12-11,2001-03-01,4.75893683060831,4.323575794803068,4.760069405299797,4.323095619973804,15779,78.895,78.895,1.879890155720616,0.6107198902672892,75192.48926571746,68139.68990705862,75188.0301462255,0.9999406972752797,75109.1351462255,0.9988914568422199,176341,-6895.009358658839,-7052.79935865884,-0.09179987687563379,-0.0939006865799768,-0.09379659361635771,54,stressed
2001-03-16,4.753532409667969,2001-03-19,2001-03-29,4.695883653525716,4.700688540040705,4.6965163107430525,4.699461309786438,14493,72.465,72.465,0.8472591401660352,2.1114275091744745,68139.68990705862,68037.4417781944,68139.07589159906,0.9999909888721185,68066.61089159906,0.9989275117694366,163781,42.68187113578153,-102.24812886421847,0.0006270603248302675,-0.0015021774630009995,-0.0015005663953517132,8,stressed
2001-04-02,4.215487003326416,2001-04-03,2001-04-24,4.2226932026707855,4.85201358795166,4.223317115240517,4.850326438678631,16090,80.45,80.45,0.9775228504344226,2.97842417280416,68037.4417781944,77965.12179231366,68033.62238421993,0.9999438633511981,67953.17238421993,0.9987614261828186,175952,10088.58001411925,9927.680014119249,0.14846370905358966,0.14609590201302586,0.14591495145399502,14,stressed
2001-05-07,5.464522361755371,2001-05-08,2001-05-30,5.51256059614442,4.731913303739114,5.513872852784692,4.731399030009951,14127,70.635,70.635,1.8804847445845136,0.5869379773318252,77965.12179231366,66769.84409797488,77965.11679128934,0.9999999358556211,77894.48179128935,0.9990939538167787,329324,-11054.007694338768,-11195.277694338769,-0.14191002289426488,-0.1437236301839124,-0.14359340993734557,15,stressed
2001-08-02,5.7133660316467285,2001-08-03,2001-08-16,5.548590866846289,5.2123129966849975,5.549517696272004,5.211209581122874,12020,60.1,60.1,1.170387036919677,1.6173885735107645,66769.84409797488,62583.18055388233,66765.30270918949,0.999931984433291,66705.20270918949,0.9990318774941193,324233,-4066.4635440925513,-4186.663544092552,-0.06096171481287387,-0.06276367320769398,-0.06270291028310987,9,neutral
2001-10-16,3.904189586639404,2001-10-17,2001-12-24,4.0521517489080505,5.414080082358655,4.053166589545036,5.412889655802265,15421,77.105,77.105,2.0044487469129963,1.699244086038159,62583.18055388233,83397.25995863506,62580.986977374,0.9999649494242875,62503.881977373996,0.9987329091329888,333932,20968.289404752726,20814.079404752727,0.3354717937734349,0.3330045870156879,0.3325826399448075,47,stressed
