agent,outer_run,seed_used,actual_cumulative_return,annualized_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,RCSI,RCSI_z,significant_run,outperform_null_median,lower_5pct,upper_95pct,number_of_trades,transaction_cost,simulations_per_run,null_model,robustness_scope,research_grade
trend_pullback,1,101,-0.42125012537135503,-0.24692706719056645,-29.70081982855527,-2.7698160363781317,-0.42125012537138307,-0.38238410092958275,-0.38290701072457173,0.003625346997325036,0.398406374501992,1.0,-0.0,-0.038343114646783305,-10.57639852821669,0,0,-0.3885288954560541,-0.37750118422804285,1032,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
breakout_volume_momentum,1,101,-0.02221380592941295,-0.012298198647114832,-3.237991377553108,-1.4560176196759615,-0.022466983345142078,-0.01957447851171664,-0.019538673396633045,0.001145419852334716,0.796812749003984,0.9960159362549801,0.0017337128090005281,-0.0026751325327799037,-2.3355039004493987,0,0,-0.021346559672314767,-0.01757624685934283,42,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
mean_reversion_vol_filter,1,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,0.0,0.0,0,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
momentum_relative_strength,1,101,0.18176484530275722,0.08909795355086157,0.4402580857440267,0.03232681435947363,-0.5972058349877867,0.5516687480937053,1.213844989072548,2.404555828449111,37.45019920318725,0.6294820717131474,0.20101663452661553,-1.0320801437697908,-0.42921862389673077,0,0,-0.6135014390593861,5.9356341259591066,376,0.00047,250,structure_preserving_random_timing_shared_calendar,monte_carlo_seed_stability_only,False
random,1,101,-0.16433406159223413,-0.08778626790389005,-10.18085825881564,-2.503880918134517,-0.16433406159223396,-0.1573125493072483,-0.15714711692670752,0.003044960653144745,0.796812749003984,0.9960159362549801,0.0017337128090005281,-0.007186944665526607,-2.360275052521333,0,0,-0.16205228451525144,-0.15197098576310275,369,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
trend_pullback,2,102,-0.42125012537135503,-0.24692706719056645,-29.70081982855527,-2.7698160363781317,-0.42125012537138307,-0.38258507824753174,-0.3824891533730182,0.003773257795398097,0.398406374501992,1.0,-0.0,-0.038760971998336835,-10.272548047369067,0,0,-0.3880893573426297,-0.37636446207764035,1032,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
breakout_volume_momentum,2,102,-0.02221380592941295,-0.012298198647114832,-3.237991377553108,-1.4560176196759615,-0.022466983345142078,-0.01935895518262161,-0.019398712514176387,0.0011894396716569853,1.1952191235059761,0.9920318725099602,0.003474374385301795,-0.0028150934152365616,-2.3667391313044988,0,0,-0.02148853006329231,-0.017443776945288966,42,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
mean_reversion_vol_filter,2,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,0.0,0.0,0,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
momentum_relative_strength,2,102,0.18176484530275722,0.08909795355086157,0.4402580857440267,0.03232681435947363,-0.5972058349877867,0.5093906947186844,1.1443582314049325,2.401305386446939,38.24701195219124,0.6215139442231076,0.20654912312657653,-0.9625933861021754,-0.4008625439875702,0,0,-0.5262777582636144,5.020289617921983,376,0.00047,250,structure_preserving_random_timing_shared_calendar,monte_carlo_seed_stability_only,False
random,2,102,-0.17076409282228397,-0.09178439546519944,-10.34862028986855,-2.303619499483231,-0.17076409282228355,-0.1625690754289571,-0.1624262001001166,0.0030850422753543943,0.796812749003984,0.9960159362549801,0.0017337128090005281,-0.008337892722167367,-2.702683457136597,0,0,-0.1672645968688742,-0.15707672910633125,383,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
trend_pullback,3,103,-0.42125012537135503,-0.24692706719056645,-29.70081982855527,-2.7698160363781317,-0.42125012537138307,-0.38308613473177944,-0.3827490969608691,0.0039790384635533214,0.398406374501992,1.0,-0.0,-0.038501028410485916,-9.675962864682667,0,0,-0.3891114366933436,-0.3760288899708289,1032,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
breakout_volume_momentum,3,103,-0.02221380592941295,-0.012298198647114832,-3.237991377553108,-1.4560176196759615,-0.022466983345142078,-0.019444684177464325,-0.019507328227866022,0.001194681357655468,2.3904382470119523,0.9800796812749004,0.008738614377659005,-0.002706477701546927,-2.2654389676409794,0,0,-0.021626080706154696,-0.017727283387671138,42,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
mean_reversion_vol_filter,3,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,0.0,0.0,0,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
momentum_relative_strength,3,103,0.18176484530275722,0.08909795355086157,0.4402580857440267,0.03232681435947363,-0.5972058349877867,0.46481913389474594,0.97870044359594,1.6585427627495961,39.04382470119522,0.6135458167330677,0.21215300064457507,-0.7969355982931827,-0.48050349752332716,0,0,-0.4936994192918958,4.366054559378744,376,0.00047,250,structure_preserving_random_timing_shared_calendar,monte_carlo_seed_stability_only,False
random,3,103,-0.1692735856430775,-0.09068133923850102,-10.673513375864815,-2.3926902384047954,-0.16927358564307726,-0.1641368385873384,-0.16404819967906456,0.0030935744789874157,2.788844621513944,0.9760956175298805,0.010507637116505663,-0.005225385964012952,-1.6891094749796738,0,0,-0.16853262325452595,-0.15868571715874605,386,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
trend_pullback,4,104,-0.42125012537135503,-0.24692706719056645,-29.70081982855527,-2.7698160363781317,-0.42125012537138307,-0.38215956096947024,-0.38227810647364835,0.0035888458181429486,0.398406374501992,1.0,-0.0,-0.038972018897706684,-10.859206795869762,0,0,-0.3890145253644332,-0.3768122430707525,1032,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
breakout_volume_momentum,4,104,-0.02221380592941295,-0.012298198647114832,-3.237991377553108,-1.4560176196759615,-0.022466983345142078,-0.019578239692276546,-0.019483091980886207,0.0012340168953465743,1.1952191235059761,0.9920318725099602,0.003474374385301795,-0.0027307139485267425,-2.2128659330550087,0,0,-0.02133160741617565,-0.01750151771360685,42,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
mean_reversion_vol_filter,4,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,0.0,0.0,0,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
momentum_relative_strength,4,104,0.18176484530275722,0.08909795355086157,0.4402580857440267,0.03232681435947363,-0.5972058349877867,0.5681684930609827,1.3197914167950544,2.794700040483297,36.65338645418327,0.6374501992031872,0.19555373882511337,-1.1380265714922972,-0.4072088435277993,0,0,-0.5729687919912121,5.009063770295933,376,0.00047,250,structure_preserving_random_timing_shared_calendar,monte_carlo_seed_stability_only,False
random,4,104,-0.1768839917750356,-0.0945972386906237,-10.965264004936628,-2.57319385446493,-0.17688399177503566,-0.16668554678597525,-0.16666618586258944,0.002851793645001048,0.796812749003984,0.9960159362549801,0.0017337128090005281,-0.01021780591244617,-3.582940136765196,0,0,-0.17151163190801655,-0.16211754186256985,389,0.00047,250,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
