signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,entry_reason,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,holding_period_hours,regime_at_entry,stop_loss_used,take_profit_used,exit_reason,timeframe_label,data_interval
2011-12-28,89.04689025878906,VOO,random,2011-12-29,2012-01-24,89.29618879309504,93.23822570990156,89.32623598336268,93.20820169406814,random_timing_entry,1119.0,5.595,5.595,2.8648905595797762,2.7211774594638163,100000.0,104332.72963027941,99961.65306538284,0.9996165306538284,99956.05806538284,0.9995605806538284,19567.5,4343.919630279408,4332.7296302794075,0.043458292717365676,0.04334634352472464,0.043327296302794076,16,26,624.0,calm,,,random_time_exit,Daily,1d
2012-02-09,96.40127563476562,VOO,random,2012-02-10,2012-02-28,95.57542377684776,97.80355655665063,95.60405077258301,97.77112543367231,random_timing_entry,1091.0,5.455,5.455,2.495225613865969,2.817045071792015,104332.72963027941,106686.09808552785,104309.47439288806,0.9997771050611466,104304.01939288806,0.9997248204135645,10077.125,2364.2784552484286,2353.3684552484287,0.02266718453430603,0.022562586455885825,0.022556377692675978,11,18,432.0,calm,,,random_time_exit,Daily,1d
2012-03-14,99.75122833251952,VOO,random,2012-03-15,2012-04-04,99.8914492425003,100.36830152250236,99.91361927244846,100.34572447371646,random_timing_entry,1067.0,5.335,5.335,1.7194121835517526,1.749926332617537,106686.09808552785,107136.48433528081,106613.16676370251,0.9993163933901972,106607.8317637025,0.9992663868748616,15947.875,461.05624975295746,450.3862497529575,0.004324787795843123,0.004224701340434761,0.004221602044081629,14,20,480.0,calm,,,random_time_exit,Daily,1d
2012-04-26,100.3370361328125,VOO,random,2012-04-27,2012-05-17,100.68132934005996,95.14092911008784,100.70595106445695,95.11152473113198,random_timing_entry,1063.0,5.315,5.315,1.94551045942634,2.591568454924863,107136.48433528081,101178.97914295636,107055.74098151774,0.9992463505381567,107050.42598151774,0.9991967409207329,30177.25,-5946.875192324448,-5957.505192324447,-0.05555209274320101,-0.055651391740869964,-0.05560668925518026,14,20,480.0,neutral,,,random_time_exit,Daily,1d
2012-06-26,94.97885131835938,VOO,random,2012-06-27,2012-07-06,95.30924360318876,97.5275912075306,95.32652269652229,97.49718935888035,random_timing_entry,1061.0,5.305,5.305,1.3129504212066716,2.618228212545097,101178.97914295636,103471.44647171826,101146.74558101014,0.9996814203679533,101141.44058101015,0.9996289885284059,20039.0,2303.0773287619004,2292.4673287619007,0.022770857479701704,0.022665954880539085,0.02265754555126377,6,9,216.0,neutral,,,random_time_exit,Daily,1d
2012-07-06,97.55905151367188,VOO,random,2012-07-09,2012-07-27,97.49612963999576,98.53447102102425,97.51251604528376,98.51072322397347,random_timing_entry,1061.0,5.305,5.305,1.1807236706233735,1.9106814236627256,103471.44647171826,104519.93428830804,103466.08452404606,0.9999481794460691,103460.77952404607,0.9998969092630293,18008.375,1059.0978165897832,1048.487816589783,0.010236708262415814,0.010134157324284382,0.010133112586537246,14,18,432.0,neutral,,,random_time_exit,Daily,1d
2012-08-15,101.46076965332033,VOO,random,2012-08-16,2012-09-07,101.58666403390612,103.6790981955609,101.60880327121109,103.64936545235979,random_timing_entry,1028.0,5.14,5.14,1.679344849594355,2.368589023322928,104519.93428830804,106607.3522105289,104458.989762805,0.9994169100285221,104453.849762805,0.9993677328066362,22881.75,2097.6979222208647,2087.417922220865,0.020082533357883323,0.019984116688480106,0.019971481387109625,15,22,528.0,calm,,,random_time_exit,Daily,1d
2012-09-17,105.69290161132812,VOO,random,2012-09-18,2012-10-08,105.51983869096476,105.41359012607136,105.54886443603645,105.38036009466232,random_timing_entry,1009.0,5.045,5.045,2.2507381959420436,2.6533419869870847,106607.3522105289,106427.2413300824,106503.84921596078,0.9990291195454915,106498.80421596079,0.9989817963553419,17386.25,-170.02088044649835,-180.11088044649833,-0.0015964581170482067,-0.0016912009648602743,-0.0016894789778740041,14,20,480.0,calm,,,random_time_exit,Daily,1d
2012-11-15,98.15513610839844,VOO,random,2012-11-16,2012-12-07,98.39233471529678,103.21551196065656,98.42093749406662,103.19213208662097,random_timing_entry,1081.0,5.405,5.405,2.407012914431028,1.7656644031697706,106427.2413300824,111574.09268463365,106398.43843108602,0.9997293653519869,106393.03343108602,0.9996785794823876,24572.25,5157.661354551255,5146.851354551255,0.04847743492427093,0.04837583052733454,0.04836028154284651,14,21,504.0,neutral,,,random_time_exit,Daily,1d
2012-12-19,104.44893646240234,VOO,random,2012-12-20,2013-01-08,104.54380071596256,106.26702406926724,104.567989071045,106.24649487632338,random_timing_entry,1066.0,5.33,5.33,1.8137053480727872,1.432223078771749,111574.09268463365,113352.7198730604,111474.80634973398,0.9991101309227733,111469.47634973397,0.9990623599763847,19750.625,1789.2871884267497,1778.6271884267499,0.016051812989709265,0.01595618142895308,0.015941220274621228,11,19,456.0,calm,,,random_time_exit,Daily,1d
2013-01-09,106.45817565917967,VOO,random,2013-01-10,2013-02-01,107.0474847849918,109.88255248436006,107.06557687921376,109.85621721575352,random_timing_entry,1058.0,5.29,5.29,1.1900998896244843,1.897248810672391,113352.7198730604,116294.63734911945,113280.67033820816,0.9993643775382459,113275.38033820817,0.999317709050662,40878.625,2952.497476059058,2941.917476059058,0.026064776540531027,0.025971375838909804,0.02595365580423306,15,22,528.0,neutral,,,random_time_exit,Daily,1d
2013-03-13,113.68917083740234,VOO,random,2013-03-14,2013-03-25,114.0236371275376,114.30807808293352,114.03932166840609,114.29373064796486,random_timing_entry,1019.0,5.095,5.095,0.875551706963039,0.7553125081598462,116294.63734911945,116543.69009928984,116211.16378010581,0.9992822234032765,116206.06878010581,0.9992384122687639,46607.0,259.2427501703919,249.0527501703919,0.002230888222033836,0.002143199170102458,0.002141566935908912,7,11,264.0,calm,,,random_time_exit,Daily,1d
2013-04-04,114.1800308227539,VOO,random,2013-04-05,2013-04-22,112.81980447838052,114.1320158272267,112.83215166388378,114.1198997055328,random_timing_entry,1032.0,5.16,5.16,0.5944164954328675,0.5617010464574073,116543.69009928984,117862.32607827164,116447.94051712807,0.999178423284176,116442.78051712806,0.9991341480428858,33200.0,1328.9559789817931,1318.635978981793,0.011412952980681455,0.011324325760048552,0.011314520570426215,11,17,408.0,calm,,,random_time_exit,Daily,1d
2013-05-13,119.78102111816406,VOO,random,2013-05-14,2013-05-21,119.97307219574272,122.46949792248212,120.0010074072829,122.43157787803811,random_timing_entry,982.0,4.91,4.91,1.8284567969222074,2.5972437912851416,117862.32607827164,120239.32628055326,117845.89927395181,0.9998606271837116,117840.98927395181,0.9998189684097558,39726.875,2386.82020228162,2377.00020228162,0.020254583884499137,0.020171251250748323,0.020167599617057184,5,7,168.0,calm,,,random_time_exit,Daily,1d
2013-06-05,118.18075561523438,VOO,random,2013-06-06,2013-06-20,118.1487661984862,118.59681833152034,118.16108146616646,118.56490528279078,random_timing_entry,1017.0,5.085,5.085,0.5423526268207539,2.1916100218229833,120239.32628055326,120639.84510206018,120174.9048510913,0.9994642232998574,120169.81985109129,0.999421932643736,37366.75,410.6888215069237,400.51882150692376,0.0034175704183948157,0.0033329401841762562,0.0033310135202554033,10,14,336.0,calm,,,random_time_exit,Daily,1d
