signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,regime_at_entry,stop_loss_used,take_profit_used,exit_reason
2001-06-15,6.565097332000732,XLU,mean_reversion_vol_filter,2001-06-18,2001-06-22,6.605567107015347,6.4436784198686,6.607672122765114,6.4427553555334685,3920,19.6,19.6,2.68672979270796,0.9327167247441912,100000.0,99314.32627245194,25921.674721239244,0.25921674721239246,25902.074721239245,0.25902074721239243,3920,-646.473727548049,-685.6737275480491,-0.024958376288597144,-0.02647176857172019,-0.006856737275480491,4,4,calm,6.470526484069616,6.865357518196106,stop_loss
2001-07-23,6.443676471710205,XLU,mean_reversion_vol_filter,2001-07-24,2001-07-25,6.46498108307876,6.262615777114328,6.466861734216851,6.261533795521626,2811,14.055,14.055,2.408981656596259,1.2279817182744333,99314.32627245194,98709.03943677967,18192.40333488357,0.18318005083149644,18178.34833488357,0.18303853046351404,2811,-577.1768356722754,-605.2868356722753,-0.03175078533205873,-0.03329713043900433,-0.006094657824207294,1,1,calm,6.356992753541334,6.676609301567078,stop_loss
2001-09-27,6.139144420623779,XLU,mean_reversion_vol_filter,2001-09-28,2001-10-03,6.190666447714806,6.428935257327047,6.192191094789092,6.428037395956701,12241,61.205,61.205,1.962815735855251,0.8967892764765052,98709.03943677967,101473.62400937236,75859.81619131328,0.7685194448670462,75798.61119131328,0.7678993902059004,12241,2886.9945725926973,2764.5845725926974,0.038087697481765395,0.03647276024114709,0.028007410348302855,3,3,calm,6.070690910553529,6.355509352684021,take_profit
2001-11-29,5.900881290435791,XLU,mean_reversion_vol_filter,2001-11-30,2001-12-12,5.913757802128992,5.836482114375941,5.915378856759858,5.834452608252951,16632,83.16,83.16,2.241158304255027,2.978485916774973,101473.62400937236,99961.33864420548,98467.74114562996,0.9703776927936981,98384.58114562996,0.9695581694859238,16632,-1345.9653651668827,-1512.285365166883,-0.013680653507835436,-0.015371162305690779,-0.014903235987976583,8,8,calm,5.833509442232168,6.0568273067474365,stop_loss
2001-12-14,5.827895164489746,XLU,mean_reversion_vol_filter,2001-12-17,2001-12-20,5.838630470650159,5.984592951421168,5.839679408917907,5.982631176943885,14803,74.015,74.015,1.2965484765999622,2.779116527931013,99961.33864420548,101929.42366629402,86518.78929021177,0.8655225156413716,86444.77429021178,0.8647820793786736,14803,2116.115022088552,1968.0850220885518,0.024479386284060916,0.02276696351223396,0.019688462047248074,3,3,calm,5.700487508977495,5.958514833450318,take_profit
2002-01-22,5.851408958435059,XLU,mean_reversion_vol_filter,2002-01-23,2002-01-30,5.862225775219939,5.7756986373112085,5.863466359793069,5.775025165031424,7478,37.39,37.39,1.6162347215862731,0.6661806841335084,101929.42366629402,101193.28041186645,43884.39143853257,0.4305370310167293,43847.00143853257,0.4301702085757194,7478,-661.3632544275782,-736.1432544275782,-0.015083431767956082,-0.01678890757124063,-0.007222087871679056,5,5,calm,5.833560315549347,6.053775787353516,stop_loss
2002-04-26,5.737398147583008,XLU,mean_reversion_vol_filter,2002-04-29,2002-05-22,5.757023967287339,5.759207410096237,5.757876245128957,5.757726035185815,7220,36.1,36.1,0.980413919518726,2.072847164607519,101193.28041186645,101119.99589607697,41607.966489831066,0.4111732154593923,41571.86648983107,0.41081647240438834,7220,-1.0845157894825874,-73.28451578948258,-2.6087733870401798e-05,-0.0017628391981728503,-0.0007242033808095509,17,17,neutral,5.516031869346842,5.953504729270935,mean_reversion_complete
2003-02-07,4.036732196807861,XLU,mean_reversion_vol_filter,2003-02-10,2003-02-12,4.057028078166518,3.99163123208219,4.057661081752341,3.990258406327861,24890,124.45,124.45,1.0602642467050765,2.9404432358359878,101119.99589607697,99193.44330476166,101119.63432481578,0.9999964243346927,100995.18432481578,0.9987657083037319,52354,-1677.6525913153148,-1926.5525913153149,-0.016611213718069274,-0.01907568765971287,-0.01905214269683388,2,2,stressed,3.9967915446348963,4.298556494712829,stop_loss
2003-11-18,4.9309234619140625,XLU,mean_reversion_vol_filter,2003-11-19,2003-11-20,4.933242562421452,5.01905830659905,4.934646963315437,5.018214945799891,20081,100.405,100.405,2.3468109488105005,1.180599193674377,99193.44330476166,100670.76196103198,99193.0506703373,0.9999960417300652,99092.6456703373,0.9989838276496292,48954,1678.1286562703244,1477.3186562703245,0.0169349465332992,0.01490845911194144,0.014893309548005251,1,1,calm,4.91791815390717,5.076461625099182,take_profit
2006-03-09,7.885771751403809,XLU,mean_reversion_vol_filter,2006-03-10,2006-03-15,7.865751193114386,8.01090351529308,7.867568051905802,8.008612906028628,12787,63.935,63.935,1.8098350644576722,2.360182270425919,100670.76196103198,102346.43251070056,100666.52767971948,0.9999579393139575,100602.59267971948,0.9993228492564814,281236,1803.5405496685728,1675.670549668573,0.017927376438600963,0.016656335637425097,0.01664505678736392,3,3,calm,7.7612227209124205,8.032928514480592,take_profit
