candidate_id,candidate_name,candidate_family,is_control,ticker,split,split_start,split_end,split_rows,signal_count,rejected_signal_count,trade_count,average_holding_bars,actual_cumulative_return,mean_simulated_return,median_simulated_return,std_simulated_return,RCSI,RCSI_z,p_value,percentile,classification_raw,classification_raw_label,simulation_count,research_grade,null_model,seed,bh_adjusted_p_value_by_ticker_split,bh_adjusted_p_value_by_split_global,classification_bh_by_ticker_split,classification_bh_by_ticker_split_label,classification_bh_by_split_global,classification_bh_by_split_global_label
cand_bb_squeeze_breakout,Bollinger Squeeze Breakout,breakout,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,6,0,6,8.333333333333334,0.0841338881161454,0.0325786228106789,0.04118312318367476,0.16044622355502505,0.0515552653054665,0.32132426780232454,0.3690773067331671,63.34164588528678,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20342481,0.6589775561097256,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_breakout_20_volume,20-Day Breakout + Volume Confirmation,breakout,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,20,0,20,10.85,-0.049872638361308126,0.2968522365815873,0.23912634511992142,0.40525668696345424,-0.34672487494289544,-0.8555685472851009,0.8054862842892768,19.70074812967581,negative_skill,Negative Skill,400,False,structure_preserving_random_timing,20336777,0.9805919982652066,0.9594124923910695,negative_skill,Negative Skill,negative_skill,Negative Skill
cand_donchian_55_breakout,Donchian 55-Day Breakout,breakout,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,10,0,10,13.7,0.4481081719887446,0.05796925670918712,0.018739109925127652,0.2808709028645636,0.39013891527955746,1.3890328663474374,0.09725685785536159,90.52369077306733,weak_skill,Weak Skill,400,False,structure_preserving_random_timing,20344626,0.5966900929494445,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
control_existing_validation,Control: Existing Validation Strategy,control,True,BTC-USD,holdout,2024-02-13,2026-04-02,780,8,0,8,17.75,0.562825898192182,0.12171277134128317,0.07047123564099683,0.3163970070347587,0.4411131268508988,1.3941760416287348,0.09226932668329177,91.02244389027432,weak_skill,Weak Skill,400,False,structure_preserving_random_timing,20355457,0.5966900929494445,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
control_random_baseline,Control: Random Baseline,control,True,BTC-USD,holdout,2024-02-13,2026-04-02,780,23,0,23,12.956521739130435,0.20373992879198963,0.23737710519294886,0.19122940744837771,0.40578973188536255,-0.03363717640095923,-0.08289311867177035,0.486284289276808,51.6209476309227,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20337956,0.771958991410363,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
existing_breakout_volume_momentum,Existing Strategy: Breakout + Volume + Momentum,existing_production,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,19,0,19,8.736842105263158,-0.021158561255641032,0.16829609893745726,0.12760071260544484,0.3045952672489397,-0.18945466019309828,-0.6219881940524726,0.7082294264339152,29.42643391521197,negative_skill,Negative Skill,400,False,structure_preserving_random_timing,20384963,0.9013829063704375,0.9594124923910695,negative_skill,Negative Skill,negative_skill,Negative Skill
existing_connors_rsi2_pullback,Existing Strategy: Connors RSI(2) Pullback,existing_production,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,14,0,14,2.5,0.1620321460681587,0.022561632247696205,0.007311237227722858,0.1319348991650867,0.1394705138204625,1.0571161588257758,0.15211970074812967,85.03740648379052,weak_skill,Weak Skill,400,False,structure_preserving_random_timing,20367833,0.5966900929494445,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
existing_donchian_trend_reentry,Existing Strategy: Donchian Trend Reentry,existing_production,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,5,0,5,13.2,0.20934344623719423,0.04860885629757629,0.02451418686756543,0.2310664361544129,0.16073458993961792,0.6956206734941163,0.20698254364089774,79.55112219451371,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20374268,0.5966900929494445,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
existing_mean_reversion_vol_filter,Existing Strategy: Mean Reversion + Volatility Filter,existing_production,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,no_trades,No Trades,400,False,structure_preserving_random_timing,20389380,1.0,1.0,no_trades,No Trades,no_trades,No Trades
existing_momentum_relative_strength,Existing Strategy: Momentum + Relative Strength,existing_production,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,76,0,76,6.671052631578948,0.03784089638486186,2.9026278553551355,0.6021042151989571,8.471298204345182,-2.8647869589702735,-0.3381756715282244,0.6608478802992519,34.1645885286783,random_luck,Random / Luck,400,False,structure_preserving_random_timing_shared_calendar,20395108,0.8811305070656692,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
