Date,Open,High,Low,Close,Volume,data_interval,download_interval,timeframe_label,data_source,source_period_requested,downloaded_at_utc
1999-03-10,43.12705957232957,43.15342085568674,42.41530492168599,43.074337005615234,5232000,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-03-11,43.39068533819573,43.64111760472845,42.441678854492785,43.285240173339844,9688600,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-03-12,43.12707699550671,43.153438289513744,41.888096177176145,42.23079299926758,8743600,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-03-15,42.54712877921688,43.49613536908789,42.098986778444456,43.44341278076172,6369000,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-03-16,43.62791763746351,43.99697555101305,43.15341460575696,43.81244659423828,4905800,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-03-17,43.81245971679687,43.86518229166666,43.36431783040364,43.496124267578125,3965000,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-03-18,43.44341101175823,44.3660562698963,43.430230365213404,44.33969497680664,4848400,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-03-19,44.919633736182746,44.919633736182746,43.17978876752778,43.20615005493164,7160400,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-03-22,43.390675446367176,43.49612058718459,42.599836890236546,42.67892074584961,5024800,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-03-23,42.441664486932694,42.59983218067281,41.097239090141656,41.17632293701172,10962400,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-03-24,41.54540711394036,42.599859071146966,40.91273593961639,42.5734977722168,8447000,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-03-25,43.23250436725867,44.128787994384766,42.949120573387916,44.128787994384766,8133800,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-03-26,43.759722916976266,44.260587215423584,43.469748849454135,43.65427780151367,8256200,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-03-29,44.18152549050071,45.26233846491033,43.91791256991299,45.23597717285156,5113800,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-03-30,45.183248658695135,45.55230669908121,44.73510675251204,44.91963577270508,4940600,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-03-31,45.657749260089595,45.71047183429293,44.128794608192834,44.26060104370117,8256600,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
1999-04-01,45.552304636221926,45.605027211032365,44.44513056520264,45.18324661254883,8715800,1d,1d,Daily,yfinance,max,2026-04-02T22:58:52Z
