Date,Open,High,Low,Close,Volume,data_interval,timeframe_label,data_source,source_period_requested,downloaded_at_utc
1962-01-02,0.06002848265385402,0.06034129112958908,0.06002848265385402,0.06034129112958908,0,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-03,0.05971592612892578,0.05971592612892578,0.05940311774611474,0.05940311774611473,345600,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-04,0.05940313255334094,0.059715941014124745,0.058778055012226105,0.058778055012226105,216000,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-05,0.05830878693133185,0.05830878693133185,0.05783984437584878,0.05783984437584877,129600,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-08,0.057370960479326244,0.057370960479326244,0.05690201744437218,0.05690201744437218,172800,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-09,0.05752735584974288,0.05752735584974288,0.05752735584974288,0.05752735584974289,43200,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-10,0.057996303550492984,0.058778055012226105,0.057996303550492984,0.058778055012226105,172800,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-11,0.058778020862586135,0.058778020862586135,0.05846521258354187,0.05846521258354187,172800,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-12,0.058465191013149606,0.05877799917678512,0.05783984437584878,0.05783984437584877,259200,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-15,0.05783984437584878,0.05830878693133185,0.05783984437584878,0.05783984437584877,129600,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-16,0.05783989459476689,0.05830883755740507,0.05752735584974288,0.05752735584974289,345600,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-17,0.057527305902183454,0.05815265253948429,0.057527305902183454,0.05783984437584877,259200,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-18,0.057527342542124764,0.057527342542124764,0.05737093836069107,0.05737093836069107,172800,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-19,0.05768379742328288,0.057996336370706565,0.05768379742328288,0.05799633637070656,129600,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-22,0.057527342542124764,0.057527342542124764,0.05737093836069107,0.05737093836069107,172800,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-23,0.057370960479326244,0.05752736472105958,0.05690201744437218,0.05690201744437218,259200,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-24,0.05690202283833134,0.05690202283833134,0.05658948401548387,0.05674561858177185,302400,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
1962-01-25,0.05674561504605193,0.056902019292866146,0.05643307624267821,0.056589480489492416,129600,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
